EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER
2004,1,1147,1,1,1253,1,"REPARACIONES EN GENERAL DE AUTOMOTORES - ELECTRICIDAD REPARACION DE BURRO DE ARRANQUE, DE SISTEMA DE LUCES.
MANO DE OBRA FRENOS TRASEROS Y FRENO DE MANO.
MANO DE OBRA POR DESMONTAR Y MONTAR SEMIEJE, POR CAMBIO DE FUELLES Y SEGURO DE HOMESIMETICA",1.0,295.0,1.0,295.0
2004,1,1148,1,1,1257,1,"SEGURO DE VIDA - DESCRIPCION SEGURO DE VIDA. Y RESPONSABILIDAD ""CINCO MILLAS DE MADARIAGA"".-",1.0,81.19,1.0,81.19
2004,1,1149,1,1,1243,1,PASAJE TIPO TERRESTRE - PASAJE TIPO TERRESTRE (Genérico),200.0,8.4,200.0,1680.0
2004,1,1150,1,1,1245,1,PASAJE TIPO TERRESTRE - PASAJE TIPO TERRESTRE (Genérico) TRASLADO DE ALUMNOS A ESCUELA AGRARIA.-,1.0,552.0,1.0,552.0
2004,1,1151,1,1,1249,1,SERVICIO DE REMIS - DESCRIPCION SERVICIO DE REMIS.,1.0,130.0,1.0,130.0
2004,1,1152,1,1,1122,1,SERVICIO DE FLETE - POR TRANSPORTE DE 400 BOLSAS DE CEMENTO DESDE BARKER A GRAL. MADARIAGA.,400.0,1.25,400.0,500.0
2004,1,1153,1,1,1120,1,"PINTURA AL LATEX - PINTURA AL LATEX (GENERICO) EXT., CEPILLO ACERO, PINCELETA, CINTA PELIGRO, SOGA 14, SOGA 10, GUANTES.-",1.0,234.15,1.0,234.15
2004,1,1154,1,1,1113,1,"PLACAS RADIOGRAFICAS - PLACAS RADIOGRAFICAS  18 x 24, 24 x30, 35 x43, 15  x40, 30 x40, 35 x35, 1caja de c/u",1.0,1029.0,1.0,1029.0
2004,1,1154,2,1,1113,2,REVELADOR AUTOMATICO - REVELADOR AUTOMATICO  RP p/38lt KODAK,1.0,170.8,1.0,170.8
2004,1,1154,3,1,1113,3,FIJADOR AUTOMATICO - FIJADOR AUTOMATICO RP p/38lt KODAX,1.0,103.6,1.0,103.6
2004,1,1155,1,1,1215,1,"HELADERA - ESLABON DE LUJO HEL. FRE,. ERD. 330
CAPACIDAD 320 LTS.",1.0,890.0,1.0,890.0
2004,1,1156,1,1,928,1,"ACEITE, FILTROS. - ACEITE PERFOMANCE X 205 lts.",1.0,750.0,1.0,750.0
2004,1,1157,1,1,1258,1,DIRECCION DE OBRA - DIRECCION DE OBRA.- DIRECCION DE OBRA -,6.0,3000.0,0.0,18000.0
2004,1,1158,1,1,1259,1,DIRECCION DE OBRA - DIRECCION DE OBRA.,6.0,1700.0,0.0,10200.0
2004,1,1159,1,1,1103,1,LIBROS - LIBROS (GENERICO) LEY ORGANICA  PARA CONTADOR.-,1.0,140.0,1.0,140.0
2004,1,1160,1,1,1099,1,PIEDRA P/TURBINA - USO P/TORNO ODONTOLOGICO.,1.0,329.41,1.0,329.41
2004,1,1161,1,1,1157,1,"MADERA ASERRADA - 240 ml clavaderas 2x2""",240.0,2.27,240.0,544.8
2004,1,1161,2,1,1157,2,"TIRANTE - MATERIAL MADERA - VARIEDAD PINO PARANA - SECCION CUADRADA - ANCHO 3"" - ALTURA 3"" - LONGITUD 2.10m.",100.0,11.424,100.0,1142.4
2004,1,1161,3,1,1157,3,"TABLA 1"" 10 "" 3.50 - TABLA 1"" 8 "" 3.30  (Genérico)",12.0,21.105,12.0,253.26
2004,1,1161,4,1,1157,4,"TIRANTE - MATERIAL MADERA - VARIEDAD PINO - SECCION RECTANGULAR - ANCHO 3"" - ALTURA 5"" - LONGITUD 3.30m.",6.0,30.352,6.0,182.112
2004,1,1161,5,1,1157,5,BULIN YESERO - BULIN YESERO (Genérico),200.0,0.35,200.0,70.0
2004,1,1161,6,1,1157,6,"TIRANTE - MATERIAL MADERA - VARIEDAD PINO - SECCION CUADRADA - ANCHO 1"" - ALTURA 1"" - LONGITUD 3.00m.",650.0,0.56,650.0,364.0
2004,1,1162,1,1,1104,1,LIBROS - LIBROS LEY ORGANICA / DERECHO TRIBUTARIO.,1.0,250.0,1.0,250.0
2004,1,1163,1,1,1271,1,"BANDERA - BANDERAS ROJAS LISAS 60 X 90 X 20 UNIDADES.
",20.0,10.89,20.0,217.8
2004,1,1164,1,1,1263,1,REPARACION VEHICULO - TAREA REPARACION DE NEUMATICO.,1.0,1053.33,1.0,1053.33
2004,1,1165,1,1,1265,1,MARTILLO - TIPO GALPONERO - MATERIAL DEL MANGO ACERO - AGARRE COMPUESTO PVC ESPUMOSO - PESO CABEZA 570GR.,1.0,21.5,1.0,21.5
2004,1,1165,2,1,1265,2,DESTORNILLADOR - DESTORNILLADOR (GENERICO),1.0,6.5,1.0,6.5
2004,1,1165,3,1,1265,3,"PINZA - PINZA N° 8
",1.0,13.5,1.0,13.5
2004,1,1165,4,1,1265,4,LLAVE FRANCESA MEDIANA - LLAVE FRANCESA MEDIANA (Genérico),1.0,12.8,1.0,12.8
