EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER,COD_PROV,OC_FECH_OC,OC_OBSERVACIONES,OC_ESTADO_OC,OC_FECH_CONFIRM,OC_IMPORTE_TOT,SG_JURISDICCION
2004,1,1147,1,1,1253,1,"REPARACIONES EN GENERAL DE AUTOMOTORES - ELECTRICIDAD REPARACION DE BURRO DE ARRANQUE, DE SISTEMA DE LUCES.
MANO DE OBRA FRENOS TRASEROS Y FRENO DE MANO.
MANO DE OBRA POR DESMONTAR Y MONTAR SEMIEJE, POR CAMBIO DE FUELLES Y SEGURO DE HOMESIMETICA",1.0,295.0,1.0,295.0,294,2004-07-08 00:00:00,,R,2004-07-08 00:00:00,295.0,
2004,1,1148,1,1,1257,1,"SEGURO DE VIDA - DESCRIPCION SEGURO DE VIDA. Y RESPONSABILIDAD ""CINCO MILLAS DE MADARIAGA"".-",1.0,81.19,1.0,81.19,315,2004-07-08 00:00:00,,R,2004-07-08 00:00:00,81.19,
2004,1,1149,1,1,1243,1,PASAJE TIPO TERRESTRE - PASAJE TIPO TERRESTRE (Genérico),200.0,8.4,200.0,1680.0,135,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,1680.0,
2004,1,1150,1,1,1245,1,PASAJE TIPO TERRESTRE - PASAJE TIPO TERRESTRE (Genérico) TRASLADO DE ALUMNOS A ESCUELA AGRARIA.-,1.0,552.0,1.0,552.0,366,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,552.0,
2004,1,1151,1,1,1249,1,SERVICIO DE REMIS - DESCRIPCION SERVICIO DE REMIS.,1.0,130.0,1.0,130.0,51,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,130.0,
2004,1,1152,1,1,1122,1,SERVICIO DE FLETE - POR TRANSPORTE DE 400 BOLSAS DE CEMENTO DESDE BARKER A GRAL. MADARIAGA.,400.0,1.25,400.0,500.0,75,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,500.0,
2004,1,1153,1,1,1120,1,"PINTURA AL LATEX - PINTURA AL LATEX (GENERICO) EXT., CEPILLO ACERO, PINCELETA, CINTA PELIGRO, SOGA 14, SOGA 10, GUANTES.-",1.0,234.15,1.0,234.15,300,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,234.15,
2004,1,1154,1,1,1113,1,"PLACAS RADIOGRAFICAS - PLACAS RADIOGRAFICAS  18 x 24, 24 x30, 35 x43, 15  x40, 30 x40, 35 x35, 1caja de c/u",1.0,1029.0,1.0,1029.0,58,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,1303.4,
2004,1,1154,2,1,1113,2,REVELADOR AUTOMATICO - REVELADOR AUTOMATICO  RP p/38lt KODAK,1.0,170.8,1.0,170.8,58,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,1303.4,
2004,1,1154,3,1,1113,3,FIJADOR AUTOMATICO - FIJADOR AUTOMATICO RP p/38lt KODAX,1.0,103.6,1.0,103.6,58,2004-07-12 00:00:00,,R,2004-07-12 00:00:00,1303.4,
