EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE
2004,2137,2004-04-30 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,204,2004,2264,S,2004-04-30 00:00:00,12.85,12.85,1,,,Luz mes Febrero Cementerio,,,0.0,0.0,,,12.85,N,N,,,,,,,,,,S
2004,2138,2004-05-03 00:00:00,GMADA,110,1110101000,1,50012,P,C,NOTA,123,2004,1393,S,2004-05-03 00:00:00,498.65,498.65,1,,,CAJA CHICA COMPRAS,,,0.0,0.0,,,458.89,N,N,,,,,,,,,,S
2004,2139,2004-05-03 00:00:00,GMADA,132,1110106000,7,75,P,C,,,,1402,S,2004-05-03 00:00:00,371.8,371.8,1,,,MAT. CONSTRUCCION,,,0.0,0.0,,,307.27,N,N,,,,,,,,,,S
2004,2140,2004-05-03 00:00:00,GMADA,110,1110101000,1,266,P,C,,,,1404,S,2004-05-03 00:00:00,469.0,457.75,1,,,VIDEO,,,0.0,11.25,,,387.6,N,N,,,,,,,,,,S
2004,2141,2004-05-03 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,156.02,156.02,1,,,Luz correspondiente al mes de Febrero,,,0.0,0.0,,,156.02,N,N,,,,,,,,,,S
2004,2142,2004-05-03 00:00:00,GMADA,110,1110104000,11,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,28.51,28.51,1,,,Luz mes de Febrero,,,0.0,0.0,,,28.51,N,N,,,,,,,,,,S
2004,2143,2004-05-03 00:00:00,GMADA,110,1110104000,5,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,1183.68,1183.68,1,,,Luz mes de Febrero,,,0.0,0.0,,,1183.68,N,N,,,,,,,,,,S
2004,2144,2004-05-03 00:00:00,GMADA,110,1110108000,14,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,14.87,14.87,1,,,Luz Mes de Febrero,,,0.0,0.0,,,14.87,N,N,,,,,,,,,,S
2004,2145,2004-05-03 00:00:00,GMADA,110,1110101000,1,193,P,C,ORDSE,2041,2004,2267,S,2004-05-03 00:00:00,468.43,468.43,1,,,Luz mes de Febrero,,,0.0,0.0,,,468.43,N,N,,,,,,,,,,S
2004,2146,2004-05-03 00:00:00,GMADA,110,1110101000,1,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,60.68,60.68,1,,,Luz  mes de Febrero,,,0.0,0.0,,,60.68,N,N,,,,,,,,,,S
2004,2147,2004-05-03 00:00:00,GMADA,110,1110101000,1,34,P,C,ORDCO,5,2004,1403,S,2004-05-03 00:00:00,100.0,100.0,1,,,ALQUILER,,,0.0,0.0,,,100.0,N,N,,,,,,,,,,S
2004,2148,2004-05-03 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,204,2004,2267,S,2004-05-03 00:00:00,34387.91,34387.91,1,,,Alumbrado Publico mes Febrero,,,0.0,0.0,,,34387.91,N,N,,,,,,,,,,S
2004,2149,2004-05-03 00:00:00,GMADA,110,1110101000,1,110,P,C,,,,1394,S,2004-05-03 00:00:00,950.0,950.0,1,,,ALQUILER DDI,,,0.0,0.0,,,950.0,N,N,,,,,,,,,,S
2004,2150,2004-05-03 00:00:00,GMADA,110,1110103000,3,313,P,C,ORDCO,650,2004,1440,S,2004-05-03 00:00:00,6500.0,6344.0,2,,,GAS OIL,,,0.0,156.0,,,6500.0,N,N,,,,,,,,,,S
2004,2151,2004-05-03 00:00:00,GMADA,110,1110101000,1,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,80.2,80.2,1,,,Luz Mes Marzo,,,0.0,0.0,,,80.2,N,N,,,,,,,,,,S
2004,2152,2004-05-03 00:00:00,GMADA,110,1110101000,1,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,526.25,526.25,1,,,Gasto luz mes Marzo,,,0.0,0.0,,,526.25,N,N,,,,,,,,,,S
2004,2153,2004-05-03 00:00:00,GMADA,110,1110101000,1,50093,P,C,CONTR,1,2002,2233,S,2004-05-03 00:00:00,1000.0,1000.0,1,,,AFILIACION CONSORCIO PAGOS DEL TUYU (PLAN ESTRATEGICO),,,0.0,0.0,,,1000.0,N,N,,,,,,,,,,S
2004,2154,2004-05-03 00:00:00,GMADA,110,1110101000,1,216,P,C,DECRE,212,2004,1436,S,2004-05-03 00:00:00,400.0,400.0,1,,,subsidio fae,,,0.0,0.0,,,400.0,N,N,,,,,,,,,,S
2004,2155,2004-05-03 00:00:00,GMADA,110,1110108000,14,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,21.41,21.41,1,,,Gastos Luz mes de Marzo,,,0.0,0.0,,,21.41,N,N,,,,,,,,,,S
2004,2156,2004-05-03 00:00:00,GMADA,110,1110104000,5,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,1207.97,1207.97,1,,,Gasto de Luz  mes de Marzo,,,0.0,0.0,,,1207.97,N,N,,,,,,,,,,S
2004,2157,2004-05-03 00:00:00,GMADA,110,1110104000,11,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,33.13,33.13,1,,,Luz mes de Marzo,,,0.0,0.0,,,33.13,N,N,,,,,,,,,,S
2004,2158,2004-05-03 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,201.02,201.02,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,201.02,N,N,,,,,,,,,,S
2004,2159,2004-05-03 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,19.98,19.98,1,,,Luz mes de Marzo,,,0.0,0.0,,,19.98,N,N,,,,,,,,,,S
2004,2160,2004-05-03 00:00:00,GMADA,131,1110111000,3,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,17.96,17.96,1,,,Gasto luz mes de Marzo,,,0.0,0.0,,,17.96,N,N,,,,,,,,,,S
2004,2161,2004-05-03 00:00:00,GMADA,,1110101000,1,50074,N,C,RESOL,5,2004,1608,S,2004-05-03 00:00:00,6427.05,6427.05,1,,,"PAGO VIRTUAL RET, I. BRUTOS ABRIL 2004",,,0.0,0.0,8023,,6427.05,N,N,,,,,,,,,,S
2004,2162,2004-05-03 00:00:00,GMADA,110,1110106000,7,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,81.06,81.06,1,,,Gasto Luz mes de Marzo,,,0.0,0.0,,,81.06,N,N,,,,,,,,,,S
2004,2163,2004-05-03 00:00:00,GMADA,110,1110109000,13,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,11.75,11.75,1,,,Luz mes de Marzo,,,0.0,0.0,,,11.75,N,N,,,,,,,,,,S
2004,2164,2004-05-03 00:00:00,GMADA,110,1110105000,6,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,321.98,321.98,1,,,Luz mes de Marzo,,,0.0,0.0,,,321.98,N,N,,,,,,,,,,S
2004,2165,2004-05-03 00:00:00,GMADA,110,1110110000,12,193,P,C,ORDSE,304,2004,2267,S,2004-07-05 00:00:00,12.53,12.53,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,12.53,N,N,,,,,,,,,,S
2004,2166,2004-05-03 00:00:00,GMADA,110,1110105000,6,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,15.51,15.51,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,15.51,N,N,,,,,,,,,,S
2004,2167,2004-05-03 00:00:00,GMADA,131,1110111000,3,31,P,C,ORDCO,4,2004,1405,S,2004-05-03 00:00:00,1200.0,1166.4,1,,,CASER,,,0.0,33.6,,,1200.0,N,N,,,,,,,,,,S
2004,2168,2004-05-03 00:00:00,GMADA,110,1110105000,6,193,P,C,ORDSE,304,2004,2267,S,2004-05-03 00:00:00,10.29,10.29,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,10.29,N,N,,,,,,,,,,S
2004,2169,2004-05-04 00:00:00,GMADA,110,1110104000,5,50013,P,C,NOTA,44,2004,1406,S,2004-05-04 00:00:00,1003.39,1003.39,1,,,CAJA CHICA HOSPITAL,,,0.0,0.0,,,930.98,N,N,,,,,,,,,,S
2004,2170,2004-05-04 00:00:00,GMADA,110,1110105000,6,50020,P,C,NOTA,47,2004,1411,S,2004-05-04 00:00:00,80.0,80.0,1,,,CAJA CHICA CULTURA,,,0.0,0.0,,,80.0,N,N,,,,,,,,,,S
2004,2171,2004-05-04 00:00:00,GMADA,110,1110105000,6,193,P,C,ORDSE,304,2004,2267,S,2004-05-04 00:00:00,10.73,10.73,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,10.73,N,N,,,,,,,,,,S
