EJERCICIO,NUM_PED,ORDEN,INCISO,PAR_PRIN,PAR_PARC,CLASE,TIPO,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CANTIDAD,UNI_MED,DESCRIP_BIE,COSTO_UNI
2004,969,1,2,5,6,798,8,1110101000,1,0,0,6.0,3,GAS EN GARRAFA - CAPACIDAD 10Kg.,23.0
2004,970,1,2,5,5,570,14,1110103000,18,0,0,1.0,3,"ESMALTE SINTETICO - COLOR AMARILLO, NEGRO PURO,VIRUTA GRUESA.",212.69
2004,971,1,2,9,6,906,9999,1110103000,20,0,0,1.0,0,BOMBA DE FRENO - BOMBA DE FRENO IKA PARA VOLQUETA.,109.0
2004,972,1,2,5,6,798,8,1110101000,1,0,0,8.0,3,GAS EN GARRAFA - CAPACIDAD 10Kg.,23.0
2004,973,1,2,5,8,723,9999,1110101000,1,0,0,1000.0,0,PRECINTO PLASTICO - PRECINTO.,1.2
2004,974,1,2,3,9,4343,9999,1110101000,1,0,0,1.0,0,ARTICULOS DE LIBRERIA - ARTICULOS DE LIBRERIA Y FOTOCOPIAS SIMPLES Y DOBLES.,401.35
2004,975,1,3,3,3,4075,9999,1110103000,20,0,0,1.0,0,"MANO DE OBRA - POR REPARACIONES DE NICHOS.
",12000.0
2004,976,1,2,9,6,1191,21,1110111000,23,0,0,4.0,3,CUBIERTA P/AUTOMOTOR - DIMENSION 1300 X 24 - DESTINO MOTONIVELADORA,1090.0
2004,977,1,5,1,4,4287,9999,1110106000,24,0,0,1.0,0,ANTEOJOS PARA PERSONAS INDIGENTES - ANTEOJOS PARA PERSONAS INDIGENTES (Genérico),390.0
2004,978,1,2,9,6,3545,9999,1110103000,22,0,0,1.0,0,BOMBA COMBUSTIBLE - BOMBA COMBUSTIBLE (GENERICO),440.46
2004,978,2,2,9,6,1525,9999,1110103000,22,0,0,1.0,0,CORREA P/AUTOMOTOR/CAMION - 3 CORREA P/AUTOMOTOR/CAMION (GENERICO),77.4
2004,979,1,3,3,2,4416,9999,1110103000,22,0,0,1.0,0,INSTALACION ELECTRICA EN VEHICULOS - INSTALACION ELECTRICA EN VEHICULOS (Genérico),140.0
2004,980,1,3,3,2,2162,23,1110103000,18,0,0,1.0,3,REPARACION VEHICULO - TAREA REPARACION DE NEUMATICO.,480.3
2004,916,1,2,1,5,4384,9999,1110103000,20,0,0,4.0,0,"TABLA 1"" 10 "" 3.50 - TABLA 1"" 10 "" 3.50  (Genérico)",36.0
2004,916,2,2,1,5,4385,9999,1110103000,20,0,0,2.0,0,"TABLA 2"" X3"" 3.30 - TABLA 2"" X3"" 3.30 (Genérico)",9.0
2004,916,3,2,1,5,4386,9999,1110103000,20,0,0,1.0,0,"TABLA 2"" X 2"" X 3.30 - TABLA 2"" X 2"" X 3.30 (Genérico)",6.0
2004,916,4,2,1,5,4387,9999,1110103000,20,0,0,1.0,0,"TABLA 2"" 6"" X 3.30 - TABLA 2"" 6"" X 3.30 (Genérico)",9.0
2004,916,5,2,1,5,4388,9999,1110103000,20,0,0,1.0,0,"TABLA 2"" X 2""  3.00 - TABLA 2"" X 2""  3.00 (Genérico)",6.0
2004,916,6,2,1,5,4389,9999,1110103000,20,0,0,4.0,0,"TABLA 3"" X 3"" X 2.50 - TABLA 3"" X 3"" X 2.50 (Genérico)",17.0
2004,981,1,4,3,7,37,5,1110101000,1,0,0,1.0,3,ESCALERA - MATERIAL METALICA - ESCALONES 6 - TRAMOS UNICO - DESARROLLO PLANO UNICO - SUSTENTACION DESL. C/SUJ. SUP. Y GUIA.,56.86
2004,982,1,3,1,9,4390,9999,1110103000,51,51,0,1.0,0,instalacion de calefaccion - INSTALACION DE CALEFACCION EN CASA DE LA CULTURA.,30000.0
2004,983,1,3,3,1,2244,1,1110103000,51,51,0,1.0,3,INSTALACION ELECTRICA - INSTALACION ELECTRICA EN CASA DE CULTURA PARA CALEFACCION.,800.0
2004,985,1,2,5,2,1821,11,1110104000,16,0,0,500.0,3,ANTIBIOTICOS - TIPO MONODROGA - DROGA GENERICA AMOXICILINA - FORMA FARMACEUTICA FRASCO JARABE - PRESENTACION 500mg./ 5 ml.,7.8
2004,986,1,2,9,6,4391,9999,1110104000,16,0,0,1.0,0,CREMALLERA PARA DUCATO - CREMALLERA PARA DUCATO (Genérico),246.0
2004,987,1,4,3,8,110,4,1110103000,18,0,0,1.0,3,TALADRO ELECTRICO - DIAM PERF.ACERO 13MM - POTENCIA 620W - VELOCIDAD GIRO 2600RPM - PERCUSION 0Vpm - VELOCIDAD 2 - TENSION 220 CAV.,215.0
2004,987,2,2,9,3,3587,9999,1110103000,18,0,0,4.0,0,ABRAZADERA - ABRAZADERA (GENERICO),0.8
2004,987,3,2,7,1,159,82,1110103000,18,0,0,1.0,3,CABLE DE ACERO - 2.40 mts. DIAM NOM 6MM - ALMA ACERO.,10.0
2004,987,4,2,7,1,159,9999,1110103000,18,0,0,1.0,0,"CABLE DE ACERO - CABLE2 x 0.75 tipo taller ,prensacable.",13.6
2004,987,5,2,7,9,1648,9999,1110103000,18,0,0,2.0,0,"BULON - 2 BULONes 3/8 x 3""",0.8
2004,987,6,2,7,9,645,9999,1110103000,18,0,0,4.0,0,TUERCA - TUERCA (GENERICO),0.1
2004,987,7,2,7,9,1600,5,1110103000,18,0,0,2.0,3,"ARANDELA - MATERIAL HIERRO - TIPO GROWER - DIAMETRO INTERIOR 3/8"" - PRESENTACION CAJA X 50.",0.15
