EJERCICIO,NRO_ADJUDIC,NRO_COTI,DELEG_SOLIC,NRO_SOLIC,COD_PROV,FECH_ADJUD,TIPO_DOC_APROB,NRO_DOC_APROB,ANIO_DOC_APROB,ESTADO,FECH_ANUL,MOTIVO_ANUL,FECH_ENTREGA,OBSERVACIONES,COND_PAGO,DESC_COND_PAGO,NRO_LLAMADO,CERRADA
2026,489,493,1,518,3287,2026-01-28 00:00:00,PRESU,1853,2026,O,,,,"PRESUPUESTO N°  01853 de ""Hispanograf"" Para realizar diplomas, distintivos, fotos, invitaciones para el egreso de La Casita de Chocolate",000000,,1,N
2026,491,495,1,515,1259,2026-01-28 00:00:00,PRESU,29984,2026,O,,,,PROV.ELECTRO DANNUNZIO PRESUP.29984 ALARGUE PARA CORRALON,000000,,1,N
2026,490,494,1,511,1514,2026-01-28 00:00:00,SUM,489,2026,O,,,,CASA ELICEIRY,000115,,1,N
2026,492,496,1,512,2403,2026-01-28 00:00:00,PRESU,93,2026,O,,,,"Bigorito  Leonardo Fabio ,presupuesto 0001-00000093.Motoniveladora Pauny 180 BGZ 53.",000000,,1,N
2026,499,503,1,533,171,2026-01-29 00:00:00,SUM,508,2026,O,,,,PROV. JUAN SANCHEZ PRESUP.54551 CABLE PARA DEFENSA CIVIL,000115,,1,N
2026,500,504,1,532,3395,2026-01-29 00:00:00,SUM,507,2026,O,,,,PROV.BATERIA EL PELA  YANINA PECORARI PRESUP.5065 BATERIAS PARA MOTONIVELADOR NEW HOLLAND CII59,000115,,1,N
2026,501,505,1,531,3336,2026-01-29 00:00:00,SUM,505,2026,O,,,,PROV. ROCIO MORALES PRESUP.29/10/26 REPARACION DE VW 17220 LED013 Y MINITRACTOR HUSQVANA CEMENTERIO,000115,,1,N
2026,502,506,1,534,2421,2026-01-29 00:00:00,SUM,517,2026,O,,,,"CONTRATO ENERO-MARZO, OTERMOIN GERMAN CEFERINO",000115,,1,N
2026,508,511,1,541,2209,2026-01-30 00:00:00,EXPED,3759,2025,O,,,,"PRESUPUESTO 000, DURANTE JAVIER",000000,,1,N
2026,56,56,1,23,1494,2026-01-06 00:00:00,SUM,56,2026,O,,,,PREVISION ANUAL- RODRIGUEZ MARIANO,000115,,1,N
2026,84,84,1,88,216,2026-01-08 00:00:00,SUM,126,2026,O,,,,FAE- PRESUPUESTO N° 3397707,000115,,1,N
2026,86,87,1,89,2538,2026-01-08 00:00:00,SUM,129,2026,O,,,,RICOTTI FRANCO- PRESUPUESTO S/N° 10/12/25 MOVIL DOMINIO: JQS879,000115,,1,N
2026,89,89,1,90,2538,2026-01-08 00:00:00,SUM,133,2026,O,,,,RICOTTI FRANCO- PRESUPUESTO S/N° (MOVIL 5 ),000115,,1,N
2026,92,92,1,95,2627,2026-01-08 00:00:00,SUM,136,2026,O,,,,SANTA PAULA- PRESUPUESTO N° 0001-00002161 (COCINA) DESDE EL 23/11/25 AL 30/11/2025,000115,,1,N
2026,111,111,1,110,2843,2026-01-09 00:00:00,SUM,118,2026,O,,,,"Presupuesto N° 6926951-Fruteria EL NEGRIN de Rost Tamara-Para Programa ""ESFUERZO SOLIDARIO""",000115,,1,N
2026,112,112,1,111,1530,2026-01-09 00:00:00,SUM,164,2026,O,,,,"PRESUPUESTO 29001070, TOMAS ELORRIAGA E HIJOS",000115,,1,N
2026,113,114,1,112,413,2026-01-09 00:00:00,SUM,131,2026,O,,,,"PROV.AGUSTIN PASO , PRESUP.3995,3988,3987,3986,3981,3978,3974,3973,3971,3967,3694,3692,3958,3957,3954,3684,3953,3947,3950,3951,PARCHE Y REPARACIONES PARA VEHICULOS Y MAQUINAS:CII58,EFJ13,OOI617,DMI232,LED013,CII59, VOLVO G710,BMV14,AF947IJ,LFN114,PJY978,INI856",000115,,1,N
2026,115,115,1,113,2595,2026-01-09 00:00:00,SUM,154,2026,O,,,,"PROV.IVAN PERICO PRESUP.7887 REPEUSTOS PARA FORD 14000 DMI 232,PALA SDLG936 CII58",000115,,1,N
2026,310,310,1,329,2209,2026-01-19 00:00:00,SUM,318,2026,O,,,,DURANTE JAVIER- PRESUPUESTO N° 0001-00000836 (COCINA) DESDE EL 2/12/25 AL 02/01/26,000115,,1,N
2026,22,23,1,21,2804,2026-01-06 00:00:00,SUM,46,2026,O,,,,PREVISION DE GAREN ORLANDO,000115,,1,N
2026,24,24,1,47,57,2026-01-06 00:00:00,PRESU,545,2026,O,,,,IMPRENTA EL ARGENTINO. IRMA CRISTINA BONOMI.PRESUPUESTO Nº 545.- 547 SERVICIO HEMOTERAPIA - SERVICIO DE EMERGENCIA.,000115,,1,N
2026,26,26,1,46,2427,2026-01-06 00:00:00,SUM,7,2026,O,,,,REFRIGERACION ADIS. PABLO ADIS. PRESUPUESTO Nº 103.FARMACIA HOSPITAL.,000115,,1,N
2026,28,28,1,45,216,2026-01-06 00:00:00,SUM,8,2026,O,,,,FAE. PRESUPUESTO. SECTOR MUCAMAS.,000115,,1,N
2026,35,35,1,44,134,2026-01-06 00:00:00,SUM,28,2026,O,,,,SORRENTINO S.A- PRESUPUESTO S/N° REM 45872  (FARMACIA),000115,,1,N
2026,40,38,1,43,441,2026-01-06 00:00:00,SUM,62,2026,O,,,,ALPA - PRESUPUESTO N° 0002-00003830 (COCINA),000115,,1,N
2026,45,44,1,42,441,2026-01-06 00:00:00,SUM,63,2026,O,,,,ALPA- PRESUPUESTO N° 0002-00003834/3838 (COCINA),000115,,1,N
2026,51,52,1,41,2627,2026-01-06 00:00:00,SUM,65,2026,O,,,,SANTA PAULA- PRESUPUESTO N° 0001-00002149 (HOGAR DE ANCIANOS) DESDE 24/11/25 HASTA EL 1/12/25,000115,,1,N
2026,54,55,1,40,2627,2026-01-06 00:00:00,PRESU,2151,2026,O,,,,SANTA PAULA- PRESUPUESTO N° 0001-00002151 (HOGAR DE ANCIANOS) DESDE 3/12/25 AL  10/12/25,000115,,1,N
