EJERCICIO,NRO_CANCE,NRO_ORDEN,TIPO_BEN,COD_BEN,COD_EMB,COD_CES,FECHA_DE_REGISTRO,FECHA,CUENTA,BANCO,SUCURSAL,CUENTA_BAN,DOCU_TIPO,DOCU_NRO,ORIGEN_TIPO,ORIGEN_NRO,COD_BCE_ITEM,IMPORTE,ESTADO,NRO_OTB,RECHAZO_BANCO_OTB,MARCA_CHA,DIN,FECHA_DE_RETIRO,ASIENTO,CONCILIADO,FECHA_CONCILIA,NRO_RESUMEN
2026,274,440366,C,33,,,2026-01-22 00:00:00,2026-01-22 00:00:00,111220900,BP,6952,10107/9,REPA,274,NO,324,,1602030.0,1,,,,,,3618,A,2026-01-31 00:00:00,2214
2026,274,440367,C,33,,,2026-01-22 00:00:00,2026-01-22 00:00:00,111210127,BP,6952,50110/7,REPA,274,NO,325,,198252.0,1,,,,,,3618,A,2026-01-31 00:00:00,2227
2026,274,440368,C,33,,,2026-01-22 00:00:00,2026-01-22 00:00:00,111210127,BP,6952,50110/7,REPA,274,NO,326,,2221.58,1,,,,,,3618,A,2026-01-31 00:00:00,2227
2026,274,440369,C,33,,,2026-01-22 00:00:00,2026-01-22 00:00:00,111210127,BP,6952,50110/7,REPA,274,NO,327,,27274623.0,1,,,,,,3618,A,2026-01-31 00:00:00,2227
2026,283,440383,C,10815,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,283,NO,338,,206670.0,1,,,,,,3805,N,,
2026,284,440384,C,9069,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111221000,BP,6952,10009/0,REPA,284,NO,339,,293171.34,1,,,,,,3821,A,2026-01-31 00:00:00,2228
2026,285,440387,C,12716,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,285,CA,11354665,,10000.0,1,,,E,,,3823,N,,
2026,286,440390,C,12968,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,286,NO,340,,100000.0,1,,,,,,3826,N,,
2026,287,440393,C,8058,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111220100,BP,6952,10087/8,REPA,287,NO,341,,120250.0,1,,,,,,3828,A,2026-01-31 00:00:00,2212
2026,288,440394,C,10503,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111221700,BP,6952,50198/5,REPA,288,NO,342,,105000.0,1,,,,,,3831,A,2026-01-31 00:00:00,2216
2026,289,440395,C,11346,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111221500,BP,5098,10099/1,REPA,289,NO,343,,68000.0,1,,,,,,3833,A,2026-01-31 00:00:00,2225
2026,290,440396,C,629,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111221500,BP,5098,10099/1,REPA,290,NO,344,,600000.0,1,,,,,,3835,A,2026-01-31 00:00:00,2225
2026,291,440397,C,11217,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,291,NO,345,,181358.8,1,,,,,,3838,N,,
2026,292,440399,C,10085,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210124,BP,6952,50027/2,REPA,292,NO,346,,848618.27,1,,,,,,3856,A,2026-01-31 00:00:00,2215
2026,293,440400,C,10085,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,293,NO,347,,3000000.0,1,,,,,,3858,N,,
2026,294,440401,C,8796,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,294,NO,348,,360000.0,1,,,,,,3860,N,,
2026,294,440404,C,11061,,,2026-01-23 00:00:00,2026-01-23 00:00:00,111210129,BP,6952,50139/8,REPA,294,NO,349,,90000.0,1,,,,,,3860,N,,
