CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2026
20,"ATE
",O,,0.0,ATE,74019,2026
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2026
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2026
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2026
7,Embargos,O,,0.0,EMBA,74003,2026
16,"F.O.S.
",O,,0.0,FOS,74013,2026
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2026
4,Garantia,O,,0.0,GARAN,71001,2026
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2026
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2026
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2026
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2026
26,Loteos Municipales cuotas,O,,0.0,LMC,74888,2026
25,BANCO MACRO,O,,0.0,MACRO,74027,2026
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2026
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2026
18,"BANCO NACION
",O,,0.0,NACIO,74018,2026
22,OSDE,O,,0.0,OSDE,74022,2026
10,"APORTE PJ
",O,,0.0,PJ,74012,2026
17,"PROCASA

",O,,0.0,PROC,74017,2026
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2026
21,REINTEGROS,O,,0.0,REIN,74021,2026
5,"Sindicato
",O,,0.0,SIND,74009,2026
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2026
784,SUSS,I,2.0,0.0,SUSS.,74023,2026
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2026
11,"APORTE UCR
",O,,0.0,UCR,74011,2026
19,"UPCN
",O,,0.0,UPCN,74020,2026
