EJERCICIO,NRO_CANCE,ESTADO,FECHA_ANULA,COD_PROV,TIPO_CANCE,OBSERVACIONES,USUARIO,FECHA_ALTA
2026,66,N,,2133,A,,CDOPAZO,2026-01-08 10:23:59
2026,68,N,,1119,A,,CDOPAZO,2026-01-08 10:38:02
2026,349,N,,1586,A,,SLEIVA,2026-01-29 08:38:52
2026,67,N,,345,A,,CDOPAZO,2026-01-08 10:28:08
2026,825,N,,3251,A,,CDOPAZO,2026-03-09 09:20:10
2026,348,N,,50031,P,,SLEIVA,2026-01-29 08:21:50
2026,832,N,,2883,P,,CDOPAZO,2026-03-09 09:34:24
2026,823,N,,1943,P,,CDOPAZO,2026-03-09 09:16:36
2026,925,N,,17,A,,GTEVEZ,2026-03-17 08:49:23
2026,827,N,,2371,P,,CDOPAZO,2026-03-09 09:22:24
2026,927,N,,413,P,,GTEVEZ,2026-03-17 08:58:38
2026,833,N,,2883,A,,CDOPAZO,2026-03-09 09:36:09
2026,929,N,,17,P,,GTEVEZ,2026-03-17 09:23:49
2026,926,N,,413,P,,GTEVEZ,2026-03-17 08:55:35
2026,931,N,,3332,A,,GTEVEZ,2026-03-17 09:28:27
2026,928,N,,441,A,,GTEVEZ,2026-03-17 09:05:00
2026,933,N,,1056,A,,GTEVEZ,2026-03-17 09:32:29
2026,930,N,,17,A,,GTEVEZ,2026-03-17 09:25:56
2026,935,N,,2299,A,,GTEVEZ,2026-03-17 09:45:53
2026,932,N,,2998,A,,GTEVEZ,2026-03-17 09:31:18
2026,968,N,,2804,P,,GTEVEZ,2026-03-19 07:56:37
2026,934,N,,1754,P,,GTEVEZ,2026-03-17 09:34:05
2026,972,N,,2627,P,,GTEVEZ,2026-03-19 08:48:38
2026,936,N,,50031,P,,GTEVEZ,2026-03-17 09:48:32
2026,970,N,,441,P,,GTEVEZ,2026-03-19 08:12:24
2026,969,N,,1530,P,,GTEVEZ,2026-03-19 07:57:54
2026,974,N,,3481,P,,GTEVEZ,2026-03-19 09:08:23
2026,971,N,,441,P,,GTEVEZ,2026-03-19 08:14:36
2026,976,N,,3396,A,,GTEVEZ,2026-03-19 09:11:18
2026,973,N,,826,P,,GTEVEZ,2026-03-19 09:00:37
2026,984,N,,2107,P,,SLEIVA,2026-03-19 09:46:56
2026,975,N,,2365,P,,GTEVEZ,2026-03-19 09:09:46
2026,983,N,,1101,P,,SLEIVA,2026-03-19 09:44:21
2026,981,N,,50031,P,,GTEVEZ,2026-03-19 09:25:51
