ANIO_PRESUP,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,DENOMINACION,DENOMINACION_AB,TOTALIZADORA,FINALIDAD,FUNCION,SUBFUNCION,NO_CLASIF,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO
2004,7,2,8,0,Comisiones y otros gastos de la deuda externa a largo plazo,Comisiones y otros gastos,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,0,0,Intereses por préstamos recibidos,Intereses por préstamos r,S,,,,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,1,0,Intereses por préstamos del sector privado,Intereses por préstamos d,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,2,0,Intereses por préstamos del sector público nacional,Intereses por préstamos d,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,3,0,Intereses de préstamos de provincias,Intereses de préstamos de,N,5,1,0,N,80600.0,0.0,0.0,0.0,29924.73,29924.73
2004,7,3,4,0,Intereses de préstamos de municipalidades,Intereses de préstamos de,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,6,0,Intereses de préstamos de empresas públicas no financieras,Intereses de préstamos de,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,7,0,Intereses de préstamos de instituciones públicas financieras,Intereses de préstamos de,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,3,8,0,Intereses de préstamos de empresas públicas multinacionales,Intereses de préstamos de,N,5,1,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,7,6,0,Incremento de documentos comerciales a cobrar largo plazo,Incremento de documentos,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,7,2,0,Incremento de otros documentos a cobrar a corto plazo,Incremento de otros docum,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,2,0,0,Préstamos a corto plazo,Préstamos a corto plazo,S,,,,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,4,2,0,Préstamos recibidos del sector público nacional,Préstamos recibidos del s,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,4,3,0,Préstamos recibidos de provincias,Préstamos recibidos de pr,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,4,4,0,Préstamos recibidos de municipalidades,Préstamos recibidos de mu,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,7,7,0,Incremento de otros documentos a cobrar a largo plazo,Incremento de otros docum,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,8,0,0,Incremento de activos diferidos y adelantos a proveedores y contratistas,Incremento de activos dif,S,,,,S,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,8,1,0,Incremento de activos diferidos a corto plazo,Incremento de activos dif,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,6,8,2,0,Adelantos a proveedores y contratistas a corto plazo,Adelantos a proveedores y,N,9,9,0,N,0.0,0.0,0.0,0.0,0.0,0.0
2004,7,5,0,0,Disminución de préstamos a largo plazo,Disminución de préstamos,S,,,,S,0.0,0.0,0.0,0.0,0.0,0.0
