EJERCICIO,UNI_COMPRA,NRO_OC,NRO_ADJUD,FECH_OC,LUG_EMI,COD_PROV,COD_LUG_ENT,FECH_ENTREGA,ESTADO_OC,TIPO_DOC_APROB,NRO_DOC_APROB,ANIO_DOC_APROB,CONFIRMADO,FECH_CONFIRM,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,OBSERVACIONES,IMPORTE_TOT,COND_PAGO,DESC_COND_PAGO,OC_DIFERIDO
2026,1,533,533,2026-02-02 00:00:00,GMADA,2627,2,,R,SUM,499,2026,S,2026-02-02 00:00:00,1,,,SANTA PAULA- PRESUPUESTO N° 0001-00002167 DESDE EL 14/01 al 21/01/26,28000.0,000115,,N
2026,1,578,578,2026-02-05 00:00:00,GMADA,436,3,,R,SUM,559,2026,S,2026-02-05 00:00:00,1,,,"PROV. BAIGORRIA LORENZO PRESUP.03/02/2026 PARCHES Y REPARACIONES  DE CUBIERTAS PARA: EPK06,CII58,CII59,LED013,LED010,XNE245,UYW682,BNA17,ASZ490,BMV14,BGZ45.",1339000.0,000115,,N
2026,1,534,534,2026-02-02 00:00:00,GMADA,688,25,,R,SUM,515,2026,S,2026-02-02 00:00:00,1,,,"Baterias La Primera, presupuesto 6310 (JCH 069)",10000.0,000115,,N
2026,1,535,535,2026-02-02 00:00:00,GMADA,2627,2,,R,SUM,519,2026,S,2026-02-02 00:00:00,1,,,SANTA PAULA- PRESUPUESTO N° 0001-00002171 - DESDE EL 23/01/26 AL 30/01/26,30000.0,000115,,N
2026,1,589,589,2026-02-09 00:00:00,GMADA,635,1,,R,SUM,612,2026,S,2026-02-09 00:00:00,1,,,Escudero Sergio Fabián,285000.0,000115,,N
2026,1,579,579,2026-02-05 00:00:00,GMADA,300,3,,R,SUM,561,2026,S,2026-02-05 00:00:00,1,,,"PROV.SILVIA MAISTEGUI PRESUP.5929 ARTICULOS DE FERRETERIA PARA CAMION OOI617,Y ARREGLOS EN CORRALON",234453.0,000115,,N
2026,1,580,580,2026-02-05 00:00:00,GMADA,826,3,,R,SUM,566,2026,S,2026-02-05 00:00:00,1,,,PROV. DUENDE AZUL PRESUP.2641 COMISION A LA PLATA POR REPUESTOS,65000.0,000115,,N
2026,1,582,582,2026-02-05 00:00:00,GMADA,1266,PLANT,,R,SUM,585,2026,S,2026-02-05 00:00:00,2,,,"RENOVACION DE ABONO DE ALARMAS,1° CUATRIMESTRE, EXPTE. 20/2025 Abono 6149 Galpones de Planta de Resiclado.",236800.0,000115,,N
2026,1,586,586,2026-02-09 00:00:00,GMADA,2109,1,,R,SUM,598,2026,S,2026-02-09 00:00:00,1,,,Gomez Alberto Daniel,40000.0,000115,,N
2026,1,590,590,2026-02-09 00:00:00,GMADA,635,21,,R,SUM,613,2026,S,2026-02-09 00:00:00,1,,,Escudero Sergio Fabián,140000.0,000115,,N
2026,1,592,592,2026-02-09 00:00:00,GMADA,441,26,,R,SUM,572,2026,S,2026-02-09 00:00:00,1,,,CORRESPONDE PRESUPUESTO N° 0002-00003858/0002-00003859/0002-00003863/00003868/0002-00003865 - MATIENZO PAOLA A.,296235.93,000115,,N
2026,1,594,594,2026-02-09 00:00:00,GMADA,2770,2,,R,SUM,570,2026,S,2026-02-09 00:00:00,2,,,PRESUPUESTO 803 MARTIN FERNANDO,1751500.0,000115,,N
2026,1,621,621,2026-02-12 00:00:00,GMADA,3481,5,,R,SUM,681,2026,S,2026-02-12 00:00:00,1,,,PATRICIO DANIEL CASTRO   PROVEEDOR 3481  CARNAVAL 2026  EXPTE 224/26,840000.0,000115,,N
