EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE
2026,1294,2026-03-12 00:00:00,GMADA,131,1110111000,3,2421,P,C,,,,890,S,2026-03-12 00:00:00,100000.0,100000.0,1,,,Alquiler edificio,,,0.0,0.0,,,100000.0,N,N,12.1.03.03,0.0,1478390.15,45030683.39,,,,,,S
2026,1295,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,929,S,2026-03-12 00:00:00,325000.0,315814.05,1,,,reparac y repuestos,,,0.0,9185.95,,,268595.04,N,N,,,,,,,,,,S
2026,1296,2026-03-12 00:00:00,GMADA,110,1110109000,13,17,P,C,,,,929,S,2026-03-12 00:00:00,310000.0,301238.02,1,,,rep,,,0.0,8761.98,,,256198.34,N,N,,,,,,,,,,S
2026,1315,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,963,S,2026-03-12 00:00:00,341600.0,331944.86,1,,,repuestos y herramientas,,,0.0,9655.14,,,282314.04,N,N,,,,,,,,,,S
2026,1316,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,963,S,2026-03-12 00:00:00,536000.0,520850.25,1,,,arts de ferret,,,0.0,15149.75,,,442975.2,N,N,,,,,,,,,,S
2026,1317,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,963,S,2026-03-12 00:00:00,726500.0,698955.95,1,,,arts de ferret,,,0.0,27544.05,,,600413.22,N,N,,,,,,,,,,S
2026,1318,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,963,S,2026-03-12 00:00:00,673200.0,643045.09,1,,,Insumos maquinaria,,,0.0,30154.91,,,556363.63,N,N,,,,,,,,,,S
2026,1319,2026-03-12 00:00:00,GMADA,110,1110109000,13,17,P,C,,,,963,S,2026-03-12 00:00:00,160500.0,153310.66,1,,,repuestos,,,0.0,7189.34,,,132644.62,N,N,,,,,,,,,,S
2026,1320,2026-03-12 00:00:00,GMADA,110,1110113000,20,17,P,C,,,,963,S,2026-03-12 00:00:00,52000.0,49670.74,1,,,repuestos,,,0.0,2329.26,,,42975.2,N,N,,,,,,,,,,S
2026,1321,2026-03-12 00:00:00,GMADA,131,1110104000,5,1936,P,C,,,,899,S,2026-03-12 00:00:00,2100000.0,2100000.0,1,,,Uniformes personal,,,0.0,0.0,,,2100000.0,N,N,12.1.28.00,0.0,3064379.34,97397225.42,,,,,,S
2026,1322,2026-03-12 00:00:00,GMADA,110,1110118000,25,17,P,C,,,,963,S,2026-03-12 00:00:00,100200.0,95711.71,1,,,REP,,,0.0,4488.29,,,82809.91,N,N,,,,,,,,,,S
2026,1323,2026-03-12 00:00:00,GMADA,110,1110102000,2,50002,P,C,,,,882,S,2026-03-12 00:00:00,58760.42,58760.42,1,,,linea 2267-431053,,,0.0,0.0,,,48562.33,N,N,,,,,,,,,,S
2026,1324,2026-03-12 00:00:00,GMADA,110,1110113000,20,1995,P,C,,,,915,S,2026-03-12 00:00:00,337800.0,337800.0,1,,,trabajos de carpint,,,0.0,0.0,,,337800.0,N,N,,,,,,,,,,S
2026,1326,2026-03-12 00:00:00,GMADA,110,1110102000,2,1962,P,C,,,,907,S,2026-03-12 00:00:00,140000.0,140000.0,1,,,cuadros,,,0.0,0.0,,,140000.0,N,N,,,,,,,,,,S
2026,1329,2026-03-12 00:00:00,GMADA,110,1110108000,14,2110,P,C,,,,955,S,2026-03-12 00:00:00,70000.0,70000.0,1,,,prest,,,0.0,0.0,,,70000.0,N,N,,,,,,,,,,S
2026,1332,2026-03-12 00:00:00,GMADA,110,1110102000,2,2643,P,C,,,,884,S,2026-03-12 00:00:00,172800.0,169298.3,2,,,pasajes,,,0.0,3501.7,,,142809.91,N,N,,,,,,,,,,S
2026,1334,2026-03-12 00:00:00,GMADA,110,1110113000,20,2110,P,C,,,,1378,S,2026-03-12 00:00:00,225000.0,225000.0,1,,,trabajo de plomeria,,,0.0,0.0,,,225000.0,N,N,,,,,,,,,,S
2026,1335,2026-03-12 00:00:00,GMADA,110,1110105000,6,2365,P,C,,,,975,S,2026-03-12 00:00:00,440000.0,440000.0,1,,,PRODS DE PANADERIA,,,0.0,0.0,,,440000.0,N,N,,,,,,,,,,S
2026,1338,2026-03-12 00:00:00,GMADA,132,1110106000,7,3296,P,C,,,,892,S,2026-03-12 00:00:00,62920.0,61158.3,1,,,PINTURAS,,,0.0,1761.7,,,52000.0,N,N,17.5.01.21,0.0,30924.0,430096.61,,,,,,S
2026,1340,2026-03-12 00:00:00,GMADA,110,1110102000,2,875,P,C,,,,893,S,2026-03-12 00:00:00,18000.0,18000.0,1,,,Reg.Comp. 1884/2025 diarios,,,0.0,0.0,,,14876.03,N,N,,,,,,,,,,S
2026,1343,2026-03-12 00:00:00,GMADA,110,1110102000,2,875,P,C,,,,893,S,2026-03-12 00:00:00,18000.0,18000.0,1,,,SERV DE PUBLICACION,,,0.0,0.0,,,14876.03,N,N,,,,,,,,,,S
2026,1344,2026-03-12 00:00:00,GMADA,110,1110118000,25,2490,P,C,,,,894,S,2026-03-12 00:00:00,49500.0,49500.0,1,,,Reg.Comp. 1419/2025 agua,,,0.0,0.0,,,49500.0,N,N,,,,,,,,,,S
2026,1345,2026-03-12 00:00:00,GMADA,110,1110118000,25,2490,P,C,,,,894,S,2026-03-12 00:00:00,22500.0,22500.0,1,,,Agua mineral,,,0.0,0.0,,,22500.0,N,N,,,,,,,,,,S
2026,1346,2026-03-12 00:00:00,GMADA,110,1110112000,19,2109,P,C,,,,898,S,2026-03-12 00:00:00,40000.0,40000.0,1,,,mant pag web,,,0.0,0.0,,,40000.0,N,N,,,,,,,,,,S
2026,1347,2026-03-12 00:00:00,GMADA,110,1110102000,2,2334,P,C,,,,895,S,2026-03-12 00:00:00,676419.0,643772.06,1,,,Reg.Comp. 5510/2025 soporte técnico,,,0.0,32646.94,,,571226.35,N,N,,,,,,,,,,S
2026,1348,2026-03-12 00:00:00,GMADA,110,1110102000,2,2334,P,N,EXPED,3735,2025,,S,2026-03-12 00:00:00,800065.0,761450.29,1,,,servs,,,0.0,38614.71,,,661210.74,N,N,,,,,,,,,,S
2026,1349,2026-03-12 00:00:00,GMADA,110,1110102000,2,2334,P,C,,,,895,S,2026-03-12 00:00:00,724301.0,682722.38,1,,,Reg.Comp. 7885/2025 soporte,,,0.0,41578.62,,,598595.86,N,N,,,,,,,,,,S
2026,1350,2026-03-12 00:00:00,GMADA,110,1110102000,2,3012,P,C,,,,896,S,2026-03-12 00:00:00,1781718.3,1710449.6,1,,,fact 040/035,,,0.0,71268.7,,,1472494.45,N,N,,,,,,,,,,S
2026,1354,2026-03-12 00:00:00,GMADA,110,1110112000,19,3075,P,C,,,,905,S,2026-03-12 00:00:00,1084690.62,1054319.32,1,,,arts de limp,,,0.0,30371.3,,,896438.52,N,N,,,,,,,,,,S
2026,1357,2026-03-12 00:00:00,GMADA,132,1110118000,25,1514,P,C,,,,1218,S,2026-03-12 00:00:00,2439000.0,2394870.53,1,,,Combustible,,,0.0,44129.47,,,2015702.47,N,N,11.4.03.02,0.0,0.0,22164278.39,,,,,,S
2026,1359,2026-03-12 00:00:00,GMADA,132,1110118000,25,1514,P,C,,,,906,S,2026-03-12 00:00:00,4700898.0,4558021.81,1,,,gas-oil,,,0.0,142876.19,,,3885039.66,N,N,11.4.03.02,0.0,2439000.0,22164278.39,,,,,,S
2026,1361,2026-03-12 00:00:00,GMADA,131,1110111000,3,1514,P,C,,,,891,S,2026-03-12 00:00:00,11277000.0,10934253.75,1,,,GASOIL,,,0.0,342746.25,,,9319834.71,N,N,12.1.03.03,0.0,14594726.15,45822683.39,,,,,,S
2026,1364,2026-03-12 00:00:00,GMADA,110,1110109000,13,50448,P,C,,,,1316,S,2026-03-12 00:00:00,288699.95,288699.95,1,,,caja chica deportes,,,0.0,0.0,,,273826.39,N,N,,,,,,,,,,S
2026,1995,2026-04-14 00:00:00,GMADA,132,1110102000,2,50342,P,C,EXPED,343,2026,1224,S,2026-04-14 00:00:00,5197841.4,5197841.4,1,,,becas MARZO/ABRIL,,,0.0,0.0,,,4295736.69,N,N,11.4.07.00,0.0,73533.91,2408894.59,,,,,,S
2026,1996,2026-04-14 00:00:00,GMADA,110,1110102000,2,50008,P,C,,,,1220,S,2026-04-14 00:00:00,1882712.16,1882712.16,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,1882712.16,N,,,,,,,,,,,N
2026,1997,2026-04-14 00:00:00,GMADA,110,1110102000,2,50008,P,C,,,,1220,S,2026-04-14 00:00:00,228183.08,228183.08,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,228183.08,N,,,,,,,,,,,N
2026,1998,2026-04-14 00:00:00,GMADA,110,1110103000,3,50008,P,C,,,,1220,S,2026-04-14 00:00:00,302867.44,302867.44,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,302867.44,N,,,,,,,,,,,N
2026,1999,2026-04-14 00:00:00,GMADA,110,1110104000,5,50008,P,C,,,,1220,S,2026-04-14 00:00:00,90713.92,90713.92,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,90713.92,N,,,,,,,,,,,N
2026,2000,2026-04-14 00:00:00,GMADA,110,1110104000,5,50008,P,C,,,,1220,S,2026-04-14 00:00:00,180028.71,180028.71,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,180028.71,N,,,,,,,,,,,N
2026,2001,2026-04-14 00:00:00,GMADA,110,1110104000,5,50008,P,C,,,,1220,S,2026-04-14 00:00:00,39637146.49,39496713.04,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,140433.45,,,39637146.49,N,,,,,,,,,,,N
2026,2002,2026-04-14 00:00:00,GMADA,110,1110104000,11,50008,P,C,,,,1220,S,2026-04-14 00:00:00,523363.09,523363.09,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,523363.09,N,,,,,,,,,,,N
2026,2003,2026-04-14 00:00:00,GMADA,110,1110104000,11,50008,P,C,,,,1220,S,2026-04-14 00:00:00,442338.92,442338.92,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,442338.92,N,,,,,,,,,,,N
2026,2004,2026-04-14 00:00:00,GMADA,110,1110105000,6,50008,P,C,,,,1220,S,2026-04-14 00:00:00,461666.66,461666.66,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,461666.66,N,,,,,,,,,,,N
2026,2005,2026-04-14 00:00:00,GMADA,132,1110105000,6,50008,P,C,,,,1220,S,2026-04-14 00:00:00,612685.56,567153.59,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,45531.97,,,612685.56,N,,,,,,,,,,,N
2026,2006,2026-04-14 00:00:00,GMADA,110,1110106000,7,50008,P,C,,,,1220,S,2026-04-14 00:00:00,67846.38,67846.38,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,67846.38,N,,,,,,,,,,,N
2026,2007,2026-04-14 00:00:00,GMADA,132,1110106000,7,50008,P,C,,,,1220,S,2026-04-14 00:00:00,34813.21,34813.21,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,34813.21,N,,,,,,,,,,,N
2026,2008,2026-04-14 00:00:00,GMADA,110,1110108000,14,50008,P,C,,,,1220,S,2026-04-14 00:00:00,463335.77,380611.87,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,82723.9,,,463335.77,N,,,,,,,,,,,N
2026,2009,2026-04-14 00:00:00,GMADA,110,1110109000,13,50008,P,C,,,,1220,S,2026-04-14 00:00:00,3940785.8,3940785.8,1,,,,Generado Automaticámente - Periodo 3/2026 - Tipo/Grupo HEX/23,,0.0,0.0,,,3940785.8,N,,,,,,,,,,,N
