EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,21,1,FAB,0000-00000031,50370,132,5,1,7,0,1110105000,50,0,0,97734.94
2026,28,2,FAB,0000-00000273,50063,110,3,5,5,0,1110102000,1,0,0,15037.88
2026,31,6,FAB,4264-52939440,50036,132,3,1,4,0,1110102000,33,0,0,116420.0
2026,32,16,FAB,2022-21900806,50087,110,2,5,6,0,1110101000,1,0,0,250000.0
2026,33,17,FAB,2022-21900807,50087,131,2,5,6,0,1110111000,23,0,0,280000.0
2026,34,18,FAB,2022-21900808,50087,131,2,5,6,0,1110113000,42,0,0,4000000.0
2026,35,19,FAB,2022-21900809,50087,131,2,5,6,0,1110104000,16,0,0,1418000.0
2026,36,20,FAB,2022-21900810,50087,110,2,5,6,0,1110106000,24,0,0,300000.0
2026,37,21,FAB,2022-21900811,50087,110,2,5,6,0,1110109000,28,0,0,170000.0
2026,38,22,FAB,2022-21900812,50087,110,3,5,5,0,1110102000,1,0,0,125360.0
2026,39,25,FAB,2022-00001349,50003,110,3,7,2,0,1110117000,34,0,0,90000.0
2026,42,27,COM,2025-34890000,50031,110,5,1,4,0,1110106000,24,0,0,100000.0
2026,43,28,COM,1200-00120000,50087,110,3,5,5,0,1110102000,1,0,0,3000.0
2026,44,60,FAB,2022-21900813,50087,110,3,5,5,0,1110102000,1,0,0,180810.27
2026,45,61,FAB,2022-21900814,50087,110,3,5,5,0,1110102000,1,0,0,92253.54
2026,46,62,FAB,2022-21900815,50087,110,3,5,5,0,1110102000,1,0,0,128696.53
2026,47,63,FAB,2022-00001350,50003,110,3,7,2,0,1110104000,16,0,0,453600.0
2026,48,66,FAB,8173-96979394,50031,110,5,1,4,0,1110106000,24,0,0,200000.0
2026,49,63,FAB,2022-00001350,50003,110,3,7,2,0,1110104000,16,0,0,415800.0
2026,50,63,FAB,2022-00001350,50003,110,3,7,2,0,1110104000,16,0,0,37800.0
2026,51,68,FAB,2022-00001351,50003,110,3,7,2,0,1110104000,16,0,0,888300.0
2026,52,67,COM,0000-00000100,3509,110,3,5,4,0,1110105000,50,0,0,365165.0
2026,53,67,COM,0000-00000100,3509,110,3,5,4,0,1110105000,50,0,0,365165.0
2026,105,138,COM,7016-53892069,50023,132,3,1,3,0,1110102000,33,0,0,60839.69
2026,106,141,FAB,2022-21900816,50087,110,3,5,5,0,1110102000,1,0,0,75207.76
2026,107,142,FAB,0000-00000274,50063,110,3,5,5,0,1110102000,1,0,0,1396811.6
2026,108,51,FAC,0002-00001298,2522,110,3,5,3,0,1110102000,1,0,0,45000.0
2026,109,48,FAC,0003-00000651,2086,110,3,5,3,0,1110102000,1,0,0,80000.0
2026,110,53,FAB,0010-00003004,3029,110,3,5,3,0,1110102000,1,0,0,200000.01
2026,111,56,FAB,0006-00000031,3012,110,3,4,6,0,1110115000,1,0,0,923282.1
2026,112,40,FAC,0002-00000754,2513,110,3,5,3,0,1110102000,1,0,0,120000.0
