EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,672,2026-01-28 00:00:00,GMADA,1110104000,5,1138,A,170,131,1,140,1,139,,,,-72000.0,N,S,2026-01-13 00:00:00,2026-01-28 00:00:00,ERROR,1,pescado,2026-01-28 00:00:00,N,COC,2026-01-13 00:00:00,N,2026,,N
2026,673,2026-01-28 00:00:00,GMADA,1110104000,5,1138,A,350,131,1,224,1,224,,,,-108000.0,N,S,2026-01-16 00:00:00,2026-01-28 00:00:00,ERROR,1,pescado,2026-01-28 00:00:00,N,COC,2026-01-16 00:00:00,N,2026,,N
2026,674,2026-01-28 00:00:00,GMADA,1110104000,5,1524,R,674,131,1,461,1,493,,,,324500.0,D,S,2026-01-28 00:00:00,,,1,Insumos quirurgicos,2026-01-28 00:00:00,N,HOSP,2026-01-28 00:00:00,N,2026,,N
2026,1041,2026-02-09 00:00:00,GMADA,1110108000,14,1754,R,1041,110,,,,,,,,21000.0,D,S,2026-02-09 00:00:00,,,1,Reg.Comp. 213/2025 agua,2026-02-09 00:00:00,N,PROD,2026-02-09 00:00:00,N,,,N
2026,1043,2026-02-09 00:00:00,GMADA,1110108000,14,1754,R,1043,110,,,,,,,,73000.0,D,S,2026-02-09 00:00:00,,,1,Reg.Comp. 213/2025 agua,2026-02-09 00:00:00,N,PROD,2026-02-09 00:00:00,N,,,N
2026,1217,2026-02-18 00:00:00,GMADA,1110104000,5,167,R,1217,131,1,653,1,693,,,,491550.0,D,S,2026-02-18 00:00:00,,,1,pollo,2026-02-18 00:00:00,N,HOSP,2026-02-18 00:00:00,N,2026,,N
2026,1219,2026-02-18 00:00:00,GMADA,1110118000,25,3287,R,1219,110,1,631,1,657,,,,78000.0,D,S,2026-02-18 00:00:00,,,1,cartel de señalizac,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1220,2026-02-18 00:00:00,GMADA,1110118000,25,300,R,1220,110,1,634,1,658,,,,563612.0,D,S,2026-02-18 00:00:00,,,1,arts de ferret,2026-02-18 00:00:00,N,DECI,2026-02-18 00:00:00,N,2026,,N
2026,1221,2026-02-18 00:00:00,GMADA,1110118000,25,1879,R,1221,110,1,636,1,659,,,,161600.0,D,S,2026-02-18 00:00:00,,,1,repuestos,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1222,2026-02-18 00:00:00,GMADA,1110118000,25,300,R,1222,110,1,637,1,660,,,,163971.0,D,S,2026-02-18 00:00:00,,,1,arts de ferret,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1223,2026-02-18 00:00:00,GMADA,1110104000,5,879,R,1223,131,1,651,1,698,,,,132760.0,D,S,2026-02-18 00:00:00,,,1,canilla,2026-02-18 00:00:00,N,CICQ,2026-02-18 00:00:00,N,2026,,N
2026,1224,2026-02-18 00:00:00,GMADA,1110104000,5,57,R,1224,131,1,652,1,694,,,,32000.0,D,S,2026-02-18 00:00:00,,,1,servs de imp,2026-02-18 00:00:00,N,HOSP,2026-02-18 00:00:00,N,2026,,N
2026,1225,2026-02-18 00:00:00,GMADA,1110118000,25,413,R,1225,110,1,654,1,689,,,,534000.0,D,S,2026-02-18 00:00:00,,,1,parches,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1226,2026-02-18 00:00:00,GMADA,1110111000,3,1977,R,1226,131,1,644,1,727,,,,815489.79,D,S,2026-02-18 00:00:00,,,1,repuestos,2026-02-18 00:00:00,N,CAS,2026-02-18 00:00:00,N,2026,,N
2026,1227,2026-02-18 00:00:00,GMADA,1110109000,13,879,R,1227,110,1,641,1,676,,,,193682.0,D,S,2026-02-18 00:00:00,,,1,materiales de corralón,2026-02-18 00:00:00,N,DEP,2026-02-18 00:00:00,N,2026,,N
2026,1228,2026-02-18 00:00:00,GMADA,1110104000,5,879,R,1228,131,1,642,1,695,,,,15220.0,D,S,2026-02-18 00:00:00,,,1,materiales,2026-02-18 00:00:00,N,INTER,2026-02-18 00:00:00,N,2026,,N
2026,1230,2026-02-18 00:00:00,GMADA,1110104000,5,167,R,1230,131,1,643,1,692,,,,467699.98,D,S,2026-02-18 00:00:00,,,1,pollo,2026-02-18 00:00:00,N,HOGANC,2026-02-18 00:00:00,N,2026,,N
2026,1232,2026-02-18 00:00:00,GMADA,1110118000,25,2371,R,1232,110,1,645,1,688,,,,423200.0,D,S,2026-02-18 00:00:00,,,1,insumos,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1233,2026-02-18 00:00:00,GMADA,1110113000,20,1879,R,1233,110,1,646,1,685,,,,110000.0,D,S,2026-02-18 00:00:00,,,1,repuestos,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1234,2026-02-18 00:00:00,GMADA,1110113000,20,3297,R,1234,110,1,648,1,682,,,,811100.0,D,S,2026-02-18 00:00:00,,,1,repuestos,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1235,2026-02-18 00:00:00,GMADA,1110113000,20,1995,R,1235,110,1,650,1,679,,,,337800.0,D,S,2026-02-18 00:00:00,,,1,trabajos de carpint,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1236,2026-02-18 00:00:00,GMADA,1110106000,7,2450,R,1236,132,1,647,1,675,,,,263500.0,D,S,2026-02-18 00:00:00,,,1,frutas y verds,2026-02-18 00:00:00,N,JARD,2026-02-18 00:00:00,N,2026,,N
2026,506,2026-01-21 00:00:00,GMADA,1110118000,25,3495,A,257,110,1,189,1,208,,,,-425000.0,N,S,2026-01-14 00:00:00,2026-01-21 00:00:00,ERROR,1,plantas,2026-01-21 00:00:00,N,VIMUNI,2026-01-14 00:00:00,N,2026,,N
2026,793,2026-01-29 00:00:00,GMADA,1110109000,13,101,A,145,132,1,104,1,107,,,,-538400.0,N,S,2026-01-13 00:00:00,2026-01-29 00:00:00,ERROR,1,pileta,2026-01-29 00:00:00,N,DEP,,N,2026,,N
2026,677,2026-01-29 00:00:00,GMADA,1110108000,14,3208,R,677,110,1,473,1,509,,,,420000.0,D,S,2026-01-29 00:00:00,,,1,Alquiler baños quimicos,2026-01-29 00:00:00,N,PROD,2026-01-29 00:00:00,N,2026,,N
2026,678,2026-01-29 00:00:00,GMADA,1110104000,5,3356,R,678,131,1,474,1,224,,,,108000.0,D,S,2026-01-29 00:00:00,,,1,Alimentos,2026-01-29 00:00:00,N,COC,2026-01-29 00:00:00,N,2026,,N
2026,679,2026-01-29 00:00:00,GMADA,1110102000,2,3287,R,679,110,1,476,1,525,,,,32500.0,D,S,2026-01-29 00:00:00,,,1,Serv. impresion,2026-01-29 00:00:00,N,GOBHAC,2026-01-29 00:00:00,N,2026,,N
2026,680,2026-01-29 00:00:00,GMADA,1110104000,5,3322,R,680,131,1,448,1,477,,,,1305867.82,D,S,2026-01-29 00:00:00,,,1,Art. limpieza,2026-01-29 00:00:00,N,HOSP,2026-01-29 00:00:00,N,2026,,N
2026,681,2026-01-29 00:00:00,GMADA,1110104000,5,2209,R,681,131,1,445,1,468,,,,381369.5,D,S,2026-01-29 00:00:00,,,1,Alimentos,2026-01-29 00:00:00,N,HOSP,2026-01-29 00:00:00,N,2026,,N
2026,682,2026-01-29 00:00:00,GMADA,1110104000,5,285,R,682,131,1,446,1,476,,,,1782798.01,D,S,2026-01-29 00:00:00,,,1,Insumos laboratorio,2026-01-29 00:00:00,N,LAB,2026-01-29 00:00:00,N,2026,,N
2026,683,2026-01-29 00:00:00,GMADA,1110104000,5,688,R,683,131,1,443,1,469,,,,114000.0,D,S,2026-01-29 00:00:00,,,1,Combustibles,2026-01-29 00:00:00,N,HOSP,2026-01-29 00:00:00,N,2026,,N
2026,791,2026-01-29 00:00:00,GMADA,1110104000,5,2869,R,791,131,1,442,1,475,,,,1508301.0,D,S,2026-01-29 00:00:00,,,1,Alimentos,2026-01-29 00:00:00,N,COC,2026-01-29 00:00:00,N,2026,,N
2026,792,2026-01-29 00:00:00,GMADA,1110104000,5,557,R,792,131,1,440,1,474,,,,380000.0,N,S,2026-01-29 00:00:00,,,1,Insumos quirurgicos,2026-01-29 00:00:00,N,HOSP,2026-01-29 00:00:00,N,2026,,N
2026,870,2026-01-29 00:00:00,GMADA,1110112000,19,216,A,30,110,1,2,1,13,,,,-268000.0,N,S,2026-01-07 00:00:00,2026-01-29 00:00:00,ERROR,1,art de limp,2026-01-29 00:00:00,N,SEHA,2026-01-07 00:00:00,N,2026,,N
2026,794,2026-01-29 00:00:00,GMADA,1110104000,5,2883,R,794,131,1,438,1,473,,,,471223.5,D,S,2026-01-29 00:00:00,,,1,Insumos farmacia,2026-01-29 00:00:00,N,FARM,2026-01-29 00:00:00,N,2026,,N
2026,795,2026-01-29 00:00:00,GMADA,1110104000,5,850,R,795,131,1,437,1,472,,,,2932446.16,D,S,2026-01-29 00:00:00,,,1,Insumos laboratorio,2026-01-29 00:00:00,N,LAB,2026-01-29 00:00:00,N,2026,,N
2026,796,2026-01-29 00:00:00,GMADA,1110118000,25,2403,R,796,110,1,488,1,514,,,,150000.0,D,S,2026-01-29 00:00:00,,,1,Reparacion vehiculo,2026-01-29 00:00:00,N,000SU,2026-01-29 00:00:00,N,2026,,N
2026,797,2026-01-29 00:00:00,GMADA,1110111000,3,1514,R,797,131,1,490,1,511,,,,960000.0,D,S,2026-01-29 00:00:00,,,1,Combustible,2026-01-29 00:00:00,N,CAS,2026-01-29 00:00:00,N,2026,,N
2026,798,2026-01-29 00:00:00,GMADA,1110106000,7,3296,R,798,132,1,485,1,517,,,,109529.2,D,S,2026-01-29 00:00:00,,,1,Pintura,2026-01-29 00:00:00,N,ENV,2026-01-29 00:00:00,N,2026,,N
2026,799,2026-01-29 00:00:00,GMADA,1110112000,19,441,R,799,110,1,481,1,520,,,,55939.85,D,S,2026-01-29 00:00:00,,,1,Art. de libreria,2026-01-29 00:00:00,N,TESOR,2026-01-29 00:00:00,N,2026,,N
