INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,DENOMINACION
1,0,0,0,Gastos en personal
1,1,0,0,Personal permanente
1,1,1,0,Retribuciones del cargo
1,1,2,0,Retribuciones a personal directivo y de control
1,1,3,0,Retribuciones que no hacen al cargo
1,1,4,0,Sueldo anual complementario
1,1,5,0,Otros gastos en personal
1,1,6,0,Contribuciones patronales
1,1,6,1,al IPS
1,1,6,2,AL IOMA
1,1,6,3,Aporte a la Aseguradora de Riesgos de Trabajo
1,1,7,0,Complementos
1,2,0,0,Personal temporario
1,2,1,0,Retribuciones del cargo
1,2,2,0,Retribuciones que no hacen al cargo
1,2,3,0,Sueldo anual complementario
1,2,4,0,Otros gastos en personal
1,2,5,0,Contribuciones patronales
1,2,5,1,AL IPS
1,2,5,2,AL IOMA
1,2,5,3,Aporte a la Aseguradora de Riesgos de Trabajo
1,2,6,0,Complementos
1,3,0,0,Servicios extraordinarios
1,3,1,0,Retribuciones extraordinarias
1,3,2,0,Sueldo anual complementario
1,3,3,0,Contribuciones patronales
1,4,0,0,Asignaciones familiares
1,5,0,0,Asistencia social al personal
1,6,0,0,Beneficios y compensaciones
2,0,0,0,Bienes de consumo
2,1,0,0,Productos alimenticios agropecuarios y forestales
2,1,1,0,Alimentos para personas
2,1,2,0,Alimentos para animales
2,1,3,0,Productos pecuarios
2,1,4,0,Productos agroforestales
2,1,5,0,"Madera, corcho y sus manufacturas"
2,1,9,0,Otros
2,2,0,0,Textiles y vestuario
2,2,1,0,Hilados y telas
2,2,2,0,Prendas de vestir
2,2,3,0,Confecciones textiles
2,2,9,0,Otros
2,3,0,0,"Productos de papel, cartón e impresos"
2,3,1,0,Papel de escritorio y cartón
2,3,2,0,Papel para computación
2,3,3,0,Productos de artes gráficas
2,3,4,0,Productos de papel y cartón
2,3,5,0,"Libros, revistas y periódicos"
2,3,6,0,Textos de enseñanza
2,3,7,0,Especies timbradas y valores
2,3,9,0,Otros
2,4,0,0,Productos de cuero y caucho
2,4,1,0,Cueros y pieles
2,4,2,0,Artículos de cuero
2,4,3,0,Artículos de caucho
2,4,4,0,Cubiertas y cámaras de aire
2,4,9,0,Otros
2,5,0,0,"Productos químicos, combustibles y lubricantes"
2,5,1,0,Compuestos químicos
2,5,2,0,Productos farmacéuticos y medicinales
2,5,3,0,Abonos y fertilizantes
2,5,4,0,"Insecticidas, fumigantes y otros"
2,5,5,0,"Tintas, pinturas y colorantes"
2,5,6,0,Combustibles y lubricantes
2,5,7,0,Específicos veterinarios
2,5,8,0,Productos de material plástico
2,5,9,0,Otros
2,6,0,0,Productos de minerales no metálicos
2,6,1,0,Productos de arcilla y cerámica
2,6,2,0,Productos de vidrio
2,6,3,0,Productos de loza y porcelana
2,6,4,0,"Productos de cemento, asbesto y yeso"
2,6,5,0,"Cemento, cal y yeso"
2,6,9,0,Otros
2,7,0,0,productos metálicos
2,7,1,0,Productos ferrosos
2,7,2,0,Productos no ferrosos
2,7,3,0,Material de guerra
2,7,4,0,Estructuras metálicas acabadas
2,7,5,0,Herramientas menores
2,7,9,0,Otros
2,8,0,0,Minerales
2,8,1,0,Minerales metalíferos
2,8,2,0,Petróleo crudo y gas natural
2,8,3,0,Carbón mineral
2,8,4,0,"Piedra, arcilla y arena"
2,8,9,0,Otros
2,9,0,0,Otros bienes de consumo
2,9,1,0,Elementos de limpieza
2,9,2,0,"Utiles de escritorio, oficina y enseñanza"
2,9,3,0,Utiles y materiales eléctricos
2,9,4,0,Utensilios de cocina y comedor
2,9,5,0,"Utiles menores médicos, quirúrgico y de laboratorio"
2,9,6,0,Repuestos y accesorios
2,9,9,0,Otros
3,0,0,0,Servicios no personales
3,1,0,0,Servicios básicos
3,1,1,0,Energía eléctrica
3,1,2,0,Agua
3,1,3,0,Gas
3,1,4,0,"Teléfonos, telex y telefax"
3,1,5,0,Correos y telégrafo
3,1,9,0,Otros
3,2,0,0,Alquileres y derechos
3,2,1,0,Alquiler de edificios y locales
3,2,2,0,"Alquiler de maquinaria, equipo y medios de transporte"
3,2,3,0,Alquiler de equipos de computación
3,2,4,0,Alquiler de fotocopiadoras
3,2,5,0,Arrendamiento de tierras y terrenos
3,2,6,0,Derechos de bienes intangibles
3,2,9,0,Otros
3,3,0,0,"Mantenimiento, reparación y limpieza"
3,3,1,0,Mantenimiento y reparación de edificios y locales
3,3,2,0,Mantenimiento y reparación  de vehículos
3,3,3,0,Mantenimiento y reparación de maquinaria y equipo
3,3,4,0,Mantenimiento y reparación de vías de comunicación
