COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
37,IVA,RESPO,1.0
38,GANAN,VTABI,1.0
38,IVA,RESPO,1.0
50004,GANAN,SERVI,1.0
50004,IVA,EXENT,1.0
50005,GANAN,EXENT,1.0
50005,GANAN,SERVI,1.0
50005,INGBR,EXENT,1.0
50005,IVA,EXENT,1.0
50005,IVA,RESPO,1.0
50006,GANAN,EXENT,1.0
39,GANAN,VTABI,1.0
39,IVA,RESPO,1.0
1088,INGBR,A122R,1.0
1089,INGBR,A122R,1.0
42,GANAN,SERVI,1.0
50008,GANAN,EXENT,1.0
50008,INGBR,EXENT,1.0
50008,IVA,EXENT,1.0
43,GANAN,SERVI,1.0
43,IVA,RESPO,1.0
50007,GANAN,LOCOB,1.0
1090,INGBR,A122R,1.0
1091,INGBR,A122R,1.0
47,IVA,RESPO,1.0
1092,INGBR,A122R,1.0
1093,INGBR,A122R,1.0
1094,INGBR,A122R,1.0
1095,INGBR,A122R,1.0
1096,INGBR,A122R,1.0
1097,INGBR,A122R,1.0
1098,INGBR,A122R,1.0
55,IVA,RESPO,1.0
1099,INGBR,A122R,1.0
1100,INGBR,A122R,1.0
58,GANAN,VTABI,1.0
58,IVA,RESPO,1.0
50009,GANAN,EXENT,1.0
50009,INGBR,EXENT,1.0
50009,IVA,EXENT,1.0
59,IVA,RESPO,1.0
60,GANAN,SERVI,1.0
60,IVA,RESPO,1.0
1101,INGBR,A122R,1.0
50010,GANAN,EXENT,1.0
50010,INGBR,EXENT,1.0
50010,IVA,EXENT,1.0
1102,INGBR,A122R,1.0
63,GANAN,VTABI,1.0
63,IVA,RESPO,1.0
64,GANAN,VTABI,1.0
64,IVA,RESPO,1.0
65,GANAN,SERVI,1.0
65,IVA,RESPO,1.0
67,GANAN,SERVI,1.0
67,IVA,RESPO,1.0
50011,GANAN,EXENT,1.0
50011,INGBR,EXENT,1.0
50011,IVA,EXENT,1.0
1103,INGBR,A122R,1.0
50012,GANAN,EXENT,1.0
50012,INGBR,EXENT,1.0
50012,IVA,EXENT,1.0
50013,GANAN,EXENT,1.0
50013,INGBR,EXENT,1.0
50013,IVA,EXENT,1.0
50014,GANAN,EXENT,1.0
50014,INGBR,EXENT,1.0
50014,IVA,EXENT,1.0
50015,GANAN,EXENT,1.0
50015,INGBR,EXENT,1.0
50015,IVA,EXENT,1.0
50016,GANAN,EXENT,1.0
50016,INGBR,EXENT,1.0
50016,IVA,EXENT,1.0
50017,GANAN,EXENT,1.0
50017,INGBR,EXENT,1.0
50017,IVA,EXENT,1.0
50018,GANAN,EXENT,1.0
50018,INGBR,EXENT,1.0
50018,IVA,EXENT,1.0
50019,GANAN,EXENT,1.0
