EJERCICIO,DELEG_SOLIC,NRO_SOLIC,NRO_COTI,COD_PROV,NRO_ADJUDIC,ITEM_REAL,NRO_ALTER,DESCRIPCION,COSTO_UNITARIO,ESPEC_TEC,CANTIDAD,CANT_ADJ,CANT_COTI,OBSERVACIONES,NRO_LLAMADO,PRECIO_MAXIMO
2026,1,588,556,3165,553,16,0,ANESTESICO LOCAL - LIDOCAINA JALEA  2 % 25 ML,3737.8,C,30.0,30.0,30.0,,1,0.0
2026,1,588,556,3165,553,17,0,VITAMINA - COMPLEJO B1 B6 NOVARIUM,164.5,C,1000.0,1000.0,1000.0,,1,0.0
2026,1,588,556,3165,553,18,0,ANTIBIOTICOS - TRIMETROPRIMA+ SULFAMETOXAZOL  AMPOLLLAS 5 ML,9130.0,C,6.0,6.0,6.0,,1,0.0
2026,1,588,556,3165,553,19,0,ANTIPSICOTICO - ZUCLOPENTIXOL 200 MG/ML AMP,98799.0,C,1.0,1.0,1.0,,1,0.0
2026,1,588,556,3165,553,20,0,LECHE MATERNIZADA - VITAL INFANTIL POUCH 1 KG,32311.54,C,15.0,15.0,15.0,,1,0.0
2026,1,588,556,3165,553,21,0,VITAMINA - BECOZYM AMPOLLA - PRESENTACION 2 ML.,3688.0,C,96.0,96.0,96.0,,1,0.0
2026,1,585,559,1078,556,1,0,TRABAJOS DE ELECTRICIDAD - CAMBIAR FUSIBLES  NH EN PLANTA DE OXIGENO,50000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,80,81,167,81,1,0,POLLO - PATA Y MUSLO KG,6500.0,C,19.65,19.65,19.65,,1,0.0
2026,1,80,81,167,81,2,0,POLLO -  PECHUGA KG,11500.0,C,8.9,8.9,8.9,,1,0.0
2026,1,80,81,167,81,3,0,POLLO - HAMBURGUESA DE POLLO KG,10500.0,C,9.0,9.0,9.0,,1,0.0
2026,1,81,93,17,93,1,0,CAJA DE ENGRANAJE P/MOTOGUADAÑA - CAJA DE ENGRANAJE P/MOTOGUADAÑA (Genérico),70000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,81,93,17,93,2,0,CABEZALES HUSQVARNA - CABEZALES HUSQVARNA  (Genérico): 25/4.,16000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,81,93,17,93,3,0,ARTICLOS DE FERRETERIA - ARTICLOS DE FERRETERIA (Genérico): BUJIAS.,7000.0,C,2.0,2.0,2.0,,1,0.0
2026,1,81,93,17,93,4,0,GRASA P/LUBRICACION - GRASA P/LUBRICACION (GENERICO),18000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,81,93,17,93,5,0,ROLLO DE TANZA - ROLLO DE TANZA (Genérico): CARRETEL TANZA 9-12.,45000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,82,94,71,94,1,0,ARTICLOS DE FERRETERIA - ARTICLOS DE FERRETERIA (Genérico): CUARTA X  6 MTS.,65000.0,C,1.0,1.0,1.0,,1,0.0
2026,1,82,94,71,94,2,0,GRILLETE - GRILLETE (GENERICO),12000.0,C,2.0,2.0,2.0,,1,0.0
2026,1,82,94,71,94,3,0,"BULON - BULON (GENERICO): 8 X 1,25X 20.",400.0,C,8.0,8.0,8.0,,1,0.0
