EJERCICIO,NRO_COTI,COD_PROV,ITEM_REAL,NRO_ALTER,CANTIDAD,DETALLE,COSTO_UNITARIO,ESTADO,ESPEC_TEC,OBSERVACIONES,FECHA_CARGA,CODIGO_UM,NRO_LLAMADO
2026,770,1063,1,0,7.0,SERVICIO TECNICO Y PROFESIONAL - SERVICIO TECNICO Y PROFESIONAL (repatacion de 7 handy),85000.0,N,C,,2026-02-23 11:19:30,0,1
2026,725,57,1,0,1.0,SERVICIO DE IMPRESION - 200 VOLANTE PACIENTE FECHA PROBABLE CIRUGIA,18500.0,N,C,,2026-02-19 08:51:02,176,1
2026,725,57,2,0,1.0,SERVICIO DE IMPRESION - 200 VOLANTE INDICACIONES CIRUGIA PROGRAMADA,18500.0,N,C,,2026-02-19 08:51:02,176,1
2026,726,527,1,0,1.0,AGUJAS SUTURAS - PORTA AGUJA MAYO HEGAR 14CM,13100.0,N,C,,2026-02-19 08:54:42,0,1
2026,726,527,2,0,1.0,HOJA DE BISTURI - MANGO PARA HOJAS BISTURI N°4,4540.0,N,C,,2026-02-19 08:54:42,3,1
2026,726,527,3,0,1.0,"PINZA DE CIRUJIA - PINZA DE DISECCION 14,5CM",5540.0,N,C,,2026-02-19 08:54:42,0,1
2026,726,527,4,0,1.0,PINZA DE CIRUJIA - PINZA DE CRILE RECTA 14CM,10580.0,N,C,,2026-02-19 08:54:42,3,1
2026,726,527,5,0,1.0,PINZA DE CIRUJIA - PINZA DE CRILE CURVA 14CM,10580.0,N,C,,2026-02-19 08:54:42,3,1
2026,726,527,6,0,2.0,PINZA DE CIRUJIA - PINZA KOCHER 14CM RECTA,12090.0,N,C,,2026-02-19 08:54:42,3,1
2026,726,527,7,0,1.0,SONDAS - SONDA ACANALADA DE 13CM,3528.0,N,C,,2026-02-19 08:54:42,0,1
2026,726,527,8,0,1.0,TIJERA P/CIRUJIA - TIJERA DE CURACIONES 14CM R/A RECTA,10580.0,N,C,,2026-02-19 08:54:42,3,1
