EJERCICIO,TIPO,NRO_COMPROB,COD_PROV,NRO_REG_COMP,FECH_MOVIM,FECH_COMPROB,FECH_VENCIM,FECH_CONFORMAC,PORC_BONIF,FECH_BONIF,IMPORTE_COMPR,IMPORTE_PAGADO,RINDE_IVA,PORC_IVA,PORC_CRED_FISCAL,LIST_LIBRO_IVA,FECH_LIST_IVA,COD_PROV_REAL,RAZON_SOCIAL,CUIT,DETALLE,IMPORTE_SIN_IVA
2026,FAB,0009-00014669,3226,545,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,0.0,,680949.0,680949.0,N,21.0,0.0,0,,,,  -        -,,562767.76
2026,FAC,0002-00000090,2337,914,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,0.0,,2690617.0,2690617.0,N,21.0,0.0,0,,,,  -        -,,2690617.0
2026,COM,4000-00000009,5090,997,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,0.0,,11713071.82,11713071.82,N,21.0,0.0,0,,,,  -        -,,11713071.82
2026,FAB,0003-00005826,441,1674,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,12400.0,12400.0,N,21.0,0.0,0,,,,  -        -,,10247.93
2026,FAB,0003-00005567,441,1684,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,17215.34,17215.34,N,21.0,0.0,0,,,,  -        -,,14227.55
2026,COM,0000-00000102,3509,67,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,365165.0,365165.0,N,21.0,0.0,0,,,,  -        -,,365165.0
2026,FAC,0002-00000570,57,1224,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-04-20 00:00:00,2026-03-05 00:00:00,0.0,,32000.0,32000.0,N,21.0,0.0,0,,,,  -        -,,32000.0
2026,FAB,4264-53091637,50036,1726,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,0.0,,284743.25,284743.25,N,21.0,0.0,0,,,,  -        -,,235325.0
2026,FAC,0002-00000566,57,345,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-04-20 00:00:00,2026-03-05 00:00:00,0.0,,119400.0,119400.0,N,21.0,0.0,0,,,,  -        -,,119400.0
2026,FAC,0002-00000565,57,268,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-04-20 00:00:00,2026-03-05 00:00:00,0.0,,22000.0,22000.0,N,21.0,0.0,0,,,,  -        -,,22000.0
