NRO_IMPUT,EJERCICIO,NRO_REG_COMP,NRO_REG_DEVEN,NRO_COMPROB,NRO_OP,IMPORTE_DEVEN
443,2007,2016,2110,4000-00000400,2205,263.78
444,2007,2017,2111,0040-00000352,2206,47.7
445,2007,2018,2112,0040-00000353,2207,402.75
446,2007,2019,2113,0040-00000354,2208,105.51
447,2007,2020,2114,0040-00000355,2209,29.93
448,2007,2021,2115,0000-85620230,2210,11651.93
449,2007,2022,2116,0000-85620231,2211,11077.54
450,2007,2023,2117,4000-00000401,2212,1122.7
451,2007,2024,2118,4000-00000402,2213,886.03
452,2007,2025,2119,0040-00000356,2214,449.1
453,2007,2026,2120,0040-00000357,2215,354.41
454,2007,2027,2121,0000-85620232,2216,1472.39
455,2007,2028,2122,0000-85620233,2217,19650.17
456,2007,2029,2123,0000-85620234,2218,3047.39
457,2007,2030,2124,4000-00000403,2219,176.69
458,2007,2031,2125,4000-00000404,2220,365.69
459,2007,2032,2126,4000-00000405,2221,1516.21
460,2007,2033,2127,0040-00000358,2222,70.67
461,2007,2034,2128,0040-00000359,2223,606.47
462,2007,2035,2129,0040-00000360,2224,146.27
463,2007,2036,2130,0000-85620235,2225,6171.9
464,2007,2037,2131,0000-85620236,2226,2217.61
465,2007,2038,2132,4000-00000406,2227,588.7
466,2007,2039,2133,4000-00000407,2228,266.11
467,2007,2040,2134,0040-00000361,2229,235.5
468,2007,2041,2135,0040-00000362,2230,106.45
470,2007,2043,2137,4000-00000408,2232,470.92
472,2007,2045,2139,0000-85620238,2234,7687.75
475,2007,2048,2142,0000-85620239,2237,13144.27
477,2007,2050,2144,0000-85620241,2239,3624.68
479,2007,2052,2146,4000-00000411,2241,401.84
362,2007,1935,2029,0000-85620212,2124,3310.94
364,2007,1937,2031,0000-85620214,2126,5235.65
366,2007,1939,2033,0000-85620216,2128,9224.66
368,2007,1941,2035,4000-00000368,2130,412.47
369,2007,1942,2036,4000-00000369,2131,315.83
371,2007,1944,2038,4000-00000371,2133,616.79
