ANIO,MES,COD_PROV,ALICUOTA,FECHA_CONSULTA
2026,3,1,0.0,2026-03-10 11:39:51
2026,3,2,0.0,2026-03-10 11:39:51
2026,3,3,4.0,2026-03-10 11:39:51
2026,3,4,4.0,2026-03-10 11:39:51
2026,3,5,4.0,2026-03-10 11:39:52
2026,3,6,2.0,2026-03-10 11:39:52
2026,3,7,4.0,2026-03-10 11:39:52
2026,3,8,1.75,2026-03-10 11:39:53
2026,3,9,0.0,2026-03-10 11:39:53
2026,3,10,2.5,2026-03-10 11:39:53
2026,3,11,4.0,2026-03-10 11:39:53
2026,3,12,4.0,2026-03-10 11:39:54
2026,3,13,0.0,2026-03-10 11:39:54
2026,3,14,4.0,2026-03-10 11:39:54
2026,3,15,2.5,2026-03-10 11:39:54
2026,3,17,2.5,2026-03-10 11:39:55
2026,3,18,2.5,2026-03-10 11:39:55
2026,3,19,2.5,2026-03-10 11:39:55
2026,3,20,0.4,2026-03-10 11:39:56
2026,3,21,0.0,2026-03-10 11:39:56
2026,3,22,4.0,2026-03-10 11:39:56
2026,3,23,4.0,2026-03-10 11:39:56
2026,3,24,4.0,2026-03-10 11:39:57
2026,3,25,4.0,2026-03-10 11:39:57
2026,3,26,4.0,2026-03-10 11:39:57
2026,3,28,4.0,2026-03-10 11:39:58
2026,3,29,4.0,2026-03-10 11:39:58
2026,3,30,3.0,2026-03-10 11:39:58
2026,3,31,4.0,2026-03-10 11:39:58
2026,3,32,0.0,2026-03-10 11:39:59
2026,3,33,4.0,2026-03-10 11:39:59
2026,3,35,2.5,2026-03-10 11:39:59
2026,3,36,4.0,2026-03-10 11:40:00
2026,3,37,0.3,2026-03-10 11:40:00
2026,3,38,3.5,2026-03-10 11:40:00
2026,3,39,4.0,2026-03-10 11:40:01
2026,3,40,4.0,2026-03-10 11:40:01
2026,3,41,0.0,2026-03-10 11:40:01
2026,3,42,4.0,2026-03-10 11:40:01
2026,3,43,2.0,2026-03-10 11:40:02
2026,3,44,4.0,2026-03-10 11:40:02
2026,3,45,3.5,2026-03-10 11:40:02
2026,3,46,4.0,2026-03-10 11:40:02
2026,3,47,4.0,2026-03-10 11:40:03
2026,3,48,4.0,2026-03-10 11:40:03
2026,3,49,0.0,2026-03-10 11:40:03
2026,3,50,0.0,2026-03-10 11:40:04
2026,3,51,0.0,2026-03-10 11:40:04
2026,3,52,4.0,2026-03-10 11:40:04
2026,3,53,1.5,2026-03-10 11:40:04
2026,3,54,0.0,2026-03-10 11:40:05
