ANIO_PRESUP,JURISDICCION,TRIM1_CUOTA,TRIM2_CUOTA,TRIM3_CUOTA,TRIM4_CUOTA,TRIM1_COMPR,TRIM2_COMPR,TRIM3_COMPR,TRIM4_COMPR
2024,1110117000,50000000.0,206000000.0,100000000.0,100000000.0,26616056.08,34971295.74,38465140.44,60282878.17
2024,1110118000,372000000.0,579000000.0,715000000.0,640000000.0,294359443.0,368045172.28,480477309.13,595160550.34
2025,1110107000,1200000000.0,22000000.0,0.0,0.0,775896059.08,12065041.35,0.0,0.0
2025,1110101000,200000000.0,110000000.0,115000000.0,208000000.0,75017432.79,77410592.07,87589489.23,76303759.0
2025,1110102000,500500000.0,570000000.0,586000000.0,500000000.0,382878992.97,325238780.3,295032475.49,331184564.99
2025,1110103000,2560000000.0,2100000000.0,607000000.0,659000000.0,2368037000.72,729489267.0,612788542.92,472966825.02
2025,1110104000,3109000000.0,4630000000.0,3290000000.0,4930000000.0,2657085053.98,3170496461.77,3118312447.38,3187966356.49
2025,1110105000,200000000.0,260000000.0,211000000.0,261000000.0,187301381.96,210566818.91,176891781.74,196263826.42
2025,1110106000,650000000.0,680000000.0,515000000.0,632000000.0,514204407.16,541568679.81,416386783.9,401495028.23
2025,1110112000,200000000.0,260000000.0,198000000.0,220000000.0,167240855.76,227867544.87,175296465.59,207525938.5
2025,1110113000,1940000000.0,1000000000.0,751000000.0,1320000000.0,513090784.73,690318356.11,608034888.61,606711451.71
2025,1110114000,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0
2025,1110115000,150000000.0,100000000.0,205000000.0,110000000.0,41158383.45,65880477.21,38225126.03,54723838.72
2025,1110116000,100000000.0,500000000.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0
2025,1110117000,100000000.0,100000000.0,91000000.0,120000000.0,79575193.27,95392897.17,80986041.39,102259236.17
2025,1110118000,1550000000.0,1850000000.0,698000000.0,1710000000.0,968544952.58,1080395974.75,683125729.73,676175863.98
2025,1110200000,100000000.0,100000000.0,80000000.0,200000000.0,79123859.87,88823052.07,79107553.7,93831899.14
2026,1110101000,160000000.0,0.0,0.0,0.0,67156343.89,0.0,0.0,0.0
2026,1110102000,500000000.0,0.0,0.0,0.0,369386289.58,0.0,0.0,0.0
2026,1110103000,370000000.0,0.0,0.0,0.0,277255720.51,0.0,0.0,0.0
2026,1110104000,2780000000.0,0.0,0.0,0.0,2281255278.57,0.0,0.0,0.0
2026,1110106000,600000000.0,0.0,0.0,32000000.0,457975111.86,0.0,0.0,0.0
2026,1110108000,80000000.0,0.0,0.0,0.0,44274466.76,0.0,0.0,0.0
2026,1110109000,170000000.0,0.0,0.0,0.0,115401975.47,0.0,0.0,0.0
2026,1110111000,150000000.0,0.0,0.0,0.0,127313274.02,0.0,0.0,0.0
2026,1110113000,750000000.0,0.0,0.0,0.0,435074916.58,0.0,0.0,0.0
2026,1110115000,120000000.0,0.0,0.0,0.0,55201703.91,0.0,0.0,0.0
2026,1110118000,660000000.0,0.0,0.0,0.0,564355434.57,0.0,0.0,0.0
2026,1110200000,70000000.0,0.0,0.0,0.0,58437306.27,0.0,0.0,0.0
2026,1110117000,100000000.0,0.0,0.0,0.0,61401344.7,0.0,0.0,0.0
2018,1110108000,2700000.0,3000000.0,1300000.0,1300000.0,1711595.11,1567359.67,1458403.67,1774594.33
2018,1110118000,9120000.0,11900000.0,12000000.0,12700000.0,11042606.48,10751081.99,10177056.21,11548797.2
2018,1110101000,6600000.0,4500000.0,6000000.0,3500000.0,3635351.45,2515384.2,1684153.04,3092873.82
2018,1110102000,10000000.0,8500000.0,10000000.0,10000000.0,12372030.63,10892926.51,10377781.08,10501209.13
2018,1110116000,9200000.0,9000000.0,9500000.0,9900000.0,7104477.14,7048131.24,4547370.32,4895848.47
2018,1110115000,2700000.0,1600000.0,1000000.0,1000000.0,731308.53,859734.38,658277.6,800047.26
2018,1110106000,7900000.0,6900000.0,8650000.0,6890000.0,8000922.32,8791733.77,8766750.45,8258513.67
2018,1110112000,4000000.0,6500000.0,7500000.0,5000000.0,6029820.38,5562795.82,4679545.99,5725928.57
2018,1110200000,3000000.0,3530000.0,6500000.0,3300000.0,3102463.92,2982023.0,2845472.51,3203763.05
2019,1110105000,7100000.0,9000000.0,10000000.0,11000000.0,8324603.14,8879183.52,8913157.87,9611056.37
2019,1110103000,162500000.0,350000000.0,350000000.0,100000000.0,39231845.93,12871738.8,21643674.53,21992726.63
2019,1110104000,72000000.0,75500000.0,123000000.0,115100000.0,71444013.04,74763035.13,84912756.87,99847641.97
2019,1110102000,11000000.0,12000000.0,17000000.0,20490000.0,12569350.48,12255187.77,13255788.13,14278153.39
2019,1110200000,3000000.0,5500000.0,5500000.0,5500000.0,3126969.0,3568110.45,3080982.24,3746145.3
2018,1110105000,8950000.0,6900000.0,4900000.0,5000000.0,8545226.25,8447117.45,6090883.68,6428850.68
2018,1110113000,10000000.0,12300000.0,12400000.0,13000000.0,11297928.83,11483035.44,10943418.41,11558071.42
2018,1110109000,3000000.0,3500000.0,7000000.0,3060000.0,5184646.82,4318362.01,4323802.47,3615892.41
2018,1110103000,10900000.0,73100000.0,90900000.0,81500000.0,10430639.8,28760828.93,20900117.86,13379229.27
2018,1110111000,5000000.0,5500000.0,4300000.0,4900000.0,4309073.34,4823532.22,2943718.57,5655684.23
2018,1110117000,3000000.0,3000000.0,3000000.0,5500000.0,3696520.45,3668466.36,2673894.03,3074867.27
2018,1110114000,1200000.0,900000.0,2000000.0,1000000.0,808325.34,948266.8,831922.01,881877.22
2019,1110106000,10000000.0,10800000.0,22000000.0,21000000.0,8819097.86,11074480.28,13184217.59,15573771.03
2019,1110107000,35870000.0,1500500.0,1210000.0,1000000.0,30877696.08,432119.4,853630.66,0.0
2019,1110108000,3000000.0,2000000.0,3000000.0,5000000.0,1737847.03,1973843.13,2419843.7,2645899.92
2019,1110109000,4000000.0,5000000.0,6500000.0,6000000.0,4394924.64,4625485.64,5675395.49,5274115.07
2019,1110114000,1500000.0,1000000.0,1000000.0,2000000.0,911120.82,1025781.22,827079.55,1173369.3
2019,1110111000,6805000.0,7940000.0,7000000.0,7000000.0,6146101.88,8223316.19,6708812.26,6928799.02
2019,1110112000,7000000.0,5500000.0,7000000.0,7500000.0,6193173.98,6010582.34,6597728.47,9520695.89
