CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2020
10,"APORTE PJ
",O,,0.0,PJ,74012,2020
11,"APORTE UCR
",O,,0.0,UCR,74011,2020
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2020
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2020
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2020
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2020
16,"F.O.S.
",O,,0.0,FOS,74013,2020
17,"PROCASA

",O,,0.0,PROC,74017,2020
18,"BANCO NACION
",O,,0.0,NACIO,74018,2020
19,"UPCN
",O,,0.0,UPCN,74020,2020
20,"ATE
",O,,0.0,ATE,74019,2020
21,REINTEGROS,O,,0.0,REIN,74021,2020
22,OSDE,O,,0.0,OSDE,74022,2020
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2020
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2020
25,BANCO MACRO,O,,0.0,MACRO,74027,2020
784,SUSS,I,2.0,0.0,SUSS.,74023,2020
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2020
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2021
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2021
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2021
4,Garantia,O,,0.0,GARAN,71001,2021
5,"Sindicato
",O,,0.0,SIND,74009,2021
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2021
7,Embargos,O,,0.0,EMBA,74003,2021
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2021
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2021
10,"APORTE PJ
",O,,0.0,PJ,74012,2021
11,"APORTE UCR
",O,,0.0,UCR,74011,2021
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2021
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2021
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2021
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2021
16,"F.O.S.
",O,,0.0,FOS,74013,2021
17,"PROCASA

",O,,0.0,PROC,74017,2021
18,"BANCO NACION
",O,,0.0,NACIO,74018,2021
19,"UPCN
",O,,0.0,UPCN,74020,2021
20,"ATE
",O,,0.0,ATE,74019,2021
21,REINTEGROS,O,,0.0,REIN,74021,2021
22,OSDE,O,,0.0,OSDE,74022,2021
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2021
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2021
25,BANCO MACRO,O,,0.0,MACRO,74027,2021
784,SUSS,I,2.0,0.0,SUSS.,74023,2021
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2021
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2022
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2022
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2022
4,Garantia,O,,0.0,GARAN,71001,2022
5,"Sindicato
",O,,0.0,SIND,74009,2022
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2022
7,Embargos,O,,0.0,EMBA,74003,2022
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2022
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2022
10,"APORTE PJ
",O,,0.0,PJ,74012,2022
11,"APORTE UCR
",O,,0.0,UCR,74011,2022
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2022
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2022
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2022
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2022
16,"F.O.S.
",O,,0.0,FOS,74013,2022
17,"PROCASA

",O,,0.0,PROC,74017,2022
18,"BANCO NACION
",O,,0.0,NACIO,74018,2022
19,"UPCN
",O,,0.0,UPCN,74020,2022
20,"ATE
",O,,0.0,ATE,74019,2022
21,REINTEGROS,O,,0.0,REIN,74021,2022
22,OSDE,O,,0.0,OSDE,74022,2022
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2022
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2022
25,BANCO MACRO,O,,0.0,MACRO,74027,2022
784,SUSS,I,2.0,0.0,SUSS.,74023,2022
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2022
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2023
20,"ATE
",O,,0.0,ATE,74019,2023
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2023
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2023
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2023
7,Embargos,O,,0.0,EMBA,74003,2023
16,"F.O.S.
",O,,0.0,FOS,74013,2023
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2023
4,Garantia,O,,0.0,GARAN,71001,2023
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2023
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2023
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2023
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2023
25,BANCO MACRO,O,,0.0,MACRO,74027,2023
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2023
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2023
18,"BANCO NACION
",O,,0.0,NACIO,74018,2023
22,OSDE,O,,0.0,OSDE,74022,2023
10,"APORTE PJ
",O,,0.0,PJ,74012,2023
17,"PROCASA

",O,,0.0,PROC,74017,2023
21,REINTEGROS,O,,0.0,REIN,74021,2023
5,"Sindicato
",O,,0.0,SIND,74009,2023
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2023
784,SUSS,I,2.0,0.0,SUSS.,74023,2023
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2023
11,"APORTE UCR
",O,,0.0,UCR,74011,2023
19,"UPCN
",O,,0.0,UPCN,74020,2023
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2023
26,Loteos Municipales cuotas,O,,,LMC,74888,2024
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2017
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2017
4,Garantia,O,,0.0,GARAN,71001,2017
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2017
