CODIGO,JURISDICCION,DESCRIPCION,PADRE,SELECCIONABLE
CDCON,1110112000,TRANSITO CARNET,,S
ESCART,1110105000,ESCUELA DE ARTE,,S
ESTTEM,1110104000,ESTIMULACION TEMPRANA,,S
NEUROL,1110104000,NEUROLOGIA INFANTIL,,S
CEREM,1110101000,CEREMONIAL,,S
CENTRO,1110104000,CENTRO ATENCION PRIMARIA MACEDO,,S
VIG,1110113000,VIGILANCIA,,S
PEDIAT,1110104000,PEDIATRIA,,S
GAL,1110103000,GALPON DE FORD,,S
DDI,1110113000,DIRECCION DE INVESTIGACIONES,,S
GUIPI,1110108000,DELEGACION GUIAS PIRAN,,S
CQ,1110103000,CIC Bº QUINTANILLA,,N
CIC,1110103000,CIC DEL Bº QUINTANILLA,,S
LIQ,1110102000,Liquidaciones,,
DEPOBF,1110112000,DEPOSITO DE BIENES FISICO,,S
ASISTE,1110113000,ASISTENCIA A LA VICTIMA DEL DELITO,,S
ARCHH,1110105000,ARCHIVO HISTORICO,,S
CICQ,1110104000,CIC QUINTANILLA,,S
SUIN,1110113000,SUPER  INTENDENCIA,,S
BIFI,1110112000,BIENES FISICOS,,S
SCOOR,1110115000,SECRETARIO DE COORDINACION,,S
RACA,1110103000,Bº RAMON CARRILLLO,,S
ARCHG,1110102000,ARCHIVO DE GESTION,,S
HAB,1110102000,HABITAT,,S
TERINT,1110104000,TERAPIA INTENSIVA,,S
1ºAUX,1110104000,1º Auxilio Errotia,,S
NAC,1110102000,NAC,,S
FAR,1110104000,FARMACIA,,N
LAV,1110104000,LAVADERO,,S
PENS,1110104000,PENSIONADO,,S
FARM,1110104000,FARMACIA,,S
DIRINF,1110115000,DIRECCION DE INFORMATICA,,S
000001,1110116000,Secretaria de Espacios Publicos y Medio Ambiente,,S
000002,1110117000,"Secretaria Legal, Tecnica y Administrativa",,S
00003,1110118000,Secretaria de Servicios Generales y Mantenimiento,,S
ENV,1110106000,PROG. ENVION,,S
COC,1110104000,COCINA HOSPITAL,,S
CHOF,1110104000,CASA CHOFERES,,S
0001,1110117000,ASESORIA LEGAL,,N
000C1,1110118000,Camenterio2,,N
000A,1110117000,ASESORIA LEGAL,,S
000F,1110117000,FISCALIA,,S
000O,1110117000,OMIC,,S
000J,1110117000,JUZGADO,,S
18C,1110118000,CEMENTERIO,,S
00B,1110118000,BARRIDO,,S
000SU,1110118000,SERVICIOS URBANOS,,S
000R,1110118000,RESIDUOS,,S
000GF,1110118000,GALPON DE FORD,,S
000MA,1110116000,MEDIO AMBIENTE,,S
000EV,1110116000,ESPACIOS VERDES,,S
000V,1110116000,VIVERO,,S
000SA,1110116000,SANEAMIENTO AMBIENTAL,,S
FISCA,1110113000,FISCALIA,,S
DMACED,1110102000,DELEGACION MACEDO,,S
COR,1110103000,CORRALON,,S
LAB,1110104000,LABORATORIO ANALISI CLINICOS,,S
FONAU,1110104000,FONAUDIOLOGIA,,S
CAPSN,1110104000,CAPS Bº NORTE,,S
MAT,1110104000,MATERNIDAD,,S
DESTS,1110113000,DESTACAMENTO SUR,,S
GIN,1110104000,SALA GINECOLOGICA,,S
CATAN,1110102000,CASA ESTUDIANTE TANDIL,,S
OFPER,1110104000,OFICINA DE PERSONAL,,S
HPI,1110106000,HOGAR DE PROTECCION INTEGRAL,,S
CONEX,1110104000,CONSULTORIOS EXTERNOS,,S
SALA I,1110104000,SALA DE IMAGENES,,S
FER2,1110113000,FERIA Nº 2,,S
SALAVE,1110103000,SALA VELATORIA,,S
CULT,1110102000,CULTURA,,S
BARTES,1110102000,BELLAS ARTES,,S
MUTUMA,1110102000,MUSEO TUYU MAPU,,S
MUSHIS,1110102000,MUSEO HISTORICO,,S
DIRTUR,1110102000,DIRECCION  DE TURISMO,,S
VIVMUN,1110103000,VIVERO MUNICIPAL,,S
BARU,1110118000,BASURAL RUTA 11,,S
DELRU,1110102000,DELEGACION FRENTE DE RUTA COMERCIAL,,S
PLANRE,1110118000,PLANTA RECICLADO,,S
VIMUNI,1110118000,VIVERO MUNICIPAL,,S
MEAM,1110118000,MEDIO AMBIENTE,,S
AFAC,1110104000,AREA FACTURACION,,S
LTRAN,1110113000,LICENCIA TRANSITO,,N
LIC,1110113000,LICENCIA TRANSITO,,S
EST,1110104000,ESTIRILAZACION,,S
DDS,1110106000,DEPOSITO DESARROLLO,,S
CACUL,1110102000,CASA DE LA CULTURA,,S
TACOS,1110108000,TALLER DE COSTURERAS,,S
ASIV,1110106000,ASISTENCIA A LA VICTIMA,,S
ADM,1110104000,OFICINA ADMISION,,S
DECI,1110118000,DEFENSA CIVIL,,S
GRANJC,1110104000,Granja de contencion,,S
CENCOP,1110102000,CENTRO DE COPIADO,,S
GRAN,1110106000,GRANJA,,S
TERM,1110102000,TERMINAL DE MICROS,,S
INTIM,1110112000,OFICINA DE INTIMACION,,S
JARD1,1110106000,Jardín Maternal N° 1,,S
VIVIE,1110103000,VIVIENDA,,S
ELEC,1110104000,ELECTROMEDICINA,,S
INTER,1110104000,INTERNACION,,S
DELS,1110102000,DELEGACION SUR,,S
PO,1110104000,PLANTA DE OXIGENO,,S
BLO,1110200000,BLOQUES,,S
TURIS,1110105000,DIRECCION DE TURISMO,,S
ESTH,1110104000,ESTADISTICAS HOSPITAL,,S
