EJERCICIO,COD_PROV,EJERCICIO_OC,ORDEN_COMPRA,CODIGO_FF,ES_PROY,IMPORTE_TOTAL,OBSERVACIONES
2004,201,2003,2457,,N,648.0,DEUDA FLOTANTE
2004,201,2003,2632,,N,151.2,DEUDA FLOTANTE
2004,201,2003,2709,,N,113.4,DEUDA FLOTANTE
2004,181,2002,111,,N,329.3,Pasajes Accion Social
2004,201,2003,2532,,N,1836.0,DEUDA FLOTANTE
2004,181,2002,330,,N,987.9,Pasajes Accion social
2004,181,2002,204,,N,635.6,Pasajes Accion social
2004,200,2001,959,,N,235.5,Ropa p Bromatologia
2004,215,2003,2726,,N,851.8,Banderas p Municipalidad
2004,181,2001,1684,,N,367.3,Viajes de Accion Social
2004,181,2001,1938,,N,600.0,Viajes para Accion social
2004,181,2001,2057,,N,494.8,Pasajes a Indigentes
2004,181,2000,841,,N,69.0,Pasajes Indigentes
2004,181,2001,1683,,N,161.0,Pasajes Accion Social
2004,190,2001,2078,,N,265.0,Viaje a Bs As Accion social
2004,194,2000,2280,,N,180.0,Reparacion Garita Planta Urbana
2004,201,2000,1173,,N,86.4,Publicacion Lic Pub 2/2000
2004,201,2000,2330,,N,591.0,Publicacion de Tasas
2004,201,1999,2652,,N,3672.0,Notificacion deuda contribuyentes
2004,201,2000,994,,N,75.6,Aviso Lic Pub N 1/2000
2004,201,2002,1773,,N,6336.9,Publicacion Listado contribuyentes
2004,201,2002,1343,,N,141.0,Publicacion lic Pub 1 y 2/2002
2004,43,2003,2260,,N,4500.0,Consolidacion calles c/polvo de piedra y mov d suelo
2004,219,2001,1448,,N,180.0,DEUDA FLOTANTE 2001
2004,219,2003,806,,N,180.0,DEUDA FLOTANTE
2004,219,2001,254,,N,180.0,DEUDA FLOTANTE
2004,219,2001,1163,,N,180.0,DEUDA FLOTANTE
2004,220,2003,119,,N,500.0,DEUDA FLOTANTE
2004,221,2001,273,,N,550.0,DEUDA FLOTANTE
2004,222,2001,32,,N,114.3,DEUDA FLOTANTE
2004,199,2001,95,,N,151.25,DEUDA FLOTANTE
2004,199,2001,157,,N,229.9,DEUDA FLOTANTE
2004,226,2001,2128,,N,120.0,DEUDA FLOTANTE
2004,226,2001,1784,,N,0.0,DEUDA FLOTANE
2004,218,2001,576,,N,2400.0,DEUDA FLOTANTE
2004,50078,2003,1084,,N,283.05,SUBSIDIO DEUDA FLOTANTE
2004,65,2003,2674,,N,2180.0,deuda flotante
2004,65,2003,2675,,N,2180.0,deuda flotante
2004,50082,2002,805,,N,5050.0,DEUDA FLOTANTE
2004,50083,2003,261,,N,2400.0,DEUDA
2004,252,2003,2881,,N,1700.6,deuda flotante
2004,157,2003,2786,,N,900.0,deuda flotante
2004,50023,2001,1876,,N,1005.63,DEUDA 2001
2004,50023,2001,2096,,N,422.01,DEUDA 2001
2004,50023,2002,60,,N,279.72,DEUDA 2002
2004,50023,2002,170,,N,251.83,DEUDA 2002
2004,50023,2002,336,,N,225.65,DEUDA 2002
2004,50023,2002,495,,N,240.78,DEUDA 2002
2004,50023,2002,629,,N,829.22,DEUDA 2002
2004,50023,2002,806,,N,1426.07,DEUDA 2002
2004,50023,2002,992,,N,2323.34,DEUDA 2002
2004,50023,2002,1195,,N,2466.22,DEUDA 2002
2004,50023,2002,1362,,N,2349.26,DEUDA 2002
2004,50023,2002,1570,,N,2372.76,DEUDA 2002
2004,50023,2002,1717,,N,951.93,DEUDA 2002
2004,50023,2002,1988,,N,778.31,DEUDA 2002
2004,50023,2003,67,,N,293.31,DEUDA 2003
2004,50023,2003,287,,N,262.3,DEUDA 2003
2004,50023,2003,459,,N,270.42,DEUDA 2003
2004,50023,2003,621,,N,249.33,DEUDA 2003
2004,50023,2003,868,,N,251.83,DEUDA 2003
2004,50023,2003,1076,,N,3149.01,DEUDA 2003
2004,50023,2003,1319,,N,2091.12,DEUDA 2003
2004,50023,2003,1619,,N,2457.92,DEUDA 2003
2004,50023,2003,1889,,N,2738.15,DEUDA 2003
2004,50023,2003,2158,,N,2453.25,DEUDA 2003
2004,50023,2003,2445,,N,1408.78,DEUDA 203
2004,50023,2003,2772,,N,816.18,DEUDA 2003
2004,253,2000,420,,N,3228.28,deuda 2000
2004,50086,2003,390,,N,690.0,deuda flotante 2003
2004,260,2003,2633,,N,880.0,deuda 2003
2004,260,2003,2078,,N,75.0,deuda 2003
2004,260,2003,2270,,N,550.0,deuda 2003
2004,260,2003,2381,,N,450.0,deuda 2003
2004,42,2003,175,,N,1923.0,deuda 2003
2004,113,2003,2658,,N,4700.0,DEUDA 2003
2004,62,2003,2659,,N,2275.0,DEUDA 2003
2004,62,2003,510,,N,1300.0,DEUDA 2003
2004,251,2003,1137,,N,1.82,DIFERENCIA EN SUMINISTRO DEUDA 2003
2004,283,2003,511,,N,2800.0,DEUDA 2003
2004,50076,2003,1749,,N,432.62,DEUDA 2003
2004,292,2003,2758,,N,119.99,deuda 2003
2004,292,2003,2714,,N,1941.27,deuda 2003
2004,260,2003,527,,N,3390.0,DEUDA 2003
2004,260,2003,528,,N,4800.0,DEUDA 2003
2004,260,2003,800,,N,1050.0,DEUDA 2003
2004,283,2003,753,,N,176.0,DEUDA FLOTANTE
2004,203,2001,1784,,N,120.0,transporte
2004,1,2001,1,,N,-900.0,PARA ANULAR EL MOVIMIENTO DEL CURSO
2004,4,2002,2,,N,-200.0,PARA REGULARIZAR DEUDA DE EJERCICIOS ANTERIORES
2004,5,2002,200,,N,-600.0,
2004,7,2002,3,,N,-2700.0,
2004,8,2001,6561,,N,-500.0,
2004,28,2001,1013,,N,-645.0,
2004,50001,2001,103535,,N,-4220.0,
2004,21,2001,584,,N,-1250.0,
2004,50003,2002,8,,N,-860.0,PARA REGULARIZAR PROVEEDOR 50003
2004,3,2003,2,,N,-500.0,PARA REGULARIZAR PROVEEDOR 3
2004,13,2003,1202,,N,2000.0,PARA REGULARIZAR EL PROVEEDOR 13
2003,1,2001,1,,N,700.0,
2003,28,2001,1013,,N,645.0,Se debe factura
2003,5,2002,200,,N,600.0,FACTURA 1150
2003,1,2002,2,,N,200.0,
2003,3,2002,1,,N,500.0,se debe del año 2002
2003,4,2002,2,,N,200.0,deuda anterior
2003,7,2002,3,,N,200.0,
2004,14,2001,9999,,N,-200.0,por carga en el curso
2004,19,2003,21,,N,-100.0,POR CARGA EN EL CURSO
2004,24,2001,66,,N,-200.0,CARGA DEL CURSO
2004,4,2001,555,,N,-1756.0,POR CARGA EN EL CURSO
2004,5,2001,3353,,N,-200.0,POR CARGA EN EL CURSO
2004,50001,2001,3535,,N,-400.0,POR CARGA EN EL CURSO
2004,50003,2001,6674,,N,-226.0,POR CARGA EN EL CURSO
2004,7,2001,8787,,N,-60.0,POR CARGA EN EL CURSO
2004,8,2001,6565,,N,-1200.0,POR CARGA EN EL CURSO
2004,50008,2003,7,,N,300.0,SUELDO A PAGAR A BALBIN LUCIANA
2004,50008,2003,13,,N,100.0,"descuento por error, PERALTA ELIDA"
2004,50008,2003,14,,N,80.0,"BRIGNOLES, EUGENIA, S.A.C."
2004,50008,2003,15,,N,40.0,"BRIGNOLES, LAURA, S.A.C."
2004,42,2003,55,,N,9074.0,DEUDA TRABAJOS RED AGUA CORRIENTE
2004,50007,2003,4,,N,676.84,Pago certificado N° 4
2004,50008,2003,1,,N,179.2,Castro Elsa Mabel  Hospital
2004,50028,2003,13,,N,293.14,DEUDA FLOTANTE
2004,90,2003,2951,,N,10732.0,DEUDA EXPTE 1716
2004,90,2003,2824,,N,639.5,DEUDA 2003
2004,104,2003,2847,,N,1700.0,DEUDA
2004,66,2003,2954,,N,304.0,
2004,107,2003,2948,,N,432.0,DEUDA
2004,108,2003,1614,,N,450.0,DEUDA
2004,113,2003,2391,,N,5165.0,DEUDA ZUQUELLI
2004,117,2003,2917,,N,940.35,DEUDA
2004,119,2003,2845,,N,400.0,DEUDA
2004,85,2003,2871,,N,109.0,DEUDA
2004,18,2003,2958,,N,168.0,DEUDA
2004,120,2003,2869,,N,1322.0,deuda
2004,118,2003,2472,,N,632.0,DEUDA
2004,63,2003,2858,,N,105.66,DEUDA
2004,125,2003,2943,,N,630.63,DEUDA
2004,90,2003,2952,,N,3204.0,DEUDA
2004,90,2003,2953,,N,8790.0,DEUDA
2004,126,2003,2190,,N,5001.0,DEUDA
2004,130,2003,2742,,N,465.0,DEUDA
2004,127,2003,2820,,N,96.0,DEUDA
2004,127,2003,2826,,N,411.0,DEUDA
2004,13,2003,2874,,N,170.0,DEUDA
2004,51,2003,2385,,N,372.0,DEUDA
2004,51,2003,2877,,N,170.0,DEUDA
2004,109,2003,2896,,N,1035.0,DEUDA
2004,135,2003,2867,,N,441.0,DEUDA
2004,135,2003,2640,,N,438.9,DEUDA
2004,138,2003,2901,,N,5000.0,DEUDA
2004,138,2003,2902,,N,12000.0,DEUDA
2004,11,2003,2453,,N,580.5,DEUDA
2004,11,2003,2277,,N,533.0,DEUDA
2004,11,2003,2818,,N,490.0,DEUDA
2004,25,2003,2249,,N,855.0,DEUDA
2004,25,2003,2195,,N,130.0,DEUDA
2004,25,2003,2635,,N,1155.0,DEUDA
2004,25,2003,2484,,N,120.0,DEUDA
2004,25,2003,2429,,N,283.0,DEUDA
