ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2003,1110102000,1,1,0,N,Administracion Financiera,adm.fin.,2,0.0,0.0,0.0,,1,6,0,436175.33,0.0,26580.0,0.0,605.0,0.0,,
2003,1110102000,1,0,0,S,Administracion financiera y coordinacion de politica,Adm. fin. y coord. de pol,2,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110102000,1,2,0,N,Coordinacion de politicas,Coord. pol,2,0.0,0.0,0.0,,1,6,0,0.0,0.0,2236.0,0.0,1937.0,0.0,,
2003,1110103000,1,0,0,N,Conduccion y formulacion de politicas de obras y servicios publicos,cond.form.pol.o y s pub,3,0.0,0.0,0.0,,3,9,1,412391.12,0.0,0.0,0.0,0.0,0.0,,
2003,1110107000,1,0,0,N,Intereses de la Deuda,Intereses de la Deuda,2,0.0,0.0,0.0,,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110107000,92,0,0,N,Amortización Deuda Flotante,Amort. Deuda Flotante,2,0.0,0.0,0.0,,9,9,0,240000.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,31,0,0,S,Servicios Urbanos,Sev Urbanos,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110107000,93,0,0,N,Amortizacion Deuda Consolidada,Amort. Deuda Consolidada,2,0.0,0.0,0.0,,9,9,0,42000.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110107000,94,0,0,N,Devolución de Tributos,Dev. de Tributos,2,0.0,0.0,0.0,,9,9,0,37023.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,31,1,0,N,Alumbrado,Alumbrado,3,0.0,0.0,0.0,,3,9,2,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,31,2,0,N,Barrido,Barrido,3,0.0,0.0,0.0,,3,9,3,0.0,0.0,1670.0,0.0,0.0,0.0,,
2003,1110107000,95,0,0,N,Crédito Adicional,Crédito Adicional,2,0.0,0.0,0.0,,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,31,3,0,N,Residuos,Residuos,3,0.0,0.0,0.0,,3,9,3,0.0,0.0,11864.0,0.0,0.0,0.0,,
2003,1110106000,61,0,0,S,Prestación de Servicios Sociales,Prest. de Serv. Soc.,7,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,31,4,0,N,Cementerio,Cementerio,3,0.0,0.0,0.0,,3,9,4,0.0,0.0,4155.0,0.0,3705.0,3705.0,,
2003,1110106000,61,1,0,N,Trabajo Social,Trabajo Social,7,0.0,0.0,0.0,,3,2,0,1500.0,0.0,2291.0,0.0,0.0,0.0,,
2003,1110103000,32,0,0,S,Reparacion y mejorado de Calles,Rep.Mej.Calles,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110106000,61,2,0,N,Atención a la Primera Infancia,At. a la Primera Infancia,7,0.0,0.0,0.0,,3,2,0,0.0,0.0,12.0,0.0,0.0,0.0,,
2003,1110103000,32,1,0,N,Coordinacion Administrativa,Coordinac. Admins.,3,0.0,0.0,0.0,,3,9,1,0.0,0.0,7410.0,0.0,0.0,0.0,,
2003,1110106000,61,3,0,N,Mantenimiento de Espacios Verdes,Mant. de Espacios Verdes,7,0.0,0.0,0.0,,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,32,76,0,S,Obras Viales,Obras Viales,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110106000,61,4,0,N,Construcción de Vivienda Social,Const. de Vivienda Social,7,0.0,0.0,0.0,,3,7,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110105000,51,0,0,S,"Prestación de Servicios Culturales, Recreación y Deportes",Prest. de Serv. Cult.,6,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110104000,41,0,0,S,Atención Sanitaria,Atención Sanitaria,5,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110104000,41,1,0,N,Coordinación Administrativa,Coord. Administ.,5,0.0,0.0,0.0,,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110104000,41,2,0,N,Servicios Medicos Ambulatorios y de Internación,Serv. Medicos,5,0.0,0.0,0.0,,3,1,0,0.0,0.0,54453.0,0.0,0.0,0.0,,
2003,1110104000,41,3,0,N,Provisión de Medicamentos,Provisión de Medicamentos,5,0.0,0.0,0.0,,3,1,0,0.0,0.0,320000.0,0.0,1200.0,0.0,,
2003,1110104000,42,0,0,N,Servicios de Bromatologia,Serv. de Bromatologia,11,0.0,0.0,0.0,,3,1,0,0.0,0.0,1648.0,0.0,0.0,0.0,,
2003,1110200000,81,0,0,N,Acción Legislativa,Acción Legislativa,8,0.0,0.0,0.0,,1,1,0,0.0,0.0,6020.0,0.0,0.0,0.0,,
2003,1110200000,95,0,0,N,Crédito Adicional,Crédito Adicional,8,0.0,0.0,0.0,,9,9,0,0.0,0.0,8800.0,0.0,0.0,0.0,,
2003,1110103000,32,76,51,N,Pavimento,pavimento,3,0.0,0.0,0.0,,3,9,1,20000.0,0.0,-7499075.0,0.0,0.0,0.0,,
2003,1110103000,32,76,52,N,Cordon Cuneta,Cordon Cuneta,3,0.0,0.0,0.0,,3,9,1,89500.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110103000,33,0,0,N,Conservacion y mejorado red vial municipal,cons. red vial,3,0.0,0.0,0.0,,4,3,0,0.0,0.0,500.0,0.0,0.0,0.0,,
2003,1110105000,51,1,0,N,"Prestacion de servicios culturales, recreacion, y deportes",Serv. culturales y dep.,6,0.0,0.0,0.0,,3,4,6,4000.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110105000,51,51,0,S,Construccion Casa de la Cultura y Gimnasio municipal,Const.C.cult.y gimn.,6,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110105000,51,51,51,N,Casa de la Cultura,Casa de la Cultura,3,0.0,0.0,0.0,,3,4,5,7430.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110105000,51,51,52,N,Gimnasio municipal,Gimnasio municipal,3,0.0,0.0,0.0,,3,4,6,4850.0,0.0,0.0,0.0,0.0,0.0,,
2003,1110101000,1,0,0,N,Conducción Política Superior,Conducción Política Super,1,0.0,0.0,0.0,,1,3,0,98516.0,0.0,16898.7,0.0,2680.0,4150.0,,
2004,1110200000,1,0,0,N,Legislación Municipal,Legislación Municipal,8,0.0,0.0,0.0,,1,1,0,202533.27,0.0,9883.49,-59.0,199673.94,198903.76,,
2004,1110101000,1,0,0,N,"Conducción Superior, Administración Financiera  y Fijación de Objetivos de Política Gubernamental",Conducción Superior,1,0.0,0.0,0.0,,1,3,0,934890.0,0.0,558525.26,-26463.95,1586910.79,1582699.82,,
2004,1110104000,16,0,0,N,Atención Médica Primaria y Asistencial,Hospital,5,0.0,0.0,0.0,,3,1,0,1807687.04,0.0,690066.25,-21267.95,2737758.32,2717826.39,,
2004,1110104000,17,0,0,N,Servicios de Control Bromatológico,Bromatologia,11,0.0,0.0,0.0,,3,1,0,77587.0,0.0,5499.1,0.0,91774.93,90976.53,,
2004,1110103000,1,0,0,N,Conducción y Administración de la Secretaria de Obras y Servicios Públicos,Conducción,3,0.0,0.0,0.0,,3,9,1,84986.56,0.0,14293.35,0.0,91813.21,91842.63,,
2004,1110103000,18,0,0,N,Servicios Urbanos en General,Servicios Generales,3,0.0,0.0,0.0,,3,9,1,458039.12,0.0,385968.9,-58.52,961569.54,937248.48,,
2004,1110103000,19,0,0,N,Servicios de Alumbrado Público,Alumbrado,3,0.0,0.0,0.0,,3,9,2,0.0,0.0,17061.0,0.0,354805.91,354805.91,,
2004,1110103000,20,0,0,N,Servicios de Cementerio,Servicios de Cementerio,3,0.0,0.0,0.0,,3,9,4,57424.5,0.0,56066.32,-51.0,116869.88,115710.06,,
2004,1110103000,21,0,0,N,Recolección y Disposición Final de Residuos,Residuos,3,0.0,0.0,0.0,,3,9,3,77230.0,0.0,42938.77,-0.01,121062.52,120830.55,,
2004,1110103000,22,0,0,N,Servicios de Barrido,Servicios de Barrido,3,0.0,0.0,0.0,,3,9,3,90609.0,0.0,44897.06,-809.08,114517.06,114517.06,,
2004,1110111000,23,0,0,N,Conservación y Mejorado de Caminos Rurales,Conservación de Caminos,3,0.0,0.0,0.0,,4,3,0,122397.0,0.0,776342.87,-488.11,862564.24,825227.91,,
2004,1110106000,24,0,0,N,Promoción y Asistencia Social,Asistencia Social,7,0.0,0.0,0.0,,3,2,0,149186.92,0.0,177054.86,-0.03,420496.78,405606.06,,
2004,1110106000,25,0,0,N,Jardin Maternal,Jardin Maternal,7,0.0,0.0,0.0,,3,2,0,76650.5,0.0,413.0,0.0,80265.24,81127.14,,
