ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,FECHA_REGIS,DESCRIPCION1,DESCRIPCION2,DESCRIPCION3,DESCRIPCION4,DESCRIPCION5,DESCRIPCION6
2003,1110106000,61,0,0,2003-06-04 14:27:18,"Este programa permite asistir a la poblacion careciente.
Se otorgan subsidios en efectivo y tambien ayuda mediante materiales para la construccion y asistencia alimentaria.
A través del jardin maternal se brinda un servicio de cuidado y atención a la infancia de primera edad a traves de profesionales.
Tambien mediante el area vivienda se realiza un relevamiento de la población con deficit habitacional y se coordinan los planes de vivienda instrumentados por el gobierno provincial.
El area de producción se realiza el mantenimiento de los espacios verdes. Realizando el mantenimiento de plazas y parques y tambien un plan de forestación de la ciudad. Alli funciona el vivero municipal que provee especies para el arbolado público y el embellecimiento de los espacios verdes.
",,,,,
2003,1110103000,32,0,0,2003-06-04 14:28:13,"Este programa esta destinado a la reparacion y mejorado de calles en zona urbana y sub.urbana, calle El Libano e/Peru y Macedo",,,,,
2003,1110200000,81,0,0,2003-06-04 14:28:41,"El Honorable Concejo Deliberante realiza toda la acción legislativa mediante la sanción de ordenanzas y otros instrumentos legales que establecen las disposiciones legislativas que tienen vigencia en el Partido de General Juan Madariaga.
",,,,,
2003,1110105000,51,0,0,2003-06-04 14:31:08,"Se brindan servicios culturales, deportivos y educativos.
Se prevee el funcionamiento de la Escuela de Bellas Artes donde concurren 150 alumnos en distintas disciplinas culturales y deportivas.
",,,,,
2003,1110103000,33,0,0,2003-06-04 14:30:19,"Este programa prevee realizar puentes, desagues, alcantarillas y mantenimiento de caminos vecinales rurales",,,,,
2003,1110104000,42,0,0,2003-06-04 14:35:11,"Se brindan servicios de bromatologia para el control sanitario de los alimentos que ingresan y salen del Partido de General Juan Madariaga., ademas se realizara una campaña de vacunacion antirrabica gratuita en perros callejeros",,,,,
2003,1110104000,41,0,0,2003-06-04 14:34:02,"En el area Salud se prevee para el año 2003 la atencion de 10000 pacientes ambulatorios y 7500 pacientes internados, suminstrandoles los medicamentos correspondientes, asimsmo se prevee realiza una campaña de vacunacion en establecimientos educativos en zona urbana y rural contra la Hepatitis ",,,,,
2004,1110103000,18,0,0,2003-12-24 11:56:15,"SE REALIZAN SERVICIOS QUE SE PRESTAN DENTRO DEL RADIO URBANO COMO DESMALEZAMIENTO, OBRAS DE BACHEO, CORDON CUNETA, MANTENIMIENTO DE PLAZAS Y PARQUE.
SE COORDINA EL FUNCIONAMIENTO DE LA CIUDAD DESDE EL PUNTO DE VISTA DE LA ZONIFICACION Y EL FUNCIONAMIENTO DEL TRANSITO DENTRO DEL EJIDO URBANO.
SE REALIZA UN CONTROL E INSPECCION DE LAS OBRAS PARTICULARES DE CONSTRUCCION QUE REALIZAN LAS FAMILIAS MADARIAGUENSES.",,,,,
2004,1110103000,19,0,0,2003-12-24 11:57:29,"SE PRESTA EL SERVICIO DE ALUMBRADO PUBLICO A LA POBLACION. EL MISMO SE REALIZA A TRAVES DE LA EMPRESA PRESTATARIA DEL SERVICIO LA COEMA LTDA REALIZANDO ESTA SECRETARIA EL CONTROL DEL CUMPLIMIENTO DE LAS PAUTAS ESTABLECIDAS EN EL CONTRATO DE CONCESION.
TAMBIEN SE REALIZA LA REPARACION DE LAS LAMPARAS Y COLUMNAS EXISTENTES.",,,,,
2004,1110103000,20,0,0,2003-12-24 11:59:28,"SE REALIZA EL MANTENIMIENTO DEL CEMENTERIO MUNICIPAL.
SE ESPERA SEGUIR CONSTRUYENDO NICHOS EN EL CEMENTERIO ACTUAL.
SE PLANIFICA MODIFICAR EL ACCESO AL MISMO.",,,,,
