COD_PROV,COD_ESTADO,CAUSA,FECHA_CARGA
3557,0,Alta de Proveedor,2026-02-04 10:28:38
3558,0,Alta de Proveedor,2026-02-09 09:00:33
51096,0,Alta de Proveedor,2026-02-12 07:38:04
3559,0,Alta de Proveedor,2026-02-12 09:26:44
3560,0,Alta de Proveedor,2026-02-12 10:38:01
51097,0,Alta de Proveedor,2026-02-18 12:17:00
51098,0,Alta de Proveedor,2026-02-19 11:32:39
3561,0,Alta de Proveedor,2026-02-20 12:03:01
3562,0,Alta de Proveedor,2026-02-23 08:02:20
51099,0,Alta de Proveedor,2026-02-24 08:23:27
3563,0,Alta de Proveedor,2026-02-24 11:39:12
3564,0,Alta de Proveedor,2026-02-27 07:53:16
3565,0,Alta de Proveedor,2026-03-09 12:28:23
3566,0,Alta de Proveedor,2026-03-10 07:25:50
34,2,CUIT INEXISTENTE,2026-03-10 12:20:57
110,2,CUIT INEXISTENTE,2026-03-10 12:21:49
262,2,CUIT INEXISTENTE,2026-03-10 12:22:08
