EJERCICIO,COD_INGRESO,ORDEN,PORCENTAJE,TIPO_INGRESO,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,CODIGO_AXT,JURISDICCION,CUENTA
2004,213,1,100.0,P,11,4,1,0,,1110102000,
2004,1,1,100.0,P,12,2,12,0,,1110102000,
2004,2,1,100.0,P,12,6,2,0,,1110102000,
2004,3,1,100.0,P,12,2,11,0,,1110102000,
2004,214,1,100.0,P,11,4,3,1,,1110102000,
2004,215,1,100.0,P,11,4,3,4,,1110102000,
2004,216,1,100.0,P,16,2,3,0,,1110102000,
2004,217,1,100.0,P,17,5,1,4,,1110102000,
2004,218,1,100.0,P,11,4,3,2,,1110102000,111220400
2004,219,1,100.0,P,11,9,1,0,,1110102000,111210113
2004,220,1,100.0,P,14,1,1,0,,1110102000,
2004,221,1,100.0,P,17,5,1,8,,1110102000,111220100
2004,222,1,100.0,P,17,5,1,5,,1110102000,111220100
2004,223,1,100.0,P,17,5,1,13,,1110102000,111220100
2004,224,1,100.0,P,17,5,1,14,,1110102000,111220700
2004,225,1,100.0,P,12,9,3,0,,1110102000,
2004,4,1,100.0,P,12,1,17,2,,1110102000,
2004,226,1,100.0,P,17,2,1,1,,1110102000,
2004,227,1,100.0,P,17,5,1,11,,1110102000,111220100
2004,228,1,100.0,P,17,5,1,12,,1110102000,111220100
2004,229,1,100.0,P,17,5,1,15,,1110102000,111220100
2005,213,1,100.0,P,11,4,1,0,,1110102000,
2005,1,1,100.0,P,12,2,12,0,,1110102000,
2005,2,1,100.0,P,12,6,2,0,,1110102000,
2005,3,1,100.0,P,12,2,11,0,,1110102000,
2005,214,1,100.0,P,11,4,3,1,,1110102000,
2005,215,1,100.0,P,11,4,3,4,,1110102000,
2005,216,1,100.0,P,16,2,3,0,,1110102000,
2005,217,1,100.0,P,17,5,1,4,,1110102000,
2005,218,1,100.0,P,11,4,3,2,,1110102000,111220400
2005,219,1,100.0,P,11,9,1,0,,1110102000,111210113
2005,220,1,100.0,P,14,1,1,0,,1110102000,
2005,221,1,100.0,P,17,5,1,8,,1110102000,111220100
2005,222,1,100.0,P,17,5,1,5,,1110102000,111220100
2005,223,1,100.0,P,17,5,1,13,,1110102000,111220100
2005,225,1,100.0,P,12,9,3,0,,1110102000,
2005,4,1,100.0,P,12,1,17,4,,1110102000,111210119
2005,226,1,100.0,P,17,2,1,1,,1110102000,
2005,227,1,100.0,P,17,5,1,11,,1110102000,111220100
2005,228,1,100.0,P,17,5,1,12,,1110102000,111220100
2005,224,1,100.0,P,17,5,1,14,,1110102000,
2005,229,1,100.0,P,17,5,1,10,,1110102000,
2005,5,1,100.0,P,12,1,17,11,,1110102000,111210119
2005,6,1,100.0,P,12,1,17,5,,1110102000,111210119
2005,7,1,100.0,P,12,1,17,6,,1110102000,111210119
2005,8,1,100.0,P,12,1,17,7,,1110102000,111210119
2005,9,1,100.0,P,12,1,17,10,,1110102000,111210119
2005,11,1,100.0,P,12,1,17,3,,1110102000,111210119
2005,10,1,100.0,P,12,1,17,8,,1110102000,111210119
2005,12,1,100.0,P,12,1,17,9,,1110102000,111210119
2005,230,1,100.0,P,17,5,1,15,,1110102000,111220100
2005,231,1,100.0,P,17,5,1,6,,1110102000,111220100
2005,13,1,100.0,P,11,4,3,3,,1110102000,111210119
2005,14,1,100.0,P,12,6,2,0,,1110102000,111210119
2005,98,1,100.0,P,12,2,3,0,,1110102000,111210119
2005,32,1,100.0,P,17,5,1,16,,1110102000,111220100
2005,97,1,100.0,P,33,1,0,0,,1110102000,111210119
2006,213,1,100.0,P,11,4,1,0,,1110102000,111210113
2006,1,1,100.0,P,12,2,12,0,,1110102000,111210121
2006,2,1,100.0,P,12,6,2,0,,1110102000,111210121
2006,3,1,100.0,P,12,2,11,0,,1110102000,111210121
2006,214,1,100.0,P,11,4,3,1,,1110102000,111210114
2006,215,1,100.0,P,11,4,3,4,,1110102000,111210115
2006,216,1,100.0,P,16,2,3,0,,1110102000,111210121
2006,217,1,100.0,P,17,5,1,4,,1110102000,111220100
2006,218,1,100.0,P,11,4,3,2,,1110102000,111220400
2006,219,1,100.0,P,11,9,1,0,,1110102000,111210113
2006,220,1,100.0,P,14,1,1,0,,1110102000,111210121
2006,221,1,100.0,P,17,5,1,8,,1110102000,111220100
2006,222,1,100.0,P,17,5,1,5,,1110102000,111220100
2006,223,1,100.0,P,17,5,1,13,,1110102000,111220100
2006,225,1,100.0,P,12,9,3,0,,1110102000,111210121
2006,4,1,100.0,P,12,1,17,4,,1110102000,111210121
2006,226,1,100.0,P,17,2,1,1,,1110102000,111210121
2006,227,1,100.0,P,17,5,1,11,,1110102000,111220100
2006,228,1,100.0,P,17,5,1,12,,1110102000,111220100
2006,224,1,100.0,P,17,5,1,14,,1110102000,111220700
2006,229,1,100.0,P,17,5,1,10,,1110102000,111210121
2006,5,1,100.0,P,12,1,17,11,,1110102000,111210121
2006,6,1,100.0,P,12,1,17,5,,1110102000,111210121
2006,7,1,100.0,P,12,1,17,6,,1110102000,111210121
2006,8,1,100.0,P,12,1,17,7,,1110102000,111210121
2006,9,1,100.0,P,12,1,17,10,,1110102000,111210121
2006,11,1,100.0,P,12,1,17,3,,1110102000,111210121
2006,10,1,100.0,P,12,1,17,8,,1110102000,111210121
2006,12,1,100.0,P,12,1,17,9,,1110102000,111210121
2006,230,1,100.0,P,17,5,1,15,,1110102000,111220100
2006,231,1,100.0,P,17,5,1,6,,1110102000,111220100
2006,13,1,100.0,P,11,4,3,3,,1110102000,111210121
2006,14,1,100.0,P,12,6,2,0,,1110102000,111210121
2006,98,1,100.0,P,12,2,3,0,,1110102000,111210121
2006,32,1,100.0,P,17,5,1,16,,1110102000,111220100
2006,97,1,100.0,P,33,1,0,0,,1110102000,111210121
2006,33,1,50.0,P,12,6,1,0,,1110102000,111210101
2006,33,2,10.0,E,,,,,71005,,111210111
2006,33,3,20.0,E,,,,,71006,,111210111
2006,33,4,5.0,E,,,,,71008,,111210111
2006,33,5,15.0,E,,,,,71007,,111210111
2006,34,1,100.0,P,12,6,1,0,,1110102000,111210101
2006,96,1,100.0,E,,,,,73018,,
2006,95,1,100.0,P,12,6,5,0,,1110102000,111210112
2006,90,1,100.0,P,17,5,1,17,,1110102000,111210122
2006,89,1,100.0,P,17,5,1,18,,1110102000,111220100
2006,94,1,100.0,P,33,1,0,0,,1110102000,111210121
2006,93,1,100.0,P,37,5,2,1,,1110102000,111210113
