EJERCICIO,NRO_ORDEN,DOCU_TIPO,DOCU_NRO,FECHA_DE_REGISTRO,NRO_CANCE,BOCA_RECAUDA,JURISDICCION,DEPENDENCIA,DOCU_TIPO_REGULADO,DOCU_NRO_REGULADO,DOCU_TIPO_REGULADOR,DOCU_NRO_REGULADOR,ASIENTO,TIPO_DE_INGRESO,CONTRIBUYENTE,NRO_CONTRIB,ESTADO,DEDUCCIONES,REIM_NRO,FECHA_DOC,FECHA_ANUL
2026,273790,DIN,42,2026-02-24 00:00:00,,1,1110112000,TESOR,,,,,8434,N,,,,,,2026-02-24 00:00:00,
2026,273785,REDO,258,2026-02-24 00:00:00,,1,1110112000,,,,,,8604,N,,,,,,2026-02-23 00:00:00,
2026,273800,REPA,654,2026-02-24 00:00:00,654,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273801,REPA,655,2026-02-24 00:00:00,655,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273793,REDO,259,2026-02-24 00:00:00,,5,1110112000,,,,,,8446,N,,,,,,2026-02-23 00:00:00,
2026,273797,REPA,652,2026-02-24 00:00:00,652,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273803,REDO,262,2026-02-24 00:00:00,,24,1110112000,,,,,,8519,N,,,,,,2026-02-24 00:00:00,
2026,273806,REPA,657,2026-02-24 00:00:00,657,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273807,REPA,658,2026-02-24 00:00:00,658,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273808,REPA,659,2026-02-24 00:00:00,659,,,,,,,,,,,,,,,2026-02-24 00:00:00,
2026,273810,REDO,270,2026-02-24 00:00:00,,1,1110112000,,,,,,8554,N,,,,,,2026-02-24 00:00:00,
2026,273357,REDO,179,2026-02-06 00:00:00,,24,1110112000,,,,,,6277,N,,,,,,2026-02-06 00:00:00,
2026,273355,REDO,178,2026-02-06 00:00:00,,10,1110112000,,,,,,6275,N,,,,,,2026-02-06 00:00:00,
2026,273361,REDO,177,2026-02-06 00:00:00,,22,1110112000,,,,,,6295,N,,,,,,2026-02-06 00:00:00,
2026,273385,REPA,483,2026-02-09 00:00:00,483,,,,,,,,,,,,,,,2026-02-09 00:00:00,
2026,273359,REDO,175,2026-02-06 00:00:00,,5,1110112000,,,,,,6291,N,,,,,,2026-02-05 00:00:00,
2026,273386,REPA,484,2026-02-09 00:00:00,484,,,,,,,,,,,,,,,2026-02-09 00:00:00,
2026,273369,REDO,184,2026-02-09 00:00:00,,5,1110112000,,,,,,6334,N,,,,,,2026-02-09 00:00:00,
2026,273387,REPAD,484,2026-02-09 00:00:00,484,,,,,,,,,,,,,N,2,2026-02-09 00:00:00,
2026,273388,REPA,485,2026-02-09 00:00:00,485,,,,,,,,,,,,,,,2026-02-09 00:00:00,
2026,273389,REPA,486,2026-02-09 00:00:00,486,,,,,,,,,,,,,,,2026-02-09 00:00:00,
2026,273390,REPAD,478,2026-02-09 00:00:00,478,,,,,,,,,,,,,N,2,2026-02-09 00:00:00,
2026,273391,REPAD,483,2026-02-09 00:00:00,483,,,,,,,,,,,,,N,2,2026-02-09 00:00:00,
2026,273715,REPA,620,2026-02-20 00:00:00,620,,,,,,,,,,,,,,,2026-02-20 00:00:00,
2026,273716,REPAD,620,2026-02-20 00:00:00,620,,,,,,,,,,,,,N,2,2026-02-20 00:00:00,
2026,274123,REPA,786,2026-03-05 00:00:00,786,,,,,,,,,,,,,,,2026-03-05 00:00:00,
2026,274124,REPAD,786,2026-03-05 00:00:00,786,,,,,,,,,,,,,N,,2026-03-05 00:00:00,
2026,273399,REPA,488,2026-02-10 00:00:00,488,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273398,REPA,487,2026-02-10 00:00:00,487,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273400,REPA,489,2026-02-10 00:00:00,489,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273401,REPA,490,2026-02-10 00:00:00,490,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273412,REPA,491,2026-02-10 00:00:00,491,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273413,REPA,492,2026-02-10 00:00:00,492,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273414,REPA,493,2026-02-10 00:00:00,493,,,,,,,,,,,,,,,2026-02-10 00:00:00,
2026,273415,REPAD,493,2026-02-10 00:00:00,493,,,,,,,,,,,,,N,2,2026-02-10 00:00:00,
2026,273603,REPA,565,2026-02-18 00:00:00,565,,,,,,,,,,,,,,,2026-02-18 00:00:00,
2026,273591,DIN,38,2026-02-18 00:00:00,,1,1110112000,TESOR,,,,,7439,N,,,,,,2026-02-18 00:00:00,
2026,273597,REDO,230,2026-02-18 00:00:00,,5,1110112000,,,,,,7492,N,,,,,,2026-02-13 00:00:00,
2026,273600,REPA,563,2026-02-18 00:00:00,563,,,,,,,,,,,,,,,2026-02-18 00:00:00,
