ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2019,1110116000,39,0,0,43,40,130,200,250,
2019,1110116000,42,0,0,44,41,15000,25000,35000,
2018,1110116000,39,0,0,45,43,100,130,200,
2018,1110116000,42,0,0,46,44,30000,35000,40000,
2018,1110117000,34,0,0,26,25,5,10,15,
2018,1110117000,35,0,0,47,45,1000,1500,2300,
2018,1110117000,36,0,0,48,46,100,150,200,
2019,1110105000,30,0,0,45,42,400,500,600,
2019,1110105000,30,0,0,46,43,20,30,50,
2018,1110105000,30,0,0,49,47,20,50,70,
2018,1110105000,30,0,0,50,48,400,600,800,
2018,1110108000,30,0,0,52,50,0,0,5,
2018,1110109000,47,0,0,15,14,1000,1200,1200,
2018,1110109000,48,0,0,15,14,100,150,200,
2018,1110111000,23,0,0,6,3,300,400,600,
2018,1110111000,25,0,0,6,3,0,20,40,
2021,1110104000,16,0,0,12,11,10000,10000,10000,
2021,1110104000,16,0,0,34,31,18,24,30,
2021,1110104000,16,0,0,2,2,450000,600000,635000,
2024,1110113000,32,0,0,32,29,4800,5800,6800,
2020,1110102000,33,0,0,19,18,0,0,16,
2020,1110102000,33,0,0,26,25,0,0,4,
2020,1110104000,16,0,0,12,11,10000,10000,10000,
2020,1110104000,16,0,0,34,31,18,24,30,
2020,1110104000,16,0,0,2,2,450000,600000,635000,
2020,1110104000,17,0,0,12,11,10000,10000,10000,
2021,1110104000,17,0,0,12,11,10000,10000,10000,
2021,1110106000,24,0,0,9,8,6000,6000,3500,
2021,1110106000,25,0,0,9,8,180,180,300,
2021,1110109000,28,0,0,15,14,0,6200,6200,
2021,1110108000,29,0,0,13,12,6000,8000,10000,
2021,1110113000,32,0,0,32,29,4800,5800,6800,
2021,1110113000,32,0,0,26,25,4,15,20,
2021,1110102000,33,0,0,19,18,0,0,16,
2021,1110102000,33,0,0,26,25,0,0,4,
2021,1110106000,42,0,0,9,8,2000,2000,2000,
2020,1110106000,24,0,0,9,8,6000,6000,3500,
2020,1110106000,25,0,0,9,8,180,180,300,
2020,1110106000,42,0,0,9,8,2000,2000,2000,
2020,1110108000,29,0,0,13,12,6000,8000,10000,
2020,1110109000,28,0,0,15,14,0,6200,6200,
2020,1110109000,46,0,0,24,23,0,50,50,
2021,1110113000,42,0,0,39,34,200,400,600,
2020,1110113000,32,0,0,32,29,4800,5800,6800,
2020,1110113000,32,0,0,26,25,4,15,20,
2020,1110113000,42,0,0,39,34,200,400,600,
2020,1110113000,42,0,0,25,24,720,1200,1500,
2020,1110113000,43,0,0,23,22,12,24,31,
2020,1110113000,47,0,0,35,32,4,6,8,
2021,1110113000,42,0,0,25,24,720,1200,1500,
2021,1110113000,43,0,0,23,22,12,24,31,
2021,1110109000,46,0,0,24,23,0,50,50,
2021,1110113000,47,0,0,35,32,4,6,8,
2024,1110108000,29,0,0,13,12,6000,8000,10000,
2024,1110113000,32,0,0,26,25,4,15,20,
2024,1110102000,33,0,0,19,18,0,0,16,
2024,1110102000,33,0,0,26,25,0,0,4,
2024,1110106000,42,0,0,9,8,2000,2000,2000,
2024,1110113000,42,0,0,39,34,200,400,600,
2024,1110113000,42,0,0,25,24,720,1200,1500,
2024,1110113000,43,0,0,23,22,12,24,31,
2024,1110109000,46,0,0,24,23,0,50,50,
2024,1110113000,47,0,0,35,32,4,6,8,
2025,1110104000,16,0,0,12,11,10000,10000,10000,
2025,1110104000,16,0,0,34,31,18,24,30,
2025,1110104000,16,0,0,2,2,450000,600000,635000,
