SEC_MOV_EX_REC,EJERCICIO,FECH_MOV,DOCU_TIPO,DOCU_NRO,JURISDICCION,CODIGO_AXT,IMPORTE
237065,2026,2026-02-20 00:00:00,GAN,1183,1110107000,74001,81606.6
237066,2026,2026-02-20 00:00:00,INGB,1184,1110107000,74004,54963.9
236802,2026,2026-02-09 00:00:00,GAN,1084,1110107000,74001,2510.82
236803,2026,2026-02-09 00:00:00,GAN,1017,1110107000,74001,15738.0
236804,2026,2026-02-09 00:00:00,INGB,1018,1110107000,74004,15442.8
236805,2026,2026-02-09 00:00:00,INGB,1095,1110107000,74004,9848.4
236806,2026,2026-02-09 00:00:00,GAN,1094,1110107000,74001,16414.0
236807,2026,2026-02-09 00:00:00,GAN,1097,1110107000,74001,18352.0
236808,2026,2026-02-09 00:00:00,INGB,1098,1110107000,74004,11011.2
236809,2026,2026-02-09 00:00:00,GAN,1099,1110107000,74001,16530.0
236810,2026,2026-02-09 00:00:00,INGB,1100,1110107000,74004,9918.0
237102,2026,2026-02-24 00:00:00,REDO,258,1110112000,71012,727776.0
237113,2026,2026-02-24 00:00:00,DIN,42,1110112000,71022,1000000.0
237062,2026,2026-02-20 00:00:00,GAN,693,1110107000,74001,9112.61
237063,2026,2026-02-20 00:00:00,SUSS.,1260,1110104000,74023,4654.24
237064,2026,2026-02-20 00:00:00,SUSS.,1259,1110104000,74023,3942.08
236796,2026,2026-02-06 00:00:00,GAN,1016,1110107000,74001,1520.66
236798,2026,2026-02-06 00:00:00,REDO,167,1110112000,71018,89100.0
236837,2026,2026-02-12 00:00:00,INGB,1105,1110107000,74004,2532.0
236838,2026,2026-02-12 00:00:00,INGB,1104,1110107000,74004,4392.0
236839,2026,2026-02-12 00:00:00,INGB,1103,1110107000,74004,608.0
236840,2026,2026-02-12 00:00:00,INGB,1145,1110107000,74004,3351.0
236841,2026,2026-02-12 00:00:00,INGB,1175,1110107000,74004,9718.8
236842,2026,2026-02-12 00:00:00,GAN,1174,1110107000,74001,16198.08
236843,2026,2026-02-12 00:00:00,INGB,1173,1110107000,74004,8532.3
236844,2026,2026-02-12 00:00:00,GAN,1172,1110107000,74001,14220.57
236845,2026,2026-02-12 00:00:00,INGB,1188,1110102000,74004,192.0
236846,2026,2026-02-12 00:00:00,REDO,200,1110112000,71021,130132.9
236847,2026,2026-02-12 00:00:00,IOMA,1191,1110105000,74007,56039.04
236848,2026,2026-02-12 00:00:00,IPS,1190,1110105000,74006,186796.8
236855,2026,2026-02-12 00:00:00,GAN,1194,1110104000,74001,14930.59
236856,2026,2026-02-12 00:00:00,INGB,1195,1110104000,74004,18099.6
236857,2026,2026-02-12 00:00:00,GAN,1192,1110104000,74001,4137.96
236858,2026,2026-02-12 00:00:00,INGB,1193,1110104000,74004,3004.1
236859,2026,2026-02-12 00:00:00,INGB,686,1110109000,74004,3529.4
236860,2026,2026-02-12 00:00:00,GAN,684,1110108000,74001,675.48
236861,2026,2026-02-12 00:00:00,GAN,1186,1110102000,74001,3428.69
236862,2026,2026-02-12 00:00:00,INGB,1187,1110102000,74004,2489.2
236863,2026,2026-02-12 00:00:00,GAN,685,1110109000,74001,4861.49
236864,2026,2026-02-12 00:00:00,INGB,596,1110107000,74004,2844.9
236865,2026,2026-02-12 00:00:00,GAN,688,1110107000,74001,7520.42
236866,2026,2026-02-12 00:00:00,GAN,1181,1110107000,74001,1961.52
236867,2026,2026-02-12 00:00:00,INGB,689,1110107000,74004,4512.2
236868,2026,2026-02-12 00:00:00,INGB,1182,1110107000,74004,5210.8
236869,2026,2026-02-12 00:00:00,GAN,595,1110107000,74001,4741.56
237548,2026,2026-03-06 00:00:00,GAN,1681,1110103000,74001,110882.32
237549,2026,2026-03-06 00:00:00,GAN,1102,1110118000,74001,9639.93
237550,2026,2026-03-06 00:00:00,REDO,324,1110112000,71018,96000.0
237587,2026,2026-03-10 00:00:00,GAN,1682,1110107000,74001,33000.0
237588,2026,2026-03-10 00:00:00,GAN,1685,1110106000,74001,1588065.12
237589,2026,2026-03-10 00:00:00,GAN,1683,1110106000,74001,102426.45
237590,2026,2026-03-10 00:00:00,INGB,1684,1110106000,74004,96141.6
237591,2026,2026-03-10 00:00:00,INGB,1686,1110106000,74004,1152935.2
237730,2026,2026-03-17 00:00:00,INGB,1771,1110107000,74004,1860.0
237731,2026,2026-03-17 00:00:00,GAN,1770,1110107000,74001,1860.0
237732,2026,2026-03-17 00:00:00,SUSS.,1772,1110107000,74023,930.0
237628,2026,2026-03-12 00:00:00,INGB,1679,1110109000,74004,26804.0
237629,2026,2026-03-12 00:00:00,SUSS.,1680,1110109000,74023,18460.12
237630,2026,2026-03-12 00:00:00,GAN,1678,1110109000,74001,6920.24
237654,2026,2026-03-13 00:00:00,INGB,1825,1110105000,74004,3890.4
237655,2026,2026-03-13 00:00:00,INGB,1800,1110112000,74004,30371.3
237656,2026,2026-03-13 00:00:00,GAN,1813,1110118000,74001,77700.79
237657,2026,2026-03-13 00:00:00,INGB,1814,1110118000,74004,26325.0
237658,2026,2026-03-13 00:00:00,SUSS.,1815,1110118000,74023,38850.4
237666,2026,2026-03-13 00:00:00,REDO,353,1110112000,72002,281683.17
237667,2026,2026-03-13 00:00:00,REDO,353,1110112000,72007,-273336.76
237668,2026,2026-03-13 00:00:00,REDO,361,1110112000,71018,89200.0
237561,2026,2026-03-09 00:00:00,GAN,1317,1110104000,74001,25350.36
237562,2026,2026-03-09 00:00:00,SUSS.,1318,1110104000,74023,12675.18
237563,2026,2026-03-09 00:00:00,GAN,1293,1110104000,74001,10189.04
237564,2026,2026-03-09 00:00:00,SUSS.,1294,1110104000,74023,15094.52
237566,2026,2026-03-09 00:00:00,GAN,1314,1110107000,74001,78481.2
237567,2026,2026-03-09 00:00:00,INGB,1315,1110107000,74004,65088.7
237568,2026,2026-03-09 00:00:00,SUSS.,1316,1110107000,74023,54240.6
237570,2026,2026-03-09 00:00:00,GAN,1306,1110104000,74001,2014.2
237571,2026,2026-03-09 00:00:00,SUSS.,1298,1110104000,74023,1193.62
237572,2026,2026-03-09 00:00:00,GAN,1304,1110104000,74001,2466.62
237573,2026,2026-03-09 00:00:00,SUSS.,1307,1110104000,74023,1007.1
237574,2026,2026-03-09 00:00:00,GAN,1310,1110104000,74001,7788.82
237575,2026,2026-03-09 00:00:00,SUSS.,1311,1110104000,74023,3894.41
237576,2026,2026-03-09 00:00:00,SUSS.,1299,1110104000,74023,591.3
237577,2026,2026-03-09 00:00:00,SUSS.,1305,1110104000,74023,1233.31
237578,2026,2026-03-09 00:00:00,GAN,1301,1110107000,74001,52497.5
237579,2026,2026-03-09 00:00:00,SUSS.,1303,1110107000,74023,34663.2
237580,2026,2026-03-09 00:00:00,INGB,1302,1110107000,74004,41595.8
