SEC_MOV_COMP,EJERCICIO,FECH_MOV,CODIGO_UE,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,NRO_REG_COMP,NRO_REGUL,IMPORTE,NRO_REINT,FECH_HORA,NRO_OPEA,NRO_RENG,IMPORTE_DIFER
536178,2026,2026-02-27 00:00:00,2,110,3,4,6,0,1110102000,1,0,0,1514,,724301.0,,2026-02-27 07:40:38,,,0.0
536179,2026,2026-02-27 00:00:00,2,110,3,4,6,0,1110102000,1,0,0,1515,,676419.0,,2026-02-27 07:42:13,,,0.0
536183,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,24598.42,,2026-02-27 08:04:04,1099,,
536184,2026,2026-02-27 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,407331.0,,2026-02-27 08:06:03,1100,,
536185,2026,2026-02-27 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,552552.0,,2026-02-27 08:07:48,1101,,
536186,2026,2026-02-27 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,382536.0,,2026-02-27 08:10:51,1102,,
536188,2026,2026-02-27 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,533456.0,,2026-02-27 08:13:57,1103,,
536709,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,24870.02,,2026-02-27 10:41:24,1104,,
536711,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,42491.2,,2026-02-27 10:43:24,1105,,
536715,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,21768.52,,2026-02-27 10:44:43,1106,,
536717,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,13651.32,,2026-02-27 10:52:23,1107,,
536719,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,52500.0,,2026-02-27 11:03:46,1108,,
536720,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,3050.0,,2026-02-27 11:05:42,1109,,
536721,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,64400.07,,2026-02-27 11:11:43,1110,,
536723,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,309640.26,,2026-02-27 11:17:33,1111,,
536726,2026,2026-02-27 00:00:00,2,132,7,6,1,0,1110107000,93,0,0,,,63337.62,,2026-02-27 11:24:24,1112,,
536728,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,5100.0,,2026-02-27 11:31:06,1113,,
536729,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,28754.27,,2026-02-27 11:34:00,1114,,
536730,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,24780.09,,2026-02-27 11:42:34,1115,,
536731,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,16000.25,,2026-02-27 11:45:25,1116,,
536732,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,173400.0,,2026-02-27 11:46:56,1117,,
536733,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,31000.0,,2026-02-27 11:50:06,1118,,
536734,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,36000.0,,2026-02-27 11:56:03,1119,,
536735,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,106915.04,,2026-02-27 12:01:20,1120,,
536736,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,24159.94,,2026-02-27 12:07:43,1121,,
536737,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,11697.07,,2026-02-27 12:10:03,1122,,
536738,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,18600.0,,2026-02-27 12:18:17,1123,,
536739,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,3716.0,,2026-02-27 12:39:15,1124,,
536740,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,33999.35,,2026-02-27 12:41:23,1125,,
536741,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,24676.52,,2026-02-27 12:44:21,1126,,
536742,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,14250.0,,2026-02-27 12:50:18,1127,,
536743,2026,2026-02-27 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,26259.98,,2026-02-27 12:53:50,1128,,
537452,2026,2026-03-13 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,624000.0,,2026-03-13 08:56:10,1247,,
537454,2026,2026-03-13 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,-624000.0,,2026-03-13 09:45:00,1247,,
537455,2026,2026-03-13 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,,624000.0,,2026-03-13 09:53:30,1248,,
537458,2026,2026-03-13 00:00:00,6,110,3,4,9,0,1110105000,30,0,0,1982,,26957788.0,,2026-03-13 10:38:24,,,0.0
537459,2026,2026-03-13 00:00:00,20,131,5,1,7,0,1110113000,47,0,0,1983,,10324295.76,,2026-03-13 11:32:25,,,0.0
537460,2026,2026-03-13 00:00:00,14,110,1,3,1,0,1110108000,29,0,0,1984,,239143.51,,2026-03-13 00:00:00,,,
537461,2026,2026-03-13 00:00:00,19,110,1,3,1,0,1110112000,1,0,0,1985,,261000.35,,2026-03-13 00:00:00,,,
537464,2026,2026-03-13 00:00:00,2,110,3,1,4,0,1110102000,33,0,0,1988,,122860.0,,2026-03-13 12:40:18,,,0.0
537465,2026,2026-03-13 00:00:00,20,110,3,5,1,0,1110113000,1,0,0,1989,,46000.0,,2026-03-13 13:01:48,,,0.0
537466,2026,2026-03-13 00:00:00,20,110,2,3,1,0,1110113000,1,0,0,1989,,11800.0,,2026-03-13 13:02:15,,,0.0
537467,2026,2026-03-13 00:00:00,20,110,3,5,1,0,1110113000,1,0,0,1990,,-46000.0,,2026-03-13 13:08:51,,,0.0
537468,2026,2026-03-13 00:00:00,20,110,2,3,1,0,1110113000,1,0,0,1990,,-11800.0,,2026-03-13 13:08:51,,,0.0
537469,2026,2026-03-13 00:00:00,20,110,3,5,1,0,1110113000,1,0,0,1991,,56000.0,,2026-03-13 13:10:41,,,0.0
537470,2026,2026-03-13 00:00:00,20,110,2,3,4,0,1110113000,1,0,0,1991,,11800.0,,2026-03-13 13:11:14,,,0.0
537370,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,93000.0,,2026-03-12 09:46:36,1241,,
537373,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,690400.0,,2026-03-12 09:57:02,1242,,
537374,2026,2026-03-12 00:00:00,2,110,3,1,4,0,1110102000,1,0,0,1946,,58760.42,,2026-03-12 10:03:18,,,0.0
537375,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,179000.0,,2026-03-12 10:10:02,1243,,
537376,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,347000.0,,2026-03-12 10:14:45,1244,,
537377,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,146400.0,,2026-03-12 10:22:31,1245,,
537378,2026,2026-03-12 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,,695000.0,,2026-03-12 10:28:38,1246,,
537380,2026,2026-03-12 00:00:00,2,110,3,5,3,0,1110102000,1,0,0,1948,,-200000.01,,2026-03-12 11:07:10,,,0.0
537383,2026,2026-03-12 00:00:00,2,110,3,4,6,0,1110102000,1,0,0,1950,,876963.6,,2026-03-12 11:53:47,,,0.0
537384,2026,2026-03-12 00:00:00,2,110,3,4,6,0,1110102000,1,0,0,1950,,904754.7,,2026-03-12 11:54:47,,,0.0
537396,2026,2026-03-12 00:00:00,13,110,2,5,6,0,1110109000,28,0,0,1952,,75000.0,,2026-03-12 12:38:19,,,0.0
537405,2026,2026-03-12 00:00:00,13,110,3,5,9,0,1110109000,28,0,0,1954,,75000.0,,2026-03-12 12:53:51,,,0.0
537397,2026,2026-03-12 00:00:00,13,110,3,5,1,0,1110109000,28,0,0,1952,,85700.0,,2026-03-12 12:40:23,,,0.0
537398,2026,2026-03-12 00:00:00,13,110,3,2,9,0,1110109000,28,0,0,1952,,78000.0,,2026-03-12 12:41:25,,,0.0
537399,2026,2026-03-12 00:00:00,13,110,3,7,9,0,1110109000,28,0,0,1952,,25000.0,,2026-03-12 12:43:15,,,0.0
537400,2026,2026-03-12 00:00:00,13,110,2,5,6,0,1110109000,28,0,0,1952,,24999.95,,2026-03-12 12:44:37,,,0.0
537401,2026,2026-03-12 00:00:00,13,110,3,5,1,0,1110109000,28,0,0,1953,,-85700.0,,2026-03-12 12:46:01,,,0.0
537402,2026,2026-03-12 00:00:00,13,110,3,7,9,0,1110109000,28,0,0,1953,,-25000.0,,2026-03-12 12:46:01,,,0.0
537403,2026,2026-03-12 00:00:00,13,110,2,5,6,0,1110109000,28,0,0,1953,,-99999.95,,2026-03-12 12:46:01,,,0.0
537404,2026,2026-03-12 00:00:00,13,110,3,2,9,0,1110109000,28,0,0,1953,,-78000.0,,2026-03-12 12:46:01,,,0.0
537406,2026,2026-03-12 00:00:00,13,110,2,5,6,0,1110109000,28,0,0,1954,,24999.95,,2026-03-12 12:53:27,,,0.0
537407,2026,2026-03-12 00:00:00,13,110,3,2,9,0,1110109000,28,0,0,1954,,78000.0,,2026-03-12 12:54:22,,,0.0
537408,2026,2026-03-12 00:00:00,13,110,3,5,1,0,1110109000,28,0,0,1954,,85700.0,,2026-03-12 12:54:49,,,0.0
537409,2026,2026-03-12 00:00:00,13,110,3,7,9,0,1110109000,28,0,0,1954,,25000.0,,2026-03-12 12:55:20,,,0.0
537091,2026,2026-03-10 00:00:00,5,131,2,5,1,0,1110104000,16,0,0,1789,,215398.83,,2026-03-10 08:07:17,,,0.0
537092,2026,2026-03-10 00:00:00,5,131,2,9,1,0,1110104000,16,0,0,1789,,29136.8,,2026-03-10 08:07:17,,,0.0
537093,2026,2026-03-10 00:00:00,5,131,2,5,2,0,1110104000,16,0,0,1790,,5073395.0,,2026-03-10 08:07:50,,,0.0
537094,2026,2026-03-10 00:00:00,5,131,2,3,4,0,1110104000,16,0,0,1791,,142699.07,,2026-03-10 08:10:51,,,0.0
537095,2026,2026-03-10 00:00:00,5,131,2,9,9,0,1110104000,16,0,0,1791,,60640.44,,2026-03-10 08:10:51,,,0.0
