SEC_MOV_PAG,EJERCICIO,FECH_MOV,CODIGO_UE,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,NRO_OP,COD_PROV,NRO_REGUL,IMPORTE,NRO_REINT,NRO_OPEA,NRO_RENG
530353,2026,2026-03-09 00:00:00,25,110,2,9,1,0,1110118000,46,0,0,1196,2371,,324500.0,,,
530354,2026,2026-03-09 00:00:00,25,110,2,1,5,0,1110118000,46,0,0,1196,2371,,98700.0,,,
530356,2026,2026-03-09 00:00:00,5,131,2,9,5,0,1110104000,16,0,0,951,2883,,428728.0,,,
530357,2026,2026-03-09 00:00:00,5,131,2,9,9,0,1110104000,16,0,0,944,2883,,144428.6,,,
530358,2026,2026-03-09 00:00:00,5,131,2,5,2,0,1110104000,16,0,0,948,2883,,76302.6,,,
530359,2026,2026-03-09 00:00:00,5,131,2,9,5,0,1110104000,16,0,0,948,2883,,45556.5,,,
530360,2026,2026-03-09 00:00:00,5,131,2,5,2,0,1110104000,16,0,0,951,2883,,42495.48,,,
530361,2026,2026-03-09 00:00:00,5,131,2,9,5,0,1110104000,16,0,0,945,2883,,71547.3,,,
530362,2026,2026-03-09 00:00:00,5,131,2,9,5,0,1110104000,16,0,0,947,2883,,149230.14,,,
530363,2026,2026-03-09 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,2883,,3466320.0,,1089,
530576,2026,2026-03-17 00:00:00,3,131,2,4,4,0,1110111000,23,0,0,1391,413,,263000.0,,,
530577,2026,2026-03-17 00:00:00,5,131,3,3,2,0,1110104000,16,0,0,1394,413,,40000.0,,,
530578,2026,2026-03-17 00:00:00,5,131,2,4,4,0,1110104000,16,0,0,1395,413,,16000.0,,,
530579,2026,2026-03-17 00:00:00,5,131,2,9,6,0,1110104000,16,0,0,1393,413,,500000.0,,,
530580,2026,2026-03-17 00:00:00,5,131,2,9,6,0,1110104000,16,0,0,1392,413,,170000.0,,,
530581,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,20283.14,,1161,
530582,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,22500.0,,1185,
530583,2026,2026-03-17 00:00:00,2,110,7,6,1,0,1110107000,93,0,0,,441,,32000.5,,1130,
530584,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,46200.2,,1181,
530585,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,68660.0,,1189,
530586,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,47182.94,,1153,
530587,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,73650.07,,1190,
530588,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,33150.0,,1162,
530589,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,57424.5,,1157,
530590,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,4150.13,,1183,
530591,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,6830.0,,1192,
530592,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,14786.45,,1144,
530593,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,82254.62,,1149,
530594,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,38522.96,,1140,
530595,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,54924.88,,1187,
530596,2026,2026-03-17 00:00:00,2,131,7,6,1,0,1110107000,93,0,0,,441,,7620.09,,1163,
530597,2026,2026-03-17 00:00:00,13,110,2,4,3,0,1110109000,28,0,0,1296,17,,171000.0,,,
530598,2026,2026-03-17 00:00:00,25,110,3,3,3,0,1110118000,35,0,0,1295,17,,162000.0,,,
530599,2026,2026-03-17 00:00:00,25,110,2,5,6,0,1110118000,35,0,0,1295,17,,90000.0,,,
