EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,1056,2595,2026-03-16 00:00:00,,1,N
2026,1057,1206,2026-03-16 00:00:00,,1,N
2026,1058,3552,2026-03-16 00:00:00,,1,N
2026,1023,2800,2026-03-16 00:00:00,2276,1,N
2026,1059,2595,2026-03-16 00:00:00,,1,N
2026,1060,2595,2026-03-16 00:00:00,,1,N
2026,1061,879,2026-03-16 00:00:00,,1,N
2026,1062,688,2026-03-16 00:00:00,,1,N
2026,1063,2627,2026-03-16 00:00:00,,1,N
2026,1064,3430,2026-03-16 00:00:00,,1,N
2026,969,3511,2026-03-17 00:00:00,,1,N
2025,4926,1960,2026-03-13 00:00:00,,1,N
2026,566,1943,2026-02-04 00:00:00,,1,N
2026,568,1658,2026-02-04 00:00:00,,1,N
2026,570,2369,2026-02-04 00:00:00,,1,N
2026,571,1879,2026-02-04 00:00:00,,1,N
2026,572,2208,2026-02-04 00:00:00,,1,N
2026,573,90,2026-02-04 00:00:00,,1,N
2026,577,3218,2026-02-04 00:00:00,,1,N
2026,578,141,2026-02-04 00:00:00,,1,N
2026,579,2988,2026-02-05 00:00:00,,1,N
2026,581,436,2026-02-05 00:00:00,,1,N
2026,582,300,2026-02-05 00:00:00,,1,N
2026,583,826,2026-02-05 00:00:00,,1,N
2026,584,685,2026-02-05 00:00:00,,1,N
2026,585,1266,2026-02-05 00:00:00,,1,N
2026,587,2450,2026-02-06 00:00:00,,1,N
2026,588,879,2026-02-06 00:00:00,,1,N
2026,589,2109,2026-02-09 00:00:00,,1,N
2026,590,3558,2026-02-09 00:00:00,,1,N
2026,591,2692,2026-02-09 00:00:00,,1,N
2026,592,635,2026-02-09 00:00:00,,1,N
2026,593,635,2026-02-09 00:00:00,,1,N
2026,595,441,2026-02-09 00:00:00,,1,N
2026,597,2770,2026-02-09 00:00:00,,1,N
2026,598,2110,2026-02-09 00:00:00,,1,N
2026,599,1259,2026-02-09 00:00:00,,1,N
2026,601,5,2026-02-11 00:00:00,,1,N
2026,604,3075,2026-02-11 00:00:00,,1,N
2026,605,169,2026-02-11 00:00:00,,1,N
2026,606,441,2026-02-11 00:00:00,,1,N
2026,607,171,2026-02-11 00:00:00,,1,N
2026,608,3287,2026-02-11 00:00:00,,1,N
2026,609,41,2026-02-11 00:00:00,,1,N
2026,610,3364,2026-02-11 00:00:00,,1,N
2026,622,685,2026-02-11 00:00:00,,1,N
