EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER,COD_PROV,OC_FECH_OC,OC_OBSERVACIONES,ESTADO_OC,SG_JURISDICCION
2026,1,496,19,1,398,19,ROLLO P/ ESTERILIZACION - POLIETILENO 15 CM,1,31142,1,31142,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,18,1,398,18,CINTA HIPOALERGENICA - CINTA TEGADERM 10X12 CAJA X 50,1,23232,1,23232,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,17,1,398,17,TUBULADURA PACIENTE - TUBULADURA INFUSION 8C820,25,11616,25,290400,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,16,1,398,16,SOBRES NYLON MONOFILAMENTO - NYLON  3/0,36,2119,36,76284,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,15,1,398,15,PAPEL P/ELECTROCARDIOGRAM. - PAPEL P/ELECTROCARDIOGRAM.63X30,8,2516,8,20128,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,14,1,398,14,TUBO TELA ADHESIVA 10 cc. - TELA OPER TAPE 10X10,2,14568,2,29136,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,13,1,398,13,TUBOS ENDOTRAQ N° 7 - TUBOS ENDOTRAQ N° 5 CON BALON,1,3041,1,3041,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,12,1,398,12,OVATAS - OVATAS 10 CM X 1.80 M,40,952,40,38080,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,11,1,398,11,INSUMOS PARA EL HOSPITAL - LT 300 CAJA X 18,2,178112,2,356224,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,10,1,398,10,APOSITO - HEMOST DE GELATINA CURASPON 80X50X10,3,8870,3,26610,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,9,1,398,9,CINTA TESTIGO AUTOCLAVO - TIRAS OE CLASE 5X250 EFELAB,5,29558,5,147790,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,8,1,398,8,CINTA TESTIGO AUTOCLAVO TIRAS - TIRAS VAPOR CLASE 4X250 EFELAB,5,24010,5,120050,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,7,1,398,7,PAPEL GRADO MEDICO - RESMA PAPEL  CREPADO 80 X 120 X 20 KG,1,662867,1,662867,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
2026,1,496,6,1,398,6,PAPEL GRADO MEDICO - PAPEL GRADO MEDICO 80X120,1,336864,1,336864,1440,2026-01-29 00:00:00,QUALIMED S.A- PRESUPUESTO N° 89 (FARMACIA- QUIROFANO),R,1110104000
