EJERCICIO,UNI_COMPRA,NRO_OC,NRO_ADJUD,FECH_OC,LUG_EMI,COD_PROV,COD_LUG_ENT,FECH_ENTREGA,ESTADO_OC,TIPO_DOC_APROB,NRO_DOC_APROB,ANIO_DOC_APROB,CONFIRMADO,FECH_CONFIRM,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,OBSERVACIONES,IMPORTE_TOT,COND_PAGO,DESC_COND_PAGO,OC_DIFERIDO
2025,1,5331,5329,2025-11-13 00:00:00,GMADA,2869,2,,R,SUM,5185,2025,S,2025-11-13 00:00:00,2,,,MADA POY S.A.- PRESUPUESTO N° 0001-00000912 (COCINA) MENSUAL DESDE EL 30/10 AL 30/11/2025,1171768.0,000115,,N
2025,1,4233,4231,2025-08-11 00:00:00,GMADA,3287,4,,R,PRESU,1813,2025,S,2025-08-11 00:00:00,2,,,"PRESUPUESTO N° 1813 de ""Hispanograf"" Bonos de pan, pollo y verduras",92260.0,000000,,N
2025,1,4234,4232,2025-08-11 00:00:00,GMADA,71,2,,R,PRESU,14887,2025,S,2025-08-11 00:00:00,1,,,PROVEEDURIA CAMPO Y CIUDAD. RAUL A IRIARTE.BROMATOLOGIA.PRESUPUESTO Nº 14887.,211000.0,000000,,N
2025,1,4235,4233,2025-08-11 00:00:00,GMADA,167,2,,R,PRESU,20,2025,S,2025-08-11 00:00:00,1,,,TODO POLLO- PRESUPUESTO N° 20  (COCINA HOSPITAL ),436350.0,000000,,N
2025,1,4237,4235,2025-08-11 00:00:00,GMADA,3262,3,,R,PRESU,0,2025,S,2025-08-11 00:00:00,1,,,PROV. FGC FUELS MARKET GAS OIL PARA MAQUINAS DE PREDIO DISPOSICION FINAL RUTA 11 KM 405.5,3500000.0,000000,,N
2025,1,4239,4237,2025-08-11 00:00:00,GMADA,2958,2,,R,PRESU,3807,2025,S,2025-08-11 00:00:00,2,,,AVICOLA DEL TUYU DE ANDERS VICTOR- PRESUPUESTO N° 3807 (COCINA HOSPITAL),140000.0,000000,,N
2025,1,4240,4238,2025-08-11 00:00:00,GMADA,3184,2,,R,PRESU,0,2025,S,2025-08-11 00:00:00,3,,,DROGUERIA PERDOMINICI- PRESUPUESTO N° 31/07/2025 (FARMACIA),1885862.88,000000,,N
2025,1,4241,4239,2025-08-11 00:00:00,GMADA,2958,2,,R,PRESU,2563,2025,S,2025-08-11 00:00:00,3,,,AVICOLA DEL TUYU - PRESUPUESTO N° 8-2563 (COCINA HOSPITAL),35000.0,000000,,N
2025,1,4243,4241,2025-08-11 00:00:00,GMADA,1259,2,,R,PRESU,28743,2025,S,2025-08-11 00:00:00,1,,,ELECTRO DANNUNZIO - PRESUPUESTO N° 28743 Y 28766 (QUIROFANO Y RECURSOS HUMANOS HOSPITAL),92834.74,000000,,N
2025,1,4244,4242,2025-08-11 00:00:00,GMADA,71,3,,R,PRESU,15252,2025,S,2025-08-11 00:00:00,1,,,"PROV.RAUL IRIARTE PRESUP.15252,15264,15261ARTICULOS DE FERRETERIA PARA REPARACION  DE BANCOS",81000.0,000000,,N
2025,1,4245,4243,2025-08-11 00:00:00,GMADA,71,25,,R,PRESU,15260,2025,S,2025-08-11 00:00:00,2,,,"Campo y Ciudad, presupuesto 15260 ( porton del area )",44000.0,000000,,N
2025,1,4251,4249,2025-08-11 00:00:00,GMADA,776,25,,R,PRESU,678,2025,S,2025-08-11 00:00:00,2,,,"Gomeria V+B, presupuestos 0678-0682-0670",73000.0,000000,,N
2025,1,4254,4252,2025-08-11 00:00:00,GMADA,3394,1,,A,PRESU,0,2025,S,2025-08-11 00:00:00,1,2025-08-19 00:00:00,NO,"PRESUPUESTO 000, CHIABRANDO FRANCO VALENTIN",300000.0,000000,,N
2025,1,4256,4254,2025-08-11 00:00:00,GMADA,2991,1,,R,PRESU,3086,2025,S,2025-08-11 00:00:00,1,,,"PRESUPUESTO 3086, ALEGRE SAUL ALBERTO,EXPTE. 2349/25",400000.0,000000,,N
2025,1,4257,4255,2025-08-11 00:00:00,GMADA,3226,27,,R,PRESU,401,2025,S,2025-08-11 00:00:00,4,,,"impresora con escaner para la oficina de contaduria, ya que se escanea todas los repas y se digitaliza toda la informacion de la oficina,PRESUPUESTO 401",709000.0,000000,,N
2025,1,4266,4264,2025-08-12 00:00:00,GMADA,41,1,,R,PRESU,0,2025,S,2025-08-12 00:00:00,1,,,"PRESUPUESTO 000, CALANDRON SAMUEL",90000.0,000000,,N
2025,1,4453,4451,2025-08-28 00:00:00,GMADA,413,9,,R,SUM,4331,2025,S,2025-08-28 00:00:00,1,,,PRESUPUESTO N°3834 - NEUMATICOS PASO,12000.0,000115,,N
2025,1,4456,4454,2025-08-28 00:00:00,GMADA,300,9,,R,SUM,4333,2025,S,2025-08-28 00:00:00,1,,,"PRESUPUESTO N°5536 - PINTURERIA - FERRETERIA ""TODO COLOR"" / MATERIALES PARA TRABAJOS EN EL POLIDEPORTIVO Y ESTRADIO MUNICIPAL",72755.0,000115,,N
2025,1,4457,4455,2025-08-28 00:00:00,GMADA,413,3,,R,SUM,4355,2025,S,2025-08-28 00:00:00,1,,,PROV. AGUSTIN PASO PRES.3818 PARCHE PARA MOTONIVELADORA NEW HOLLANDO CII59,25000.0,000115,,N
2025,1,4472,4470,2025-08-28 00:00:00,GMADA,850,2,,R,SUM,4300,2025,S,2025-08-28 00:00:00,3,,,EXPEDIENTE N° 1348/25 CONTRATO CON UNO ELECTROMEDICINA POR UN AUTOANALIZADOR CM 250 DESDE EL 1 DE SEPTIEMBRE HASTA EL 31 DE DICIEMBRE DEL 2025,2210208.0,000115,,N
2025,1,4474,4472,2025-08-28 00:00:00,GMADA,527,2,,R,SUM,4369,2025,S,2025-08-28 00:00:00,2,,,SERVIMED- PRESUPUESTO N° 2422/25 E-U (ESTERILIZACION),222615.0,000115,,N
2025,1,4476,4474,2025-08-28 00:00:00,GMADA,3287,SECGO,,R,SUM,4372,2025,S,2025-08-28 00:00:00,1,,,Corresponde presupuesto n° 1829- Hispanograf (Avellaneda ),223600.0,000115,,N
2025,1,4478,4476,2025-08-28 00:00:00,GMADA,19,1,,R,SUM,4381,2025,S,2025-08-28 00:00:00,1,,,"Cimos Inocencio ,presupuesto 2768,2791.",88900.0,000115,,N
2025,1,4479,4477,2025-08-28 00:00:00,GMADA,1259,2,,R,SUM,4350,2025,S,2025-08-28 00:00:00,1,,,"ELECTRO D´ANNUNZIO, N° PRESUPUESTO 00028885",63362.24,000115,,N
2025,1,4480,4478,2025-08-28 00:00:00,GMADA,2410,25,,R,SUM,4378,2025,S,2025-08-28 00:00:00,3,,,"Leandro Ruben Bogado,presupuesto 01122-01127 (AF471ZQ-OIG911)",135000.0,000115,,N
2025,1,4506,4502,2025-09-01 00:00:00,GMADA,1569,1,,R,PRESU,0,2025,S,2025-09-01 00:00:00,2,,, Chalita Nicolas Antonio.Expte. 1649/25 Días de las Infancias.,100700.0,000000,,N
2025,1,4507,4505,2025-09-01 00:00:00,GMADA,866,2,,R,PRESU,188758,2025,S,2025-09-01 00:00:00,2,,,PILOÑA- PRESUPUESTO N° 0004-00188758/188770 (FARMACIA),2194960.94,000000,,N
2025,1,4508,4506,2025-09-01 00:00:00,GMADA,2869,2,,R,PRESU,872,2025,S,2025-09-01 00:00:00,1,,,MADA POY SA- PRESUPUESTO N° 0001-00000872 (COCINA),1138216.0,000000,,N
2025,1,4509,4507,2025-09-01 00:00:00,GMADA,717,2,,R,PRESU,36348,2025,S,2025-09-01 00:00:00,1,,,PROVEEDURIA LA ILUSION - PRESUPUESTO N° 36348 (COCINA),146000.0,000000,,N
2025,1,4514,4512,2025-09-02 00:00:00,GMADA,1879,6,,R,SUM,4427,2025,S,2025-09-02 00:00:00,1,,,"Zubiarrain Daniel ,presupuesto 03028",126300.0,000115,,N
2025,1,4515,4513,2025-09-02 00:00:00,GMADA,441,2,,R,PRESU,3753,2025,S,2025-09-02 00:00:00,1,,,ALPA- PRESUPUESTO N° 0002-00003753 (LABORATORIO-FARMACIA- ENFERMERIA),20283.14,000000,,N
2025,1,4517,4515,2025-09-02 00:00:00,GMADA,2869,2,,R,PRESU,874,2025,S,2025-09-02 00:00:00,1,,,MADA POY S.A-  PRESUPUESTO N° 0001-00000874 (COCINA),1015600.0,000000,,N
2025,1,4520,4518,2025-09-02 00:00:00,GMADA,441,3,,R,PRESU,3741,2025,S,2025-09-02 00:00:00,2,,,"PROV.ALPA MADARIAGA PRESUP.3741,3749 PARA ARREGLOS NAVIDEÑOS",26259.98,000000,,N
2025,1,4522,4520,2025-09-02 00:00:00,GMADA,3246,2,,R,SUM,4371,2025,S,2025-09-02 00:00:00,2,,,MUNDIAL 2022- PRESUPUESTO S/N°  MEDICAMENTOS DISPENSADOS DESDE EL 29/07/2025 AL 25/08/2025,1773119.32,000115,,N
2025,1,4523,4521,2025-09-02 00:00:00,GMADA,3262,3,,R,PRESU,0,2025,S,2025-09-02 00:00:00,1,,,PROV. FGC FUEL MARKET GAS OIL PARA MAQUINAS PREDIO DISPOSICION FINAL DE RESIDUOS RUTA 11 KM 405.5,3500000.0,000000,,N
2025,1,4525,4523,2025-09-02 00:00:00,GMADA,87,2,,R,SUM,4418,2025,S,2025-09-02 00:00:00,2,,,DROGUERIA DANA- PRESUPUESTO N° 25/08/25 (FARMACIA),4697045.79,000115,,N
2025,1,4526,4524,2025-09-02 00:00:00,GMADA,441,1,,R,PRESU,3763,2025,S,2025-09-02 00:00:00,1,,,"Matienzo Paola, presupuesto 0002-00003763",33999.35,000000,,N
2025,1,4527,4525,2025-09-02 00:00:00,GMADA,3398,3,,A,SUM,4413,2025,S,2025-09-02 00:00:00,3,2025-09-15 00:00:00,NO,PROV.CHAYE HNOS .PRESUP.0023 REPUESTOS PARA TRACTOR JONH DEERE BGZ45,2281903.2,000115,,N
2025,1,4528,4526,2025-09-02 00:00:00,GMADA,2403,21,,R,SUM,4419,2025,S,2025-09-02 00:00:00,1,,,PROV. BIGORITO LEONARDO FABIO PRESUP.0047 REPARACION CITROEN C15 CAR 748,150000.0,000115,,N
2025,1,4530,4528,2025-09-03 00:00:00,GMADA,2044,170,,R,PRESU,0,2025,S,2025-09-03 00:00:00,2,,,"PRESUPUESTO DEL 29/08/2025, VARELA MARIA CRISTINA",250000.0,000000,,N
2026,1,379,380,2026-01-21 00:00:00,GMADA,3495,17,,R,PRESU,19544,2026,S,2026-01-21 00:00:00,1,,,PROV. VIVERO GRANADOS PEDIDO NRO19544 PINO PARA PALACIO MUNICIPAL,425000.0,000000,,N
2025,1,5332,5330,2025-11-13 00:00:00,GMADA,21,2,,R,SUM,5186,2025,S,2025-11-13 00:00:00,1,,,FABRIMAR. BASTIT ROBERTO MARCELO. PRESUPUESTO Nº 00000290.AMBULANCIA N º 5 DOMIONIO KYV 365.,80000.0,000115,,N
2025,1,5333,5331,2025-11-13 00:00:00,GMADA,300,1,,R,SUM,5212,2025,S,2025-11-13 00:00:00,1,,,"Maistegui Silvia Beatriz, presupuesto 00005909",13000.0,000115,,N
2025,1,5334,5332,2025-11-13 00:00:00,GMADA,212,6,,R,SUM,5209,2025,S,2025-11-13 00:00:00,1,,,Fernandez José Angel presupuesto 0001-00000066,190000.0,000115,,N
2025,1,5336,5334,2025-11-13 00:00:00,GMADA,2636,1,,R,SUM,5208,2025,S,2025-11-13 00:00:00,3,,,"Suarez Juan Manuel ,presupuesto N° 00000083",44000.0,000115,,N
2025,1,5337,5335,2025-11-13 00:00:00,GMADA,879,4,,R,SUM,5090,2025,S,2025-11-13 00:00:00,2,,,"PRESUPUESTOS N° X 0001-00001008  / 1014 de Tatano Harisgarat S.R.L. de ""CASA HARISGARAT"" Para la cuadrilla de desarrollo social",66110.0,000115,,N
2025,1,5340,5338,2025-11-13 00:00:00,GMADA,2636,CASA,,R,SUM,5192,2025,S,2025-11-13 00:00:00,3,,,"Expte N° 159/25 Proyecto de Talleres Programa Envión PRESUPUESTOS N° 00000084/85/86/89 de Juan Manuel Suarez de ""CARPINTERIA DE ALUMNINIO VIDRIERIA SUAREZ"" Taller de macramé,",69000.0,000115,,N
2025,1,5342,5340,2025-11-13 00:00:00,GMADA,3521,3,,R,SUM,5227,2025,S,2025-11-13 00:00:00,1,,,"Suszczyk Claudio Fabio,presupuesto N°0001-00000122 Topadora  New Holland EUF96",490000.0,000115,,N
2025,1,5532,5529,2025-12-12 00:00:00,GMADA,1603,CASA,,R,SUM,5406,2025,S,2025-12-12 00:00:00,2,,,"PRESUPUESTO N° X 1342385 de Garcia, Gladys Mabel de ""PANADERIA ALEM""",56100.0,000115,,N
2025,1,5533,5530,2025-12-12 00:00:00,GMADA,2627,2,,R,SUM,5410,2025,S,2025-12-12 00:00:00,1,,,SANTA PAULA- PRESUPUESTO N° 0001-00002152 (COCINA) DESDE EL 4/12 HASTA EL 11/12/25,18000.0,000115,,N
2025,1,5534,5531,2025-12-12 00:00:00,GMADA,2869,2,,R,SUM,5402,2025,S,2025-12-12 00:00:00,1,,,MADA POY S.A- PRESUPUESTO N° 0001-00000928 (HOGAR DE ANCIANOS) DESDE EL 27/11/2025 AL 27/12/2025,1572584.0,000115,,N
2025,1,5535,5532,2025-12-12 00:00:00,GMADA,2869,2,,R,SUM,5400,2025,S,2025-12-12 00:00:00,1,,,MADA POY  S.A- PRESUPUESTO N° 0001-00000929 (COCINA ) DESDE 28/11/2025 AL 10/12/2025,1341277.0,000115,,N
2025,1,5537,5534,2025-12-12 00:00:00,GMADA,3452,4,,R,SUM,5413,2025,S,2025-12-12 00:00:00,2,,,"PRESUPUESTO N° 00002950 de Carlos Alberto Ochoa de ""PANADERIA Y CONFITERIA LA UNION"" Esfuerzo Solidario noviembre 2025",142800.0,000115,,N
2025,1,5538,5535,2025-12-12 00:00:00,GMADA,3452,4,,R,SUM,5411,2025,S,2025-12-12 00:00:00,2,,,"PRESUPUESTO N° 00002949 de Carlos Alberto Ochoa de ""PANADERIA Y CONFITERIA LA UNION"" Esfuerzo Solidario septiembre 2025",179200.0,000115,,N
2025,1,5541,5538,2025-12-12 00:00:00,GMADA,1943,2,,R,SUM,5430,2025,S,2025-12-12 00:00:00,2,,,PRESUPUESTO 7218 - PRESUPUESTO 7219   REPUESTO PARA PLANTA DE OXIGENO 1 Y 2,1620967.14,000115,,N
2025,1,5543,5540,2025-12-12 00:00:00,GMADA,717,2,,R,SUM,5427,2025,S,2025-12-12 00:00:00,1,,,PROVEDURIA LA ILUSION. MARINA IRENE PINILLA. PRESUPUESTO. COCINA HOSPITAL.,132820.0,000115,,N
2025,1,5544,5541,2025-12-12 00:00:00,GMADA,160,13,,R,SUM,5428,2025,S,2025-12-12 00:00:00,1,,,AGROVET MARZULLO. PRESUPUESTO Nº 0001-00001149.BROMATOLOGIA.,39900.0,000115,,N
2025,1,5545,5542,2025-12-12 00:00:00,GMADA,300,35,,R,SUM,5405,2025,S,2025-12-12 00:00:00,2,,,Exp.:380/25 Sol. Revisión de Edificio HCD - Prov.:Todo Color - Presup.:5916,88202.0,000115,,N
2025,1,5550,5547,2025-12-12 00:00:00,GMADA,3356,2,,R,SUM,5399,2025,S,2025-12-12 00:00:00,2,,,PRESUPUESTOS  JORGE PEREZ MES DE OCUTBRE Y MES DE NOVIEMBRE 27076196 - 27076197 - 282180 - 282181 - 282182,621000.0,000115,,N
2025,1,5551,5548,2025-12-12 00:00:00,GMADA,2450,2,,R,SUM,5415,2025,S,2025-12-12 00:00:00,1,,,"""LA FRUTERIA"" LABATUT MARCELO. MES DE NOVIEMBRE. COCINA HOGAR DE ANCIANOS Y  COCINA HOSPITAL.",6793950.0,000115,,N
2026,1,303,303,2026-01-19 00:00:00,GMADA,2330,8,,R,SUM,328,2026,S,2026-01-19 00:00:00,2,,,PROV. COMBUSTIBLE DEL SALADO- SEC PRODUCCION- PREVISION,100394.37,000115,,N
2026,1,304,304,2026-01-19 00:00:00,GMADA,2627,2,,R,SUM,314,2026,S,2026-01-19 00:00:00,1,,,SANTA PAULA- PRESUPUESTO N° 0001-00002166 (COCINA) DESDE EL 13/01/26 AL 20/01/26,33000.0,000115,,N
2026,1,306,306,2026-01-19 00:00:00,GMADA,1259,13,,R,SUM,315,2026,S,2026-01-19 00:00:00,1,,,ELECTRO DANNUNZIO. SUC DE DANNUNZIO JORGE N. PRESUPUESTO Nº 00029883.BROMATOLOGIA.,30152.16,000115,,N
2026,1,308,308,2026-01-19 00:00:00,GMADA,2209,2,,R,SUM,313,2026,S,2026-01-19 00:00:00,1,,,DURANTE JAVIER- PRESUPUESTO N° 0001-00000835 (HOGAR DE ANCIANOS) DESDE EL 29/11/25 AL 29/12/25,2060593.67,000115,,N
2026,1,310,310,2026-01-19 00:00:00,GMADA,2209,2,,R,SUM,318,2026,S,2026-01-19 00:00:00,1,,,DURANTE JAVIER- PRESUPUESTO N° 0001-00000836 (COCINA) DESDE EL 2/12/25 AL 02/01/26,1258064.12,000115,,N
2026,1,328,328,2026-01-19 00:00:00,GMADA,3439,JARDM,,R,SUM,371,2026,S,2026-01-19 00:00:00,2,,,"Expte N° 141/2026 Contrato: Lopéz, María Manuela - Acompañante terapéutico - No cumple con el Art. 45 de la Ley 14.656",2042870.4,000115,,N
2026,1,409,409,2026-01-23 00:00:00,GMADA,1514,3,,R,PRESU,0,2026,S,2026-01-23 00:00:00,3,,,PROV. CASA ELICEIRY GAS OIL PARA  MAQUIANAS DE PREDIO DISPOSICION FINAL DE RESIDUSO RUTA 11 KM 405.5,4700898.0,000000,,N
2026,1,406,406,2026-01-22 00:00:00,GMADA,195,25,,R,PRESU,202645,2026,S,2026-01-22 00:00:00,4,,,"Casa Blanco, presuouesto 202645 (Centro de Monitoreo-tecnica)",307168.55,000000,,N
2026,1,407,407,2026-01-22 00:00:00,GMADA,297,DEFCI,,R,PRESU,29045,2026,S,2026-01-22 00:00:00,2,,,PROV. RAFAEL BOBINO Y CIA PRESUP.29045  HERBICIDA PARA ESAPACIOS PUBLICOS,645980.0,000000,,N
2026,1,408,408,2026-01-22 00:00:00,GMADA,2222,8,,R,PRESU,0,2026,S,2026-01-22 00:00:00,1,,,PROV. ESPONDABURU PEDRO HORACIO- SEC PRODUCCION,1875000.0,000000,,N
2026,1,576,576,2026-02-05 00:00:00,GMADA,2988,9,,R,SUM,574,2026,S,2026-02-05 00:00:00,1,,,PRESUPUESTO COTTINI CARLOS MARTIN - 5 MILLAS NOCTURNAS,850000.0,000115,,N
2025,1,3059,3057,2025-05-29 00:00:00,GMADA,3510,23,,R,SUM,3036,2025,S,2025-05-29 00:00:00,2,,,Brasas Juan Ignacio-Apicola Mar del Plata,840590.0,000115,,N
2025,1,3218,3216,2025-06-09 00:00:00,GMADA,160,13,,R,SUM,3029,2025,S,2025-06-09 00:00:00,1,,,"AGROVETERINARIA MARZULLO, N° PRESUP 0001 00001087, BROMATOLOGIA",85000.0,000115,,N
2025,1,3449,3446,2025-06-23 00:00:00,GMADA,85,2,,R,PRESU,42315,2025,S,2025-06-23 00:00:00,2,,,SORBA S.R.L- PRESUPUESTO N° 42315 (CONS. PSICOLOGIA Y PSIQUIATRIA),116997.0,000000,,N
2025,1,3462,3459,2025-06-24 00:00:00,GMADA,33,2,,R,PRESU,0,2025,S,2025-06-24 00:00:00,1,,,"Copia de 2025/216 POLIZA 166803, SEGURO TECNICO EQUIPOS HOSP,DIFERENCIA",630000.0,000000,,N
2025,1,3631,3629,2025-07-04 00:00:00,GMADA,87,2,,R,EXPED,1404,2025,S,2025-07-04 00:00:00,8,,,"CONCURSO DE PRECIOS DE AEROSOLES, JARABES, GOTAS, ALIMENTACIONES Y CREMAS 2025",412120.0,CTACTE,,N
2025,1,3632,3630,2025-07-04 00:00:00,GMADA,2808,2,,R,EXPED,1404,2025,S,2025-07-04 00:00:00,6,,,"CONCURSO DE PRECIOS DE AEROSOLES, JARABES, GOTAS, ALIMENTACIONES Y CREMAS 2025",1462800.0,CTACTE,,N
2025,1,3656,3653,2025-07-07 00:00:00,GMADA,169,TURIS,,R,SUM,3587,2025,S,2025-07-07 00:00:00,1,,,Terranova - presupuesto 925 - productos de limpieza para delegacion sur oficina turismo,12400.0,000115,,N
2025,1,3658,3656,2025-07-07 00:00:00,GMADA,300,9,,R,SUM,3601,2025,S,2025-07-07 00:00:00,1,,,"PRESUPUESTO N° 5513 - PINTURERIA Y FERRETERIA ""TODO COLOR"" / MATERIALES PARA TRABAJOS EN EL ESTADIO FRANCISCO ALCUAZ",125659.0,000115,,N
2025,1,3659,3658,2025-07-07 00:00:00,GMADA,2369,3,,R,SUM,3617,2025,S,2025-07-07 00:00:00,3,,,"PROV.MERCEDES LA PLATA PRESP.178830 REPUESTOS PARA  CAMION BEDFORD BOMBEROS, MERCEDES BENZ 1114 XNE245, UQV265",1870670.04,000115,,N
