EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE
2026,1385,2026-03-13 00:00:00,GMADA,,1110102000,2,50057,N,N,,,,,S,2026-03-13 00:00:00,205187.89,205187.89,1,,,ret hs ex feb,,,0.0,0.0,11228,,205187.89,N,N,,,,,,,,,S,S
2026,1390,2026-03-13 00:00:00,GMADA,110,1110118000,25,413,P,N,,,,,S,2026-03-13 00:00:00,1390000.0,1362200.0,1,,,cámaras,,,0.0,27800.0,,,1148760.33,N,N,,,,,,,,,,S
2026,1391,2026-03-13 00:00:00,GMADA,131,1110111000,3,413,P,C,,,,926,S,2026-03-13 00:00:00,263000.0,257740.0,1,,,cubiertas,,,0.0,5260.0,,,217355.37,N,N,12.1.03.03,0.0,13934726.15,57759683.39,,,,,,S
2026,1392,2026-03-13 00:00:00,GMADA,131,1110104000,5,413,P,C,,,,927,S,2026-03-13 00:00:00,170000.0,166600.0,1,,,cubiertas,,,0.0,3400.0,,,140495.86,N,N,12.1.28.00,0.0,3064379.34,99497225.42,,,,,,S
2026,1393,2026-03-13 00:00:00,GMADA,131,1110104000,5,413,P,C,,,,927,S,2026-03-13 00:00:00,500000.0,490000.0,1,,,REP,,,0.0,10000.0,,,413223.14,N,N,12.1.31.00,0.0,526200.0,33702033.05,,,,,,S
2026,1394,2026-03-13 00:00:00,GMADA,131,1110104000,5,413,P,C,,,,927,S,2026-03-13 00:00:00,40000.0,39200.0,2,,,reparac de camión,,,0.0,800.0,,,33057.85,N,N,12.1.28.00,0.0,3234379.34,99497225.42,,,,,,S
2026,1395,2026-03-13 00:00:00,GMADA,131,1110104000,5,413,P,C,,,,927,S,2026-03-13 00:00:00,16000.0,15680.0,1,,,parches,,,0.0,320.0,,,13223.14,N,N,12.1.28.00,0.0,3274379.34,99497225.42,,,,,,S
2026,1396,2026-03-13 00:00:00,GMADA,110,1110101000,1,413,P,N,,,,,S,2026-03-13 00:00:00,8000.0,7840.0,1,,,parches,,,0.0,160.0,,,6611.57,N,N,,,,,,,,,,S
2026,1397,2026-03-13 00:00:00,GMADA,110,1110118000,25,413,P,N,,,,,S,2026-03-13 00:00:00,534000.0,523320.0,1,,,parches,,,0.0,10680.0,,,441322.31,N,N,,,,,,,,,,S
2026,1400,2026-03-13 00:00:00,GMADA,131,1110111000,3,413,P,N,,,,,S,2026-03-13 00:00:00,1109600.0,1087408.0,1,,,repuestos,,,0.0,22192.0,,,917024.79,N,N,12.1.03.03,0.0,14197726.15,57759683.39,,,,,,S
2026,1402,2026-03-13 00:00:00,GMADA,110,1110105000,6,1394,P,C,EXPED,129,2026,911,S,2026-03-13 00:00:00,10000000.0,10000000.0,2,,,apoyo promocion Rally Argentino,pago a cta fact 117,,0.0,0.0,,,10000000.0,N,N,,,,,,,,,,S
2026,1403,2026-03-13 00:00:00,GMADA,131,1110113000,20,2525,P,A,EXPED,682,2026,,S,2026-03-13 00:00:00,10324295.76,10076512.66,1,2026-03-13 00:00:00,ERROR,tasas feb/26,,,0.0,247783.1,,,8532475.83,N,N,12.1.25.02,0.0,0.0,848618.27,,,,,,S
