EJERCICIO,NRO_OP,CODIGO_DEDUC,COD_PROV,PORCENTAJE,IMPORTE,COD_ACTIV
2009,7877,3,879,100.0,43.26,VTABI
2009,7879,3,879,100.0,158.68,VTABI
2009,7880,3,879,100.0,83.68,VTABI
2009,7886,3,1235,100.0,92.55,SERVI
2009,7922,784,193,100.0,663.77,APATR
2009,8018,3,28,100.0,300.56,VTABI
2009,8019,3,255,100.0,88.8,VTABI
2009,8105,3,1244,100.0,36.0,ALQUI
2009,8122,3,879,100.0,358.02,VTABI
2009,8125,3,879,100.0,48.38,VTABI
2009,8127,3,879,100.0,83.18,VTABI
2009,8180,3,63,100.0,30.01,VTABI
2009,8184,3,63,100.0,22.76,VTABI
2009,8213,3,63,100.0,28.14,VTABI
2009,8236,3,349,100.0,43.79,SERVI
2009,8237,3,349,100.0,43.79,SERVI
2009,8253,3,1156,100.0,226.55,SERVI
2009,8255,3,1156,100.0,226.55,SERVI
2009,8349,3,1174,100.0,487.15,LOCOB
2009,8351,3,1174,100.0,259.62,LOCOB
2009,8354,3,1174,100.0,365.87,LOCOB
2009,8359,3,879,100.0,163.66,VTABI
2009,8365,3,28,100.0,55.36,VTABI
2009,8370,3,50008,100.0,1142.11,EXENT
2009,8388,3,50008,100.0,3648.29,EXENT
2009,8463,3,90,100.0,74.8,VTABI
2009,8471,3,993,100.0,58.0,SERVI
2009,8500,3,313,100.0,122.87,VTABI
2009,8503,3,313,100.0,71.52,VTABI
2009,8504,3,313,100.0,90.22,VTABI
2009,8593,3,879,100.0,22.35,VTABI
2009,8594,3,879,100.0,46.28,VTABI
2009,8595,3,879,100.0,92.56,VTABI
2009,8603,3,1174,100.0,53.48,LOCOB
2009,8604,3,1174,100.0,32.17,LOCOB
2009,8605,3,1174,100.0,32.17,LOCOB
2009,8630,3,1156,100.0,70.0,SERVI
2009,8637,3,879,100.0,95.34,VTABI
2009,8638,3,879,100.0,75.16,VTABI
2009,8699,3,1156,100.0,142.05,SERVI
2009,8701,3,1156,100.0,142.05,SERVI
2009,8703,3,113,100.0,1188.42,CEROB
2009,8741,784,129,100.0,70.28,APATR
2009,8784,3,993,100.0,80.0,SERVI
2009,8785,3,1244,100.0,36.0,ALQUI
2009,8948,3,349,100.0,862.08,SERVI
