EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,43,28,COM,1200-00120000,50087,110,3,5,5,0,1110102000,1,0,0,3000.0
2026,44,60,FAB,2022-21900813,50087,110,3,5,5,0,1110102000,1,0,0,180810.27
2026,45,61,FAB,2022-21900814,50087,110,3,5,5,0,1110102000,1,0,0,92253.54
2026,46,62,FAB,2022-21900815,50087,110,3,5,5,0,1110102000,1,0,0,128696.53
2026,1216,472,FAC,0001-00000199,2812,131,3,4,9,0,1110106000,44,0,0,1187387.66
2026,1217,569,FAC,0001-00000039,3240,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1219,571,FAC,0004-00000148,2032,131,3,4,9,0,1110106000,44,0,0,2237644.16
2026,1220,620,FAC,0003-00001016,1864,131,3,4,9,0,1110106000,44,0,0,927899.68
2026,1221,533,FAC,0002-00000044,3338,131,3,4,9,0,1110106000,44,0,0,306430.56
2026,1225,1763,FAA,0002-00097339,789,110,3,1,1,0,1110108000,29,0,0,160006.71
2026,1225,1763,FAA,0007-00181824,789,110,3,1,4,0,1110108000,29,0,0,29915.37
2026,1225,1763,COM,2025-12001001,789,110,3,3,9,0,1110108000,29,0,0,259038.0
2026,1225,1763,COM,2025-12001002,789,110,3,3,9,0,1110108000,29,0,0,567908.0
2026,1225,1763,FAA,0002-00097276,789,110,3,1,1,0,1110108000,29,0,0,133140.09
2026,1225,1763,FAS,0119-03599509,789,110,3,1,2,0,1110108000,29,0,0,32330.54
2026,1225,1763,FAS,0119-03599708,789,110,3,1,2,0,1110108000,29,0,0,19250.04
2026,1225,1763,FAA,0005-00549340,789,110,3,1,9,0,1110108000,29,0,0,56563.9
2026,1225,1763,FAA,0007-00181852,789,110,3,1,4,0,1110108000,29,0,0,29902.72
2026,1225,1763,FAA,0004-67828367,789,110,3,1,3,0,1110108000,29,0,0,30517.98
2026,1225,1763,FAA,0002-00097306,789,110,3,1,1,0,1110108000,29,0,0,115560.67
2026,1225,1763,FAA,0004-67828368,789,110,3,1,3,0,1110108000,29,0,0,44753.9
2026,1227,1764,FAA,0002-00096509,50219,110,3,1,1,0,1110102000,1,0,0,76246.53
2026,1227,1764,FAB,0004-67828504,50219,110,3,1,3,0,1110102000,1,0,0,31707.48
2026,1227,1764,COM,2502-20256081,50219,110,3,1,9,0,1110102000,1,0,0,41040.0
2026,1227,1764,FAS,0119-05552113,50219,110,3,1,2,0,1110102000,1,0,0,10696.17
2026,1228,1019,FAB,0008-00000654,90,132,5,1,4,0,1110106000,42,0,0,8011800.0
2026,1231,1075,FAB,0008-00000660,90,132,5,1,4,0,1110106000,42,0,0,24155730.0
2026,1231,1075,FAB,0008-00000657,90,132,5,1,4,0,1110106000,42,0,0,20373870.0
2026,1231,1075,FAB,0008-00000656,90,132,5,1,4,0,1110106000,42,0,0,3791200.0
2026,1231,1075,FAB,0008-00000655,90,132,5,1,4,0,1110106000,42,0,0,10677380.0
2026,1231,1075,FAB,0008-00000659,90,132,5,1,4,0,1110106000,42,0,0,22949550.0
2026,1231,1075,FAB,0008-00000658,90,132,5,1,4,0,1110106000,42,0,0,14130210.0
