EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,ORIGEN_OP,TIPO_OP,EJERCICIO_ANT,NRO_REG_COMP_ANT,NRO_OP_ANT,COD_PROV,JURISDICCION,CODIGO_UE,CODIGO_FF,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,CODIGO_AXT,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,IMPORTE_DEDUCCIONES,NRO_CANCE,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,OBSERVACIONES,CONCEPTO,ASIENTO,ASIENTO_ANUL,IMPORTE_SIN_IVA,PORCENTAJE_IVA
2026,1111,2026-02-27 00:00:00,GMADA,D,P,2025,9671,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,309640.26,309640.26,0.0,760,1,,,,arts de papelera,9285,,309640.26,0.0
2026,1112,2026-02-27 00:00:00,GMADA,D,P,2025,8598,,441,1110107000,2,132,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,63337.62,63337.62,0.0,767,1,,,,prod vs,9296,,63337.62,0.0
2026,1113,2026-02-27 00:00:00,GMADA,D,P,2025,8584,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,5100.0,5100.0,0.0,760,1,,,,sellos,9305,,5100.0,0.0
2026,1114,2026-02-27 00:00:00,GMADA,D,P,2025,8665,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,28754.27,28754.27,0.0,760,1,,,,arts de libreria,9306,,28754.27,0.0
2026,1115,2026-02-27 00:00:00,GMADA,D,P,2025,8586,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,24780.09,24780.09,0.0,760,1,,,,pintura,9310,,24780.09,0.0
2026,1116,2026-02-27 00:00:00,GMADA,D,P,2025,8980,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,16000.25,16000.25,0.0,760,1,,,,carpetas,9311,,16000.25,0.0
2026,1117,2026-02-27 00:00:00,GMADA,D,P,2025,8552,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,173400.0,173400.0,0.0,760,1,,,,prod papel,9312,,173400.0,0.0
2026,1118,2026-02-27 00:00:00,GMADA,D,P,2025,6656,,441,1110107000,2,110,93,0,0,7,6,1,0,,C,,,,S,2026-02-27 00:00:00,31000.0,31000.0,0.0,761,1,,,,arts de papelera,9314,,31000.0,0.0
2026,1247,2026-03-13 00:00:00,GMADA,D,P,2025,7679,,1603,1110107000,2,131,93,0,0,7,6,1,0,,A,,,,S,2026-03-13 00:00:00,624000.0,600288.0,23712.0,,1,2026-03-13 00:00:00,ERROR,,pan,11257,11258,624000.0,0.0
2026,1248,2026-03-13 00:00:00,GMADA,D,P,2025,7679,,1603,1110107000,2,131,93,0,0,7,6,1,0,,N,,,,S,2026-03-13 00:00:00,624000.0,617760.0,6240.0,,2,,,,pan,11267,,624000.0,0.0
