EJERCICIO,NRO_OP,CODIGO_DEDUC,COD_PROV,PORCENTAJE,IMPORTE,COD_ACTIV
2007,27,3,371,100.0,778.89,SERVI
2007,41,3,75,100.0,41.43,VTABI
2007,52,3,849,100.0,258.6,VTABI
2007,91,3,371,100.0,88.33,SERVI
2007,92,3,289,100.0,61.9,VTABI
2007,101,3,371,100.0,188.33,SERVI
2007,110,3,371,100.0,500.3,SERVI
2007,110,784,371,100.0,248.06,APATR
2007,119,3,278,100.0,1103.5,SERVI
2007,119,784,278,100.0,497.31,APATR
2007,120,3,278,100.0,787.74,SERVI
2007,120,784,278,100.0,325.51,APATR
2007,121,3,279,100.0,1428.5,VTABI
2007,121,784,279,100.0,689.46,APATR
2007,122,3,279,100.0,845.0,VTABI
2007,122,784,279,100.0,349.17,APATR
2007,126,3,279,100.0,605.0,VTABI
2007,126,784,279,100.0,349.17,APATR
2007,127,3,278,100.0,687.74,SERVI
2007,127,784,278,100.0,325.51,APATR
2007,138,3,371,100.0,227.43,SERVI
2007,138,784,371,100.0,135.3,APATR
2007,139,3,371,100.0,227.43,SERVI
2007,139,784,371,100.0,135.3,APATR
2007,143,3,371,100.0,63.71,SERVI
2007,143,784,371,100.0,67.65,APATR
2008,51,3,624,100.0,400.0,SERVI
2008,113,3,179,100.0,39.83,SERVI
2008,166,3,279,100.0,2838.66,VTABI
2008,192,3,255,100.0,39.21,VTABI
2008,192,784,255,100.0,40.7,APATR
2008,193,3,255,100.0,39.21,VTABI
2008,207,3,911,100.0,110.0,SERVI
2008,234,3,279,100.0,198.4,VTABI
2008,241,3,752,100.0,286.57,LOCOB
2008,311,3,75,100.0,29.28,VTABI
2008,316,3,75,100.0,35.26,VTABI
2008,327,3,75,100.0,125.34,VTABI
2008,339,3,75,100.0,110.8,VTABI
2008,342,3,752,100.0,631.29,LOCOB
2008,350,3,624,100.0,120.0,SERVI
2008,410,3,688,100.0,88.65,VTABI
2008,411,3,183,100.0,92.8,EXENT
2008,415,3,222,100.0,120.18,VTABI
2008,417,3,771,100.0,108.26,VTABI
2008,428,3,63,100.0,98.07,VTABI
2008,437,3,75,100.0,45.76,VTABI
2008,439,3,222,100.0,285.54,VTABI
2008,440,3,688,100.0,31.1,VTABI
2008,471,3,624,100.0,20.24,SERVI
2008,478,3,866,100.0,105.46,VTABI
2008,478,784,866,100.0,44.88,APATR
2008,479,3,866,100.0,105.46,VTABI
2008,508,3,430,100.0,85.0,SERVI
2009,29,784,255,100.0,77.14,APATR
2009,58,3,771,100.0,81.46,VTABI
2009,59,3,771,100.0,68.94,VTABI
2009,83,784,688,100.0,52.12,APATR
2009,192,3,63,100.0,40.58,VTABI
2009,205,3,322,100.0,112.54,SERVI
2009,211,3,322,100.0,318.82,SERVI
2009,214,3,322,100.0,112.54,SERVI
2009,246,3,63,100.0,35.2,VTABI
2009,251,3,313,100.0,67.13,VTABI
2009,255,3,313,100.0,35.85,VTABI
2009,257,3,313,100.0,37.18,VTABI
2009,259,3,313,100.0,23.85,VTABI
2009,262,3,63,100.0,43.94,VTABI
2009,265,3,313,100.0,105.2,VTABI
2009,266,3,313,100.0,23.7,VTABI
2009,268,3,313,100.0,32.59,VTABI
2009,277,3,313,100.0,41.32,VTABI
2009,280,3,1066,100.0,146.79,VTABI
2009,298,3,1066,100.0,56.35,VTABI
2009,300,3,771,100.0,167.81,VTABI
2009,302,3,63,100.0,683.54,VTABI
2009,303,3,771,100.0,87.91,VTABI
2009,304,3,89,100.0,34.81,VTABI
2009,316,3,866,100.0,150.7,VTABI
2009,334,3,285,100.0,45.55,VTABI
2009,345,3,752,100.0,1029.26,LOCOB
