EJERCICIO,NUM_PED,ORDEN,INCISO,PAR_PRIN,PAR_PARC,CLASE,TIPO,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CANTIDAD,UNI_MED,DESCRIP_BIE,COSTO_UNI,PED_FECH_EMI,PED_OBSERVACIONES,PED_CODIGO_DEP,PED_COSTO_TOT
2026,932,2,2,5,1,259,9999,1110113000,42,0,0,3,0,AGUA DESTILADA - AGUA DESTILADA,3000,2026-03-05 00:00:00,"MP Repuestos, presupuestos 126-127 (jwg 930-ae704ax)",SECSEG,347100
2026,932,3,2,9,6,11963,9999,1110113000,42,0,0,1,0,REPUESTO - REPUESTO,12900,2026-03-05 00:00:00,"MP Repuestos, presupuestos 126-127 (jwg 930-ae704ax)",SECSEG,347100
2026,933,1,2,9,2,13160,9999,1110113000,42,0,0,1,0,Pila - Pila (20 pilas para los mouse del com),40250,2026-03-05 00:00:00,"Electro Dannunzio, prespuesto 30268-30315 (COM)",SECSEG,110322.8
2026,933,2,2,9,3,10043,9999,1110113000,42,0,0,3,0,FUENTE SWITCHING 12Vcc 10A - FUENTE SWITCHING 12Vcc 10A,23357.6,2026-03-05 00:00:00,"Electro Dannunzio, prespuesto 30268-30315 (COM)",SECSEG,110322.8
2026,934,1,2,9,9,5355,9999,1110113000,42,0,0,3,0,BATERIA PARA  VEHICULO - BATERIA PARA  VEHICULO (para 3 vehiculos diferentes),162333.333,2026-03-05 00:00:00,"Baterias La Primera, presupuesto 7001-7020-7000 ( jch069,lbn155,ae331iy)",SECSEG,487000
2026,945,1,2,3,9,6858,9999,1110109000,46,0,0,3,0,PAPEL P/PLASTIFICAR - PAPEL P/PLASTIFICAR (Genérico),2550,2026-03-05 00:00:00,PRESUPUESTO N° 03888 - ALPA MADARIAGA- MATERIAL A UTILIZAR EN LA CONFECCION DE JUEGOS PROGRAMA NUESTROS ABUELOS,DEP,7650
2026,111,1,2,4,4,2593,9999,1110111000,23,0,0,1,0,"PARCHE P/CAMARA - PARCHE P/CAMARA (GENERICO)Parche 19,5 x 24 New Hollnd BMU 02 ($30.000),parche 23.1 Pauny EFJ 10($40.000)parche 165/65/17 (auxilio casillla ($10.000),parche y desarme Amarok AB597ZF ($18.000)parche Motoniveladora Volvo CGS 18 ($30.000) parche 255/70/16 Motoniveladora 255/70/16 ($10.000)1 parche 1400 x 24 CGS 18 ($35.000),2 parches 255/80/16 Amarok AB 597 ZF ($10.000),1 parche 215/16 BMU 02 ($10.000)1 parche 23.1 x 30 Pauny N°1 EFJ 11 ($35.000).",263000,2026-01-06 00:00:00,"Paso Agustín ,presupuesto 3946,3955,3963,3972,3977,3990,3994,3998.",CAS,263000
2026,114,1,3,5,3,2165,9999,1110102000,1,0,0,1,0,"SERVICIO DE IMPRESION - SERVICIO DE IMPRESION (GENERICO)Cartel rotonda acceso.Formato 760 x 360. Loma impresa .Tensada en bastidor existente.Gastronomiía,Cultura y Tradición.",1670000,2026-01-06 00:00:00,Presupuesto  1851 .Avellaneda 7163,GOBHAC,1670000
2026,117,1,3,5,3,2165,9999,1110102000,1,0,0,1,0,"SERVICIO DE IMPRESION - SERVICIO DE IMPRESION (GENERICO)1 Calendariao 2026 40 x 60 cm ($7.900),4 Certificados  "" Granja de Contención)($7.000),30 certificados ""apicultores ($40.500),5 revista Institucional.Fotocromo ($77.500),3 folletos Institucinales.En 2 pliegos A3 ($19.200).",152100,2026-01-06 00:00:00,"Presupuesto 1850, Avellaneda 7163",GOBHAC,152100
2026,141,1,2,1,1,788,9999,1110111000,23,0,0,10,0,GALLETITAS - GALLETITAS (GENERICO)Media Tarde.,1050,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,2,2,1,1,454,9999,1110111000,23,0,0,1,0,YERBA - YERBA (GENERICO)1 pack de yerba x 10.,29900,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,3,2,9,1,637,9999,1110111000,23,0,0,6,0,DETERGENTE - DETERGENTE (GENERICO)Detergente Ala Plus x 750.,1999,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,4,2,1,1,2868,9999,1110111000,23,0,0,6,0,FIDEO SECO - FIDEO SECO (GENERICO)Tallarin.,1190,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,5,2,1,1,514,9999,1110111000,23,0,0,2,0,SAL - SAL (GENERICO),1290,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,6,2,9,1,3307,9999,1110111000,23,0,0,6,0,REPELENTES P/MOSQUITOS - REPELENTES P/MOSQUITOS (GENERICO),5999,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,7,2,1,1,7780,9999,1110111000,23,0,0,3,0,CABALLA - CABALLA (Genérico),3999,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,8,2,9,9,12546,9999,1110111000,23,0,0,3,0,ATUN - ATUN (Genérico),1250,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,9,2,1,1,438,9999,1110111000,23,0,0,4,0,ADEREZOS - ADEREZOS (GENERICO)Nayonesa x 250.,1299,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,10,2,1,1,2125,9999,1110111000,23,0,0,4,0,MERMELADA - MERMELADA (GENERICO),2490,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
