CONCEPTO,TIPO_PLANTA,JURISDICCION,AGRUPAMIENTO,ANIO_PRESUP,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP
10300,2,1110100000,3,2005,1,2,2,0
10300,3,1110100000,3,2005,1,2,2,0
10300,2,1110200000,4,2005,1,2,2,0
10300,3,1110200000,4,2005,1,2,2,0
10300,2,1110100000,4,2005,1,2,2,0
10300,3,1110100000,4,2005,1,2,2,0
10300,1,1110200000,5,2005,1,2,2,0
10300,2,1110200000,5,2005,1,2,2,0
10300,3,1110200000,5,2005,1,2,2,0
10300,2,1110100000,5,2005,1,2,2,0
10300,3,1110100000,5,2005,1,2,2,0
10300,2,1110100000,6,2005,1,2,2,0
10300,3,1110100000,6,2005,1,2,2,0
10300,2,1110100000,7,2005,1,2,2,0
10300,3,1110100000,7,2005,1,2,2,0
10300,2,1110100000,8,2005,1,2,2,0
10300,3,1110100000,8,2005,1,2,2,0
10300,2,1110100000,9,2005,1,2,2,0
10300,3,1110100000,9,2005,1,2,2,0
10350,2,1110100000,10,2005,1,2,2,0
10350,2,1110100000,9,2005,1,2,2,0
10350,3,1110100000,9,2005,1,2,2,0
10400,2,1110100000,10,2005,1,2,2,0
10400,3,1110100000,10,2005,1,2,2,0
10400,2,1110100000,1,2005,1,2,2,0
10400,3,1110100000,1,2005,1,2,2,0
10400,2,1110200000,1,2005,1,2,2,0
10400,3,1110200000,1,2005,1,2,2,0
10400,2,1110100000,2,2005,1,2,2,0
10400,3,1110100000,2,2005,1,2,2,0
10400,2,1110200000,3,2005,1,2,2,0
10400,3,1110200000,3,2005,1,2,2,0
10400,2,1110100000,3,2005,1,2,2,0
10400,3,1110100000,3,2005,1,2,2,0
10400,2,1110200000,4,2005,1,2,2,0
10400,3,1110200000,4,2005,1,2,2,0
10400,2,1110100000,4,2005,1,2,2,0
10400,3,1110100000,4,2005,1,2,2,0
10400,1,1110200000,5,2005,1,2,2,0
10400,2,1110200000,5,2005,1,2,2,0
10400,3,1110200000,5,2005,1,2,2,0
10400,2,1110100000,5,2005,1,2,2,0
10400,3,1110100000,5,2005,1,2,2,0
10400,2,1110100000,6,2005,1,2,2,0
10400,3,1110100000,6,2005,1,2,2,0
10400,2,1110100000,7,2005,1,2,2,0
10400,3,1110100000,7,2005,1,2,2,0
10400,1,1110100000,8,2005,1,2,2,0
10400,2,1110100000,8,2005,1,2,2,0
10400,3,1110100000,8,2005,1,2,2,0
10400,1,1110100000,9,2005,1,2,2,0
10400,2,1110100000,9,2005,1,2,2,0
10400,3,1110100000,9,2005,1,2,2,0
10450,2,1110100000,10,2005,1,2,2,0
10450,3,1110100000,10,2005,1,2,2,0
10450,2,1110100000,1,2005,1,2,2,0
10450,3,1110100000,1,2005,1,2,2,0
10450,1,1110200000,1,2005,1,2,2,0
10450,2,1110200000,1,2005,1,2,2,0
10450,3,1110200000,1,2005,1,2,2,0
10450,2,1110100000,2,2005,1,2,2,0
10450,3,1110100000,2,2005,1,2,2,0
10450,2,1110200000,3,2005,1,2,2,0
10450,3,1110200000,3,2005,1,2,2,0
10450,2,1110100000,3,2005,1,2,2,0
10450,3,1110100000,3,2005,1,2,2,0
10450,2,1110200000,4,2005,1,2,2,0
10450,3,1110200000,4,2005,1,2,2,0
10450,2,1110100000,4,2005,1,2,2,0
10450,3,1110100000,4,2005,1,2,2,0
10450,1,1110200000,5,2005,1,2,2,0
10450,2,1110200000,5,2005,1,2,2,0
10450,3,1110200000,5,2005,1,2,2,0
10450,2,1110100000,5,2005,1,2,2,0
10450,3,1110100000,5,2005,1,2,2,0
