CONCEPTO,PROVEEDOR
60000,50051
60050,50051
60100,50052
60110,50151
60120,50052
60130,50064
60150,707
60160,50052
60200,50062
60250,50205
60300,50056
60350,50056
60400,50084
60401,50084
60450,50058
60500,50084
60501,50058
60550,50058
60600,50058
60650,50062
60700,50062
60750,50062
60800,50062
60850,50062
60950,50056
60951,50056
61000,50056
61050,50205
61100,50066
61150,707
61200,707
61250,707
61300,707
61301,707
61350,50067
61355,707
61400,50059
61450,50060
61500,50060
61550,50063
61560,50159
61570,50465
61600,50065
61650,50065
61700,50064
61750,50064
61800,50064
61850,50053
61900,50057
61905,50057
61910,50057
61915,50057
61920,50057
61940,50057
61950,50057
61951,50057
61952,50057
61970,50057
61975,50059
61976,50060
62000,50062
62010,50010
63000,50084
80000,50053
80001,50053
80100,50053
85000,50053
89999,50053
90500,50051
90510,50052
90520,50151
90530,50052
