EJERCICIO,NRO_RECEP,FECH_RECEP,UNI_COMPRA,NRO_OC,TIPO_DOC_APROB,NRO_DOC_APROB,ANIO_DOC_APROB,COD_PROV,ESTADO,OBSERVACIONES,FECH_ANUL,MOTIVO_ANUL,UNI_RECEP,EJERCICIO_OC,FECHA_HORA,DONANTE,EJERCICIO_REG_COM,NRO_REG_COMP
2026,583,2026-03-03 00:00:00,1,829,FACT,44873,2026,1876,C,Factura B N° 0011-00044873,,,1,2026,2026-03-03 11:18:05,,2026,1668
2026,584,2026-03-03 00:00:00,1,831,FACT,593,2026,1063,C,Factura C N° 00002-00000593,,,1,2026,2026-03-03 11:34:17,,2026,1682
2026,585,2026-03-03 00:00:00,1,819,FACT,45884,2026,345,C,Fcatura B N° 00006-00045884,,,1,2026,2026-03-03 11:36:28,,2026,1681
2026,586,2026-03-03 00:00:00,1,825,FACT,44884,2026,1876,C,Factura B N° 0011-00044884,,,1,2026,2026-03-03 11:39:25,,2026,1678
2026,634,2026-03-09 00:00:00,1,854,FACT,105,2026,2843,C,fact c n ° 00001-0000105,,,1,2026,2026-03-09 08:12:30,,2026,1713
2026,743,2026-03-17 00:00:00,1,1020,FACT,6390,2026,2675,C,FACTURA B 0007-00006390,,,1,2026,2026-03-17 09:42:29,,2026,1977
2026,744,2026-03-17 00:00:00,1,1019,FACT,6391,2026,2675,C,FACTURA B 0007-00006391,,,1,2026,2026-03-17 09:44:20,,2026,1978
2026,745,2026-03-17 00:00:00,1,1036,FACT,687,2026,1879,C,FACTURA B 00003-00000687,,,1,2026,2026-03-17 10:18:11,,2026,2001
2026,746,2026-03-17 00:00:00,1,1037,FACT,688,2026,1879,C,FACTURA B 00003-00000688,,,1,2026,2026-03-17 10:19:48,,2026,2002
2026,747,2026-03-17 00:00:00,1,1038,FACT,1,2026,1879,C,FACTURA B 00006-000001,,,1,2026,2026-03-17 10:23:12,,2026,2008
2026,508,2026-02-25 00:00:00,1,762,FACT,435,2026,2110,C,Factura C N° 00002-00000435,,,1,2026,2026-02-25 08:42:48,,2026,1470
2026,510,2026-02-25 00:00:00,1,764,FACT,26,2026,3398,A,Factura B N° 0012-00000026,2026-02-25 11:37:12,EC,1,2026,2026-02-25 08:45:41,,2026,1471
2026,511,2026-02-25 00:00:00,1,778,FACT,4133,2026,2367,C,Factura C N° 0006-00004133,,,1,2026,2026-02-25 08:48:58,,2026,1475
2026,729,2026-03-13 00:00:00,1,739,FACT,1857,2026,1514,C,fact b n ° 0030-00001857,,,1,2026,2026-03-13 12:38:18,,2026,1360
2026,730,2026-03-13 00:00:00,1,977,FACT,7096,2026,1578,C,fact c n ° 00002-00007096,,,1,2026,2026-03-13 12:44:17,,2026,1875
2026,731,2026-03-13 00:00:00,1,878,FACT,9312,2026,688,C,fact b n ° 0005-00009312,,,1,2026,2026-03-13 12:49:49,,2026,1751
2026,732,2026-03-13 00:00:00,1,950,FACT,9328,2026,688,C,b n ° 0005-00009328,,,1,2026,2026-03-13 12:52:54,,2026,1837
2026,733,2026-03-13 00:00:00,1,947,FACT,947,2026,688,C,fact b n ° 0005-00009333,,,1,2026,2026-03-13 12:54:09,,2026,1895
