EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1266,2026-02-18 00:00:00,GMADA,1110108000,14,879,R,1266,110,1,692,1,750,,,,52440.0,D,S,2026-02-18 00:00:00,,,1,materiales de corralón,2026-02-18 00:00:00,N,PROD,2026-02-18 00:00:00,N,2026,,N
2026,1267,2026-02-18 00:00:00,GMADA,1110113000,20,2410,R,1267,110,1,655,1,684,,,,120000.0,D,S,2026-02-18 00:00:00,,,1,luces,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1269,2026-02-18 00:00:00,GMADA,1110113000,20,1259,R,1269,110,1,656,1,681,,,,8125.6,D,S,2026-02-18 00:00:00,,,1,pilas,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1270,2026-02-18 00:00:00,GMADA,1110118000,25,1259,R,1270,110,1,657,1,678,,,,44370.2,D,S,2026-02-18 00:00:00,,,1,arts de elect,2026-02-18 00:00:00,N,000SU,2026-02-18 00:00:00,N,2026,,N
2026,1271,2026-02-18 00:00:00,GMADA,1110104000,5,441,R,1271,131,1,658,1,691,,,,12500.0,D,S,2026-02-18 00:00:00,,,1,sellos,2026-02-18 00:00:00,N,DIR,2026-02-18 00:00:00,N,2026,,N
2026,1272,2026-02-18 00:00:00,GMADA,1110104000,5,441,R,1272,131,1,660,1,690,,,,44296.45,D,S,2026-02-18 00:00:00,,,2,arts de libreria,2026-02-18 00:00:00,N,ESTH,2026-02-18 00:00:00,N,2026,,N
2026,1273,2026-02-18 00:00:00,GMADA,1110113000,20,2410,R,1273,110,1,661,1,686,,,,60000.0,D,S,2026-02-18 00:00:00,,,1,luces,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1274,2026-02-18 00:00:00,GMADA,1110113000,20,2410,R,1274,110,1,662,1,683,,,,120000.0,D,S,2026-02-18 00:00:00,,,1,reparac,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1275,2026-02-18 00:00:00,GMADA,1110113000,20,3220,R,1275,110,1,663,1,680,,,,440000.0,D,S,2026-02-18 00:00:00,,,1,reparac,2026-02-18 00:00:00,N,SECSEG,2026-02-18 00:00:00,N,2026,,N
2026,1276,2026-02-18 00:00:00,GMADA,1110118000,25,879,R,1276,110,1,664,1,677,,,,100000.0,D,S,2026-02-18 00:00:00,,,1,materiales,2026-02-18 00:00:00,N,18C,2026-02-18 00:00:00,N,2026,,N
2026,1277,2026-02-18 00:00:00,GMADA,1110105000,6,360,R,1277,110,1,665,1,708,,,,140000.0,D,S,2026-02-18 00:00:00,,,1,trabajos de elect,2026-02-18 00:00:00,N,CULTUR,2026-02-18 00:00:00,N,2026,,N
2026,1697,2026-03-04 00:00:00,GMADA,1110117000,24,50410,R,1697,110,,,,,EXPED,3716,2025,64000.0,D,S,2026-03-04 00:00:00,,,1,servs de public,2026-03-04 00:00:00,N,000002,2026-03-04 00:00:00,N,2026,,N
