EJERCICIO,NRO_REG_DEVEN,FECH_REG_DEVEN,NRO_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,CODIGO_FF,COD_PROV,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_DEVEN,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,OBSERVACIONES,ASIENTO,ASIENTO_ANUL,F931
2026,1388,2026-03-03 00:00:00,1674,GMADA,1110108000,14,110,441,,,,12400.0,C,S,2026-03-03 00:00:00,,,1,"fact  5826
",9683,,
2026,1394,2026-03-03 00:00:00,1684,GMADA,1110104000,5,131,441,,,,17215.34,C,S,2026-03-03 00:00:00,,,1,fact5756,9721,,S
2026,1405,2026-03-03 00:00:00,67,GMADA,1110105000,6,110,3509,,,,365165.0,C,S,2026-03-03 00:00:00,,,1,,9739,,
2026,1406,2026-03-03 00:00:00,565,GMADA,1110106000,7,131,3492,EXPED,118,2026,272382.72,C,S,2026-03-03 00:00:00,,,1,fact 12,9742,,
2026,1407,2026-03-03 00:00:00,471,GMADA,1110106000,7,131,3228,,,,1051196.0,C,S,2026-03-03 00:00:00,,,1,fact 46,9751,,
2026,1408,2026-03-03 00:00:00,916,GMADA,1110106000,7,131,2704,,,,1119291.68,C,S,2026-03-03 00:00:00,,,1,"fact 126
",9752,,S
2026,1409,2026-03-03 00:00:00,472,GMADA,1110106000,7,131,2812,,,,1187387.66,C,S,2026-03-03 00:00:00,,,1,"fact 199
",9755,,S
2026,1410,2026-03-03 00:00:00,569,GMADA,1110106000,7,131,3240,EXPED,118,2026,1051196.0,C,S,2026-03-03 00:00:00,,,1,"fact. 39
",9756,,
2026,1411,2026-03-03 00:00:00,533,GMADA,1110106000,7,131,3338,EXPED,118,2026,306430.56,C,S,2026-03-03 00:00:00,,,1,"fact 44
",9761,,
2026,1412,2026-03-03 00:00:00,535,GMADA,1110106000,7,131,3027,EXPED,118,2026,1051196.0,C,S,2026-03-03 00:00:00,,,1,"fact 79
",9764,,
2026,1413,2026-03-03 00:00:00,525,GMADA,1110106000,7,131,3361,EXPED,118,2026,1051196.0,C,S,2026-03-03 00:00:00,,,1,fact 68,9772,,
2026,1414,2026-03-03 00:00:00,571,GMADA,1110106000,7,131,2032,,,,2237644.16,C,S,2026-03-03 00:00:00,,,1,"fact 148
",9774,,S
2026,1415,2026-03-03 00:00:00,620,GMADA,1110106000,7,131,1864,,,,927899.68,C,S,2026-03-03 00:00:00,,,1,"fact 1016
",9775,,S
2026,1416,2026-03-03 00:00:00,491,GMADA,1110115000,22,110,2109,,,,190000.0,C,S,2026-03-03 00:00:00,,,1,"fact 187
",9776,,
2026,1417,2026-03-03 00:00:00,1694,GMADA,1110105000,6,110,3180,,,,100000.0,C,S,2026-03-03 00:00:00,,,1,"fact 72
",9782,,
2026,1418,2026-03-03 00:00:00,8,GMADA,1110101000,1,110,174,,,,177200.0,N,S,2026-03-03 00:00:00,,,1,"fact 163
",9783,,
2026,1419,2026-03-03 00:00:00,348,GMADA,1110118000,25,110,1994,,,,172400.0,N,S,2026-03-03 00:00:00,,,1,"fact 667
",9784,,
2026,1420,2026-03-03 00:00:00,111,GMADA,1110117000,24,110,2218,EXPED,3,2026,1650000.0,C,S,2026-03-03 00:00:00,,,2,"fact 251
",9785,,
2026,1421,2026-03-03 00:00:00,568,GMADA,1110106000,7,131,3034,EXPED,118,2026,1051196.0,C,S,2026-03-03 00:00:00,,,1,fact 123,9788,,
2026,1425,2026-03-03 00:00:00,470,GMADA,1110106000,7,131,3033,,,,1051196.0,C,S,2026-03-03 00:00:00,,,1,"fact 70
",9790,,
2026,1427,2026-03-03 00:00:00,117,GMADA,1110113000,20,110,2228,EXPED,160,2025,530000.0,C,S,2026-03-03 00:00:00,,,1,fact 308,9794,,
2026,1428,2026-03-03 00:00:00,494,GMADA,1110115000,22,110,2308,,,,65000.0,C,S,2026-03-03 00:00:00,,,1,"fact 1942
",9795,,
2026,1429,2026-03-03 00:00:00,489,GMADA,1110115000,22,110,2086,,,,100000.0,C,S,2026-03-03 00:00:00,,,1,"fact 691
",9796,,
2026,1430,2026-03-03 00:00:00,279,GMADA,1110111000,3,131,5,,,,38523.25,N,S,2026-03-03 00:00:00,,,2,facts 121594-379233-116675-655-84713-119005,9797,,
2026,1520,2026-03-05 00:00:00,1726,GMADA,1110102000,2,132,50036,,,,284743.25,C,S,2026-03-05 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1726  internet .Cema,10241,,
2026,1529,2026-03-05 00:00:00,1729,GMADA,1110103000,3,132,2498,EXPED,1619,2025,8523380.66,C,S,2026-03-05 00:00:00,,,1,,10256,,
2026,1531,2026-03-05 00:00:00,1730,GMADA,1110112000,19,110,50003,,,,82000.0,C,S,2026-03-05 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1730  VIATICO Y. LAMBERTUCCI/S.LEIVA,10296,,
2026,1676,2026-03-13 00:00:00,1956,GMADA,1110102000,2,110,50008,,,,319456.32,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11165,,
2026,1677,2026-03-13 00:00:00,1957,GMADA,1110102000,2,110,50008,,,,2065810.9,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11166,,
2026,1678,2026-03-13 00:00:00,1958,GMADA,1110103000,3,110,50008,,,,151433.72,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11167,,
2026,1679,2026-03-13 00:00:00,1959,GMADA,1110104000,5,110,50008,,,,212605.34,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11168,,
2026,1680,2026-03-13 00:00:00,1960,GMADA,1110104000,5,110,50008,,,,93640.17,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11169,,
2026,1681,2026-03-13 00:00:00,1961,GMADA,1110104000,5,110,50008,,,,34727641.62,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11170,,
2026,1682,2026-03-13 00:00:00,1962,GMADA,1110104000,11,110,50008,,,,635115.52,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11171,,
