EJERCICIO,NRO_REGUL,NRO_RENG,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_UE,CODIGO_AXT,COD_PROV,IMPORTE,DEUDA,OBSERVACIONES
2003,25,0,110,4,3,6,0,1110101000,1,0,0,1,,50003,500.0,N,por error en la carga
2003,25,1,110,1,1,1,0,1110101000,1,0,0,1,,50003,-500.0,N,
2003,26,0,110,3,7,2,0,1110101000,1,0,0,1,,50003,200.0,N,
2003,26,1,,,,,,1110101000,,,,1,13000,50001,-200.0,N,xx
2003,27,0,,,,,,1110102000,,,,1,74001,50003,-100.0,N,por error en la carga de datos
2003,27,1,,,,,,1110102000,,,,1,74002,50003,100.0,N,por error en la carga
2003,28,0,110,2,5,2,0,1110101000,1,0,0,1,,500,200.0,N,x
2003,28,1,110,2,1,1,0,1110101000,1,0,0,1,,500,-200.0,N,
2003,29,0,110,2,1,1,0,1110101000,1,0,0,1,,50001,-50.0,N,
2003,29,1,110,2,3,1,0,1110101000,1,0,0,1,,50001,200.0,N,
2003,29,2,110,2,5,2,0,1110101000,1,0,0,1,,50001,-150.0,N,
2004,15,0,110,3,4,1,0,1110101000,1,0,0,1,,138,-12000.0,N,errror en la carga
2004,15,1,132,3,4,1,0,1110111000,23,0,0,3,,138,12000.0,N,PARA REGULARIZAR FUENTE Y IMPUTACION
2004,16,0,110,2,5,6,0,1110103000,18,0,0,3,,38,349.99,N,CAMBIO DE IMPUTACION
2004,16,1,110,5,3,7,0,1110103000,18,0,0,3,,38,-349.99,N,
2004,20,0,132,7,6,1,0,1110107000,92,0,0,2,,9,194.62,N,
2004,20,1,132,7,6,1,0,1110107000,92,0,0,2,,147,-194.62,N,
2004,36,0,,,,,,1110200000,,,,8,24000,50019,-150.49,N,
2004,36,1,110,2,9,2,0,1110200000,1,0,0,8,,50010,15.55,N,
2004,36,2,110,2,9,9,0,1110200000,1,0,0,8,,50010,53.15,N,
2004,36,3,110,2,9,1,0,1110200000,1,0,0,8,,50010,50.79,N,
2004,36,4,110,2,9,3,0,1110200000,1,0,0,8,,50010,31.0,N,
2004,37,0,110,2,5,6,0,1110103000,18,0,0,3,,50010,311.01,N,
2004,37,1,110,2,3,1,0,1110103000,18,0,0,3,,50010,45.0,N,
2004,37,2,110,3,3,2,0,1110103000,18,0,0,3,,50010,130.0,N,
2004,37,3,110,2,9,6,0,1110103000,18,0,0,3,,50010,64.0,N,
2004,37,4,110,3,7,9,0,1110103000,18,0,0,3,,50010,12.0,N,
2004,37,5,110,2,9,9,0,1110103000,18,0,0,3,,50010,4.5,N,
2004,37,6,,,,,,1110103000,,,,3,24000,50017,-566.51,N,
2004,38,0,110,5,1,4,0,1110106000,24,0,0,7,,50010,500.0,N,
2004,38,1,,,,,,1110106000,,,,7,24000,50015,-500.0,N,
2004,39,0,110,5,1,4,0,1110106000,24,0,0,7,,50010,143.0,N,
2004,39,1,110,2,5,6,0,1110106000,24,0,0,7,,50010,357.0,N,
2004,39,2,,,,,,1110106000,,,,7,24000,50015,-500.0,N,
2004,40,0,110,2,1,1,0,1110105000,27,0,0,6,,50010,170.0,N,
2004,40,1,110,3,3,1,0,1110105000,27,0,0,6,,50010,30.0,N,
2004,40,2,,,,,,1110105000,,,,6,24000,50020,-200.0,N,
2004,41,0,110,3,6,1,0,1110110000,27,0,0,12,,50010,50.0,N,
2004,41,1,110,2,1,1,0,1110110000,27,0,0,12,,50010,83.52,N,
2004,41,2,110,2,3,1,0,1110110000,27,0,0,12,,50010,14.7,N,
2004,41,3,110,3,7,9,0,1110110000,27,0,0,12,,50010,12.1,N,
2004,41,4,110,2,5,6,0,1110110000,27,0,0,12,,50010,35.0,N,
2004,41,5,110,2,5,5,0,1110110000,27,0,0,12,,50010,3.9,N,
2004,41,6,,,,,,1110110000,,,,12,24000,50021,-199.22,N,
2004,42,0,110,3,3,1,0,1110104000,16,0,0,5,,50010,384.97,N,
2004,42,1,110,3,5,1,0,1110104000,16,0,0,5,,50010,100.0,N,
2004,42,2,110,2,5,6,0,1110104000,16,0,0,5,,50010,108.0,N,
2004,42,3,110,2,9,2,0,1110104000,16,0,0,5,,50010,138.0,N,
2004,42,4,110,2,9,1,0,1110104000,16,0,0,5,,50010,13.0,N,
2004,42,5,110,2,1,1,0,1110104000,16,0,0,5,,50010,165.8,N,
2004,42,6,,,,,,1110104000,,,,5,24000,50013,-909.77,N,
2004,43,0,110,2,5,6,0,1110104000,16,0,0,5,,50010,93.0,N,
2004,43,1,110,3,1,5,0,1110104000,16,0,0,5,,50010,8.5,N,
2004,43,2,110,2,9,2,0,1110104000,16,0,0,5,,50010,8.1,N,
2004,43,3,110,3,3,1,0,1110104000,16,0,0,5,,50010,144.51,N,
2004,43,4,110,2,9,1,0,1110104000,16,0,0,5,,50010,29.2,N,
2004,43,5,110,2,1,1,0,1110104000,16,0,0,5,,50010,262.56,N,
2004,43,6,,,,,,1110104000,,,,5,24000,50013,-545.87,N,
2004,44,0,110,5,1,4,0,1110106000,24,0,0,7,,50010,600.44,N,
2004,44,1,,,,,,1110101000,,,,1,24000,50014,-600.44,N,
2004,45,0,110,3,7,1,0,1110101000,1,0,0,1,,50010,1.7,N,
2004,45,1,110,2,5,6,0,1110101000,1,0,0,1,,50010,60.0,N,
2004,45,2,110,3,1,5,0,1110101000,1,0,0,1,,50010,54.0,N,
