EJERCICIO,NRO_REGUL,NRO_RENG,COD_PROV,CODIGO_FF,JURISDICCION,CODIGO_AXT,IMPORTE,OBSERVACIONES,DEUDA,CODIGO_UE
2013,1059,10,50053,,1110112000,74005,-9742.39,orden de pago 10797,N,19
2013,1059,11,50053,,1110112000,74005,-4047.11,orden de pago 12109,N,19
2013,1059,12,50053,,1110112000,74023,7179.8,,N,19
2013,1059,13,50053,,1110112000,74023,3033.47,,N,19
2013,1059,14,50053,,1110112000,74023,9860.2,,N,19
2013,1059,15,50053,,1110112000,74023,6657.75,,N,19
2013,1059,16,50053,,1110112000,74023,11423.04,,N,19
2013,1059,17,50053,,1110112000,74023,10721.99,,N,19
2013,1059,18,50053,,1110112000,74023,4473.56,,N,19
2013,1059,19,50053,,1110112000,74023,8355.2,,N,19
2013,1059,20,50053,,1110112000,74023,6353.88,,N,19
2013,1059,21,50053,,1110112000,74023,8124.54,,N,19
2013,1059,22,50053,,1110112000,74023,9742.39,,N,19
2013,1059,23,50053,,1110112000,74023,4047.11,,N,19
2014,1269,0,416,,1110102000,74023,-387.58,,N,2
2014,1269,1,416,,1110102000,74021,387.58,,N,2
2014,1271,0,1408,,1110111000,74005,-1110.7,,N,3
2014,1271,1,1408,,1110111000,74021,1110.7,,N,3
2015,1256,0,50008,,1110111000,74003,-8372.0,correspondió a ejercicios anteriores,N,3
2015,1256,1,50008,,1110111000,74003,8372.0,era de ejercicios aneriores,S,3
2015,1458,0,50057,,1110101000,71999,-2039.25,,N,1
2015,1458,1,50057,,1110101000,74003,2039.25,,N,1
2015,1459,0,50067,,1110101000,71999,-14.0,,N,1
2015,1459,1,50067,,1110101000,74016,14.0,,N,1
2015,1460,0,1620,,1110102000,71999,-94809.6,,N,2
2015,1460,1,1620,,1110102000,71017,94809.6,,N,2
2015,1475,0,50053,,1110102000,74005,-12361.71,,N,2
2015,1475,1,50053,,1110102000,74023,12361.71,,N,2
2015,1476,0,50053,,1110102000,74005,-14626.67,,N,2
2015,1476,1,50053,,1110102000,74023,14626.67,,N,2
2015,1477,0,50053,,1110102000,74005,-15788.91,,N,2
2015,1477,1,50053,,1110102000,74023,15788.91,,N,2
2015,1478,0,50053,,1110102000,74005,-15810.57,,N,2
2015,1478,1,50053,,1110102000,74023,15810.57,,N,2
2015,1479,0,50053,,1110102000,74005,-14948.55,,N,2
2015,1479,1,50053,,1110102000,74023,14948.55,,N,2
2015,1480,0,50053,,1110102000,74005,-17814.98,,N,2
2015,1480,1,50053,,1110102000,74023,17814.98,,N,2
2015,1481,0,50053,,1110102000,74005,-18981.59,,N,2
2015,1481,1,50053,,1110102000,74023,18981.59,,N,2
2015,1482,0,50053,,1110102000,74005,-13138.39,,N,2
2015,1482,1,50053,,1110102000,74023,13138.39,,N,2
2015,1483,0,50053,,1110113000,74005,-18981.59,,N,20
2015,1483,1,50053,,1110113000,74023,18981.59,,N,20
2015,1484,0,50053,,1110102000,74005,-11874.64,,N,2
2015,1484,1,50053,,1110102000,74023,11874.64,,N,2
2015,1485,0,50053,,1110102000,74005,-7132.65,,N,2
2015,1485,1,50053,,1110102000,74023,7132.65,,N,2
2016,326,0,50053,,1110112000,74026,-21994.19,,N,19
2016,326,1,50053,,1110112000,74001,21994.19,,N,19
2016,1119,0,50015,,1110106000,24000,-2950.46,,N,7
2016,1119,1,50015,,1110106000,25000,2950.46,,N,7
