EJERCICIO,NRO_REGUL,NRO_RENG,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE,OBSERVACIONES,DEUDA
2011,1071,1,498,131,3,3,2,0,1110104000,16,0,0,3800.0,,N
2011,1072,0,37,110,2,5,6,0,1110103000,22,0,0,-19791.96,,N
2011,1072,1,37,133,2,5,6,0,1110103000,51,76,0,19791.96,,N
2011,1076,0,17,131,3,3,3,0,1110103000,26,0,0,-2161.0,,N
2011,1076,1,17,131,3,3,3,0,1110103000,26,0,0,2161.0,,N
2011,1084,0,160,110,2,1,1,0,1110113000,42,0,0,-840.8,,N
2011,1084,1,160,110,2,1,2,0,1110113000,42,0,0,840.8,,N
2011,1085,0,1046,110,2,9,9,0,1110104000,16,0,0,-3179.5,,N
2011,1085,1,1046,131,2,9,9,0,1110104000,16,0,0,3179.5,,N
2011,1086,0,313,110,2,5,6,0,1110104000,16,0,0,-9769.11,,N
2011,1086,1,313,131,2,5,6,0,1110104000,16,0,0,9769.11,,N
2011,1093,0,17,131,3,3,3,0,1110103000,26,0,0,-1505.0,,N
2011,1093,1,17,131,3,3,3,0,1110103000,26,0,0,1505.0,,N
2011,1094,0,17,131,3,3,3,0,1110103000,26,0,0,-1259.0,,N
2011,1094,1,17,131,3,3,3,0,1110103000,26,0,0,1259.0,,N
2011,1100,0,37,131,2,5,6,0,1110111000,23,0,0,-19799.25,,N
2011,1100,1,37,133,2,5,6,0,1110103000,51,79,0,19799.25,,N
2011,1101,0,37,110,2,5,6,0,1110113000,42,0,0,-19805.03,,N
2011,1101,1,37,133,2,5,6,0,1110103000,51,79,0,19805.03,,N
2011,1102,0,37,110,2,5,6,0,1110113000,42,0,0,-19805.03,,N
2011,1102,1,37,133,2,5,6,0,1110103000,51,79,0,19805.03,,N
2011,1103,0,37,110,2,5,6,0,1110103000,18,0,0,-20761.43,,N
2011,1103,1,37,133,2,5,6,0,1110103000,51,79,0,20761.43,,N
2011,1104,0,37,131,2,5,6,0,1110111000,23,0,0,-19792.02,,N
2011,1104,1,37,133,2,5,6,0,1110103000,51,79,0,19792.02,,N
2011,1105,0,37,133,2,5,6,0,1110103000,46,0,0,-19762.98,,N
2011,1105,1,37,133,2,5,6,0,1110103000,51,79,0,19762.98,,N
2011,1106,0,1501,110,4,8,1,0,1110104000,16,0,0,-9680.0,,N
2011,1106,1,1501,131,4,8,1,0,1110104000,16,0,0,9680.0,,N
2011,1107,0,416,110,4,2,1,0,1110104000,62,0,0,-23836.61,,N
2011,1107,1,416,131,4,2,1,0,1110104000,62,0,0,23836.61,,N
2011,1108,0,416,110,4,2,1,0,1110104000,16,0,0,-22936.49,,N
2011,1108,1,416,131,4,2,1,0,1110104000,16,0,0,22936.49,,N
2011,1109,0,89,131,2,5,2,0,1110104000,16,0,0,-10844.88,,N
2011,1109,1,89,131,2,5,2,0,1110104000,16,0,0,10844.88,,N
2011,1110,0,285,110,3,4,6,0,1110104000,16,0,0,-27750.0,,N
2011,1110,1,285,131,3,4,6,0,1110104000,16,0,0,27750.0,,N
2011,1111,0,1061,110,5,1,4,0,1110104000,16,0,0,-12959.3,,N
2011,1111,1,1061,110,2,1,1,0,1110104000,16,0,0,12959.3,,N
2011,1112,0,1061,110,2,1,1,0,1110104000,16,0,0,1547.78,,N
2011,1112,1,1061,110,5,1,4,0,1110104000,16,0,0,-1547.78,,N
2011,1113,0,17,110,4,3,2,0,1110104000,16,0,0,-8000.0,,N
2011,1113,1,17,131,4,3,2,0,1110104000,16,0,0,8000.0,,N
2011,1114,0,1182,133,4,2,2,0,1110103000,51,76,0,-98875.0,,N
