EJERCICIO,NRO_REGUL,NRO_RENG,SUBCONCEPTO,JURISDICCION,TIPO,CLASE,CONCEPTO,CODIGO_AXT,CODIGO_UE,IMPORTE,OBSERVACIONES
2004,32,0,,1110102000,,,,72006,2,-2599.0,
2004,32,1,0,1110102000,12,9,2,,,2599.0,
2003,23,0,1,1110101000,12,1,1,,,-100.0,xx
2003,23,1,,1110101000,,,,72001,1,100.0,xx
2003,24,0,0,1110101000,11,4,1,,,5000.0,por error en la carga
2003,24,1,1,1110101000,12,1,1,,,-5000.0,por error en la carga
2005,118,0,5,1110102000,17,5,1,,,-13917.26,
2005,118,1,13,1110102000,17,5,1,,,13917.26,
2012,961,0,0,1110112000,12,1,28,,,-34190.77,
2012,961,1,,1110112000,,,,71999,19,34190.77,
2017,378,0,3,1110112000,12,2,10,,,6645.32,
2017,378,1,2,1110112000,12,2,10,,,-6645.32,
