EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2004,993,2,38.25,111210104
2004,993,10,42.5,111210104
2004,1000,1,8.96,111210104
2004,1000,2,2.88,111210104
2004,1001,1,74.66,111210104
2004,1001,2,23.99,111210104
2004,1002,1,58.8,111210104
2004,1002,2,18.9,111210104
2004,1005,1,41.89,111210104
2004,1005,2,13.46,111210104
2004,1005,5,567.0,111210104
2004,1005,18,84.45,111210104
2004,1007,6,152.15,111210104
2004,1008,6,31.92,111210104
2004,1010,6,26.6,111210104
2004,1014,6,15.1,111210104
2004,1016,6,39.15,111210104
2004,1017,6,52.72,111210104
2004,1018,6,45.86,111210104
2004,1019,6,75.14,111220802
2004,1021,6,5.21,111210104
2004,1029,1,140.0,111210104
2004,1029,2,45.0,111210104
2004,1030,3,34.63,111210104
2004,1030,6,80.36,111210104
2004,1032,1,25.2,111210104
2004,1032,2,8.1,111210104
2004,1033,1,25.2,111210104
2004,1033,2,8.1,111210104
2004,1034,1,42.0,111210104
2004,1034,2,13.5,111210104
2004,1035,6,19.17,111210104
2004,1038,6,38.36,111210104
2004,1040,6,9.84,111210104
2004,1043,6,84.0,111220900
2004,1044,6,33.6,111220900
2004,1046,6,76.44,111220900
2004,1048,6,71.4,111220900
2004,1049,6,16.83,111210104
2004,1050,6,13.32,111210104
2004,1055,6,41.16,111210104
2004,1057,6,38.08,111210104
2004,1058,6,18.53,111210104
2004,1062,6,40.41,111210104
2004,1072,6,1.2,111210104
2004,1083,6,93.6,111210104
2004,1100,6,110.97,111220900
2004,1101,1,98.14,111210104
2004,1101,2,31.55,111210104
2004,1115,6,43.14,111210104
2004,1116,6,32.76,111210104
2004,1119,6,19.02,111210104
2004,1122,6,306.33,111210104
2004,1123,6,194.06,111210104
2004,1125,6,65.12,111210104
2004,1126,6,12.18,111210104
2004,1127,6,33.77,111210104
2004,1128,6,96.09,111210104
2004,1133,6,24.94,111220900
2004,1134,6,23.96,111220900
2004,1135,6,51.52,111220900
2004,1140,6,12.86,111210104
2004,1141,6,27.76,111210104
2004,1142,6,9.3,111210104
2004,1143,6,12.11,111210104
2004,1145,6,23.49,111210104
2004,1146,6,15.68,111210104
2004,1157,6,26.55,111210104
2004,1160,6,241.7,111210104
2004,1161,6,40.2,111210104
2004,1173,6,81.14,111220900
2004,1177,6,56.57,111210104
2004,1180,3,85.01,111210104
2004,1180,6,196.63,111210104
2004,1181,6,48.86,111210104
2004,1183,6,3.11,111210104
2004,1184,6,13.2,111210104
2004,1190,6,8.66,111210104
2004,1191,1,25.2,111210104
2004,1191,2,8.1,111210104
2004,1192,1,25.2,111210104
2004,1192,2,8.1,111210104
2004,1194,3,144.97,111220100
2004,1194,6,558.97,111220100
2004,1196,1,129.47,111210104
2004,1196,2,41.61,111210104
2004,1201,4,249.6,111210104
2004,1201,6,139.77,111210104
2004,1205,6,17.85,111210104
2004,1211,3,222.79,111210104
2004,1211,6,319.2,111210104
2004,1214,6,35.07,111210104
2004,1215,6,9.84,111210104
2004,1221,6,21.0,111210104
2004,1221,8,37.5,111210104
2004,1222,6,16.8,111210104
2004,1222,8,30.0,111210104
2004,1223,6,16.8,111210104
2004,1223,8,30.0,111210104
2004,1224,6,16.8,111210104
2004,1224,8,30.0,111210104
2004,1225,6,16.8,111210104
2004,1225,8,30.0,111210104
2004,1226,6,16.8,111210104
2004,1226,8,30.0,111210104
2004,1227,6,12.6,111210104
2004,1227,8,22.5,111210104
2004,1228,6,37.8,111210104
2004,1228,8,67.5,111210104
2004,1229,6,16.8,111210104
2004,1229,8,30.0,111210104
2004,1230,6,16.8,111210104
2004,1230,8,30.0,111210104
2004,1231,6,5.25,111210104
2004,1231,8,7.5,111210104
2004,1232,6,35.64,111210104
2004,1248,6,48.0,111220100
2004,1252,6,76.81,111210104
2004,1253,6,20.59,111210104
2004,1255,6,1.7,111210104
2004,1257,6,117.22,111210104
2004,1258,6,98.31,111210104
2004,1259,6,194.08,111210104
2004,1260,3,77.13,111210104
2004,1260,6,92.62,111210104
2004,1332,1,84.0,111210104
2004,1332,2,27.0,111210104
2004,1262,3,106.71,111210104
2004,1262,6,152.66,111210104
