CODIGO,DESCRIPCION
PRESU,Presupuesto
FACT,Factura
ORDCO,Orden de Compra
ORDSE,Orden de Servicio
ORDTR,Orden de Transferencia
EXPED,Expediente
ORDEN,Ordenanza
RESOL,Resolución
DECRE,Decreto
CONTR,Contrato
NORMA,Dictado de Norma
REMIT,Remito conformado
ORGP,Orden de reintegro de Gasto Presupuestario
ORGE,Orden de reintegro de Gasto Extrapresupuestario
RC,Registro de Compromiso
RD,Registro de Devengado
SUM,Suministro
INFRE,Informe de Recepción
LIQSU,Liquidación de Sueldos
NOTA,Nota
OFICI,Oficio
FACTU,Factura Caja Chica
