COD_PROV,CODIGO,COD_SUBRUBRO
1,11,1
1,11,2
1,11,3
1,11,4
2,78,1
3,7,2
3,11,1
3,11,4
4,23,7
5,1,11
5,2,1
5,2,4
5,3,1
5,3,5
5,4,2
5,4,5
5,5,1
6,11,1
7,38,5
7,38,6
8,23,4
8,23,7
9,1,3
9,1,4
10,11,1
10,23,7
11,11,1
11,14,1
12,40,3
13,7,1
13,7,2
13,11,1
13,11,4
14,16,1
15,4,2
15,4,3
15,4,6
15,4,9
17,22,3
18,14,1
18,40,3
19,6,1
20,39,1
20,51,2
21,11,1
22,17,1
23,3,3
24,45,2
25,14,1
25,203,1
26,7,1
26,7,2
28,6,1
29,40,1
30,13,2
30,13,3
31,142,1
32,51,1
32,51,2
32,51,3
32,51,4
32,51,5
32,51,6
33,41,1
34,46,1
35,116,1
36,13,1
36,13,2
36,13,3
37,7,1
37,7,2
38,7,1
38,7,2
39,14,1
40,45,1
41,254,1
42,116,1
43,204,1
44,4,2
45,45,1
46,11,1
46,45,1
47,1,11
47,3,1
47,3,2
47,3,3
47,3,4
47,3,5
47,3,6
48,6,1
48,6,2
48,243,1
49,105,1
50,16,1
50,16,2
50,16,3
50,16,4
50,16,5
50,16,6
50,16,7
51,99,1
52,99,1
53,38,3
53,38,4
53,38,5
53,38,6
54,215,1
55,11,2
55,14,1
55,33,1
56,11,3
56,58,1
57,2,2
57,38,5
57,38,6
58,51,5
59,8,2
59,8,3
59,8,4
60,124,1
61,113,1
62,204,1
63,16,1
63,16,2
63,16,3
63,16,4
63,16,5
64,51,2
65,207,1
66,104,1
66,458,1
67,58,7
68,452,1
69,499,1
70,83,1
71,6,1
71,6,2
72,2,1
72,2,2
72,2,3
72,2,4
73,2,1
73,2,2
73,2,4
73,2,5
74,4,1
74,4,4
74,4,5
74,4,9
74,4,14
75,16,1
75,16,3
75,16,5
76,17,1
77,51,2
78,16,1
78,16,3
79,51,2
80,16,1
80,16,3
80,16,4
80,16,5
81,51,2
82,51,2
83,19,1
83,45,1
84,16,1
85,19,1
85,19,2
85,19,3
85,19,4
86,107,1
86,206,1
86,321,1
87,51,2
88,51,2
89,51,2
89,84,1
90,1,11
91,14,1
91,45,1
92,58,4
93,99,1
94,38,4
94,38,5
95,147,1
96,16,1
97,14,1
98,6,1
98,16,1
99,214,1
101,19,1
101,19,2
101,208,1
102,1,10
102,34,2
103,1,1
103,1,9
103,1,11
103,243,1
103,843,1
104,207,1
105,209,1
106,58,1
107,1,7
108,13,1
109,7,1
110,46,1
112,40,2
113,210,1
114,92,1
115,85,1
116,38,6
117,2,1
117,2,2
117,2,4
117,2,5
118,207,1
119,65,4
120,207,1
121,13,2
122,38,3
122,38,6
123,21,1
125,51,2
126,211,1
127,85,1
127,213,1
128,2,1
128,2,2
128,2,4
128,2,5
129,8,1
130,45,1
131,11,2
132,205,1
133,84,1
134,84,1
135,242,1
136,58,1
137,1,6
138,251,1
139,45,1
140,11,3
141,17,1
142,45,1
143,41,1
144,96,1
145,7,1
146,58,14
147,1,3
148,13,1
149,38,3
149,38,5
150,13,1
151,14,1
152,113,1
153,84,1
154,84,1
155,223,1
156,49,1
157,16,1
157,16,3
157,16,5
158,84,1
159,14,1
160,21,1
161,58,1
162,21,1
163,11,2
163,202,1
164,126,1
165,1,1
165,1,6
165,1,7
165,1,8
165,1,9
165,1,10
165,1,11
165,3,1
165,3,2
165,3,3
165,3,4
165,3,5
166,5,1
166,5,2
167,1,4
168,2,1
168,2,2
168,2,3
168,2,4
168,2,5
169,3,1
169,3,2
169,3,3
169,3,4
169,3,5
169,3,6
170,1,3
171,9,2
171,9,4
171,9,5
171,9,6
171,225,1
172,58,2
173,29,1
174,38,4
175,84,1
176,45,1
177,30,1
177,30,2
177,30,3
177,30,4
178,58,14
179,58,14
180,4,4
180,4,5
180,4,8
180,4,10
181,242,1
182,4,8
182,4,12
183,58,13
184,16,6
185,14,1
186,58,2
186,214,1
187,58,1
187,58,5
188,46,4
188,46,5
189,107,1
190,58,1
191,45,1
192,11,2
193,40,3
193,40,4
194,16,6
195,9,2
195,9,4
195,9,6
196,124,1
197,16,6
198,3,1
199,2,2
199,2,5
200,4,2
201,40,1
202,58,1
203,1,3
203,1,11
204,14,1
205,13,1
205,13,3
206,105,1
207,1,6
208,177,1
209,1,6
209,1,11
210,45,1
211,45,1
212,45,1
213,45,1
214,45,1
215,4,14
216,3,3
217,19,1
217,19,2
217,19,3
217,19,4
218,2,1
218,2,4
219,45,1
220,58,1
221,14,1
222,16,1
223,84,1
224,2,3
224,13,3
225,2,1
225,2,2
225,2,4
225,2,5
226,124,1
227,8,4
228,30,4
229,45,1
230,78,1
231,113,1
232,11,1
233,7,1
233,7,2
234,11,3
235,3,2
235,3,3
236,84,1
237,29,1
238,113,1
239,45,1
240,29,1
241,215,1
242,2,1
242,2,2
242,2,3
242,2,4
242,2,5
243,19,1
243,19,2
243,19,3
243,19,4
243,34,1
243,34,2
243,34,3
243,34,4
243,34,5
244,77,1
245,58,1
246,14,1
247,84,1
248,19,1
248,19,2
248,19,3
248,19,4
249,45,1
250,84,1
251,16,1
252,11,1
252,11,2
252,14,1
253,24,1
254,13,1
254,13,2
254,13,3
255,318,1
256,38,5
256,38,6
257,6,1
257,6,2
258,243,1
259,23,4
259,23,7
260,224,1
261,1,3
262,38,6
262,38,8
263,23,4
263,23,7
264,45,2
265,9,7
266,19,1
266,19,2
266,19,3
266,19,4
267,84,1
268,84,1
269,4,9
269,4,12
269,4,16
270,45,1
271,130,1
272,1,6
273,16,1
274,23,7
275,29,1
276,45,1
277,29,1
278,113,1
278,210,1
279,204,1
279,210,1
279,375,1
280,38,6
281,58,1
282,30,4
282,240,1
283,58,1
283,58,4
284,58,1
285,84,1
286,73,2
287,65,1
288,84,1
289,84,1
290,242,1
291,27,2
292,22,1
293,84,1
294,45,1
295,477,1
296,92,1
297,30,3
298,13,3
299,207,1
300,17,1
301,1,9
302,8,2
303,125,1
304,84,1
305,1,7
306,216,1
307,126,1
308,58,1
309,131,1
310,4,8
311,14,1
312,113,1
313,7,1
313,302,1
313,312,1
314,14,1
315,41,1
316,19,1
317,34,4
318,40,1
319,85,1
320,84,1
321,84,1
322,230,1
323,74,1
324,58,7
325,218,1
326,102,1
327,11,3
328,13,1
328,13,2
328,13,3
329,29,1
330,34,4
331,126,1
332,16,1
333,14,1
334,8,4
335,58,7
336,3,2
337,6,1
338,207,1
339,45,1
340,207,1
341,58,1
342,45,10
343,4,8
344,156,1
345,84,1
346,84,1
347,224,1
348,88,1
349,143,1
350,251,1
351,16,1
351,375,1
352,1,3
352,1,7
352,1,11
353,7,1
354,16,6
355,58,11
356,16,6
357,450,1
358,16,1
359,16,6
360,126,1
360,207,1
361,11,1
361,23,7
362,14,1
363,12,1
364,135,1
365,138,1
366,124,1
367,84,1
368,93,1
369,24,2
370,58,14
371,17,1
371,210,1
372,1,1
372,1,2
372,1,3
372,1,4
372,1,6
372,1,7
372,1,8
372,1,10
372,1,11
373,9,2
373,9,4
373,9,5
373,9,6
374,45,1
375,84,1
376,8,1
376,8,3
376,8,4
377,300,1
378,45,1
379,16,1
380,1,8
381,16,1
382,38,7
383,29,1
384,16,1
385,29,1
386,13,1
386,13,2
386,13,3
387,73,1
387,73,2
388,45,1
389,24,2
390,40,5
391,1,7
392,13,3
393,21,1
393,21,2
393,21,3
393,21,4
394,17,1
395,165,1
396,1,11
397,58,21
398,124,1
399,124,1
400,105,1
401,84,1
402,84,1
403,113,1
404,58,7
405,6,1
406,1,3
406,1,4
407,14,1
408,203,1
409,16,1
410,14,1
411,124,1
412,65,1
412,267,1
413,215,1
414,16,6
415,224,1
416,31,1
417,1,11
417,3,1
418,16,1
419,13,1
419,13,2
419,13,3
420,224,1
421,27,1
421,27,2
421,27,3
421,27,4
422,89,1
423,38,4
424,99,1
425,124,1
426,45,3
426,45,8
427,4,1
427,4,3
428,6,1
428,23,8
428,81,1
429,124,1
429,224,1
430,241,1
431,2,1
431,2,2
431,2,3
431,2,4
431,2,5
433,16,1
434,1,1
434,1,2
434,1,4
434,352,1
435,99,1
436,215,1
437,21,4
438,33,1
439,161,1
440,161,1
441,2,1
441,2,2
441,2,4
441,2,5
442,21,1
442,21,2
442,21,3
443,8,1
444,6,1
444,6,2
445,7,1
445,7,2
446,1,3
446,1,4
446,1,7
446,1,11
447,17,1
447,17,2
448,115,1
449,73,1
449,73,2
450,56,1
451,58,1
452,8,1
452,8,4
453,38,7
454,14,1
455,11,3
456,38,7
457,14,1
458,84,1
459,45,1
460,38,4
461,45,1
462,214,1
463,14,1
464,58,1
465,21,1
465,84,1
466,41,1
467,1,3
468,138,1
469,1,10
